University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Activity Rank,Desirability Rank,Student View Rank,Affordability Rank,Student Mix Rank,Rankings Rank,Employer Activity Score,Desirability Score,Student View Score,Affordability Score,Student Mix Score,Rankings Score
Beijing,/university-rankings-articles/qs-best-student-cities/beijing,,China (Mainland),,,81.8,37,,False,False,18,96,70,65,112,4,86.3,50.5,72.3,53.9,51.6,89
Barcelona,/university-rankings-articles/qs-best-student-cities/barcelona,,Spain,,,81.6,38,,False,False,38,30,53,=112,62,38,77.2,80.5,77.5,37.4,74.9,55.2
Chicago,/university-rankings-articles/qs-best-student-cities/chicago,,United States,,,81.5,39,,False,False,21,53,=41,150,59,=18,84.4,70.4,81.5,22.2,76.1,67.2
Leuven,/university-rankings-articles/qs-best-student-cities/leuven,,Belgium,,,81.5,40,,False,False,46,77,=55,=88,18,40,74.9,61.8,77,43.4,91.1,54
Newcastle Upon Tyne,/university-rankings-articles/qs-best-student-cities/newcastle-upon-tyne,,United Kingdom,,,81.5,41,,False,False,69,73,29,=106,12,35,66.3,63.4,86.2,38.2,92.1,55.9
Prague,/university-rankings-articles/qs-best-student-cities/prague,,Czech Republic,,,81.5,42,,False,False,48,55,=26,81,23,92,74.3,68,86.7,45.4,90.2,37.5
Copenhagen,/university-rankings-articles/qs-best-student-cities/copenhagen,,Denmark,,,79.8,43,,False,False,55,1,32,158,=56,69,70.9,100,85,15.7,77,45.3
Bristol,/university-rankings-articles/qs-best-student-cities/bristol,,United Kingdom,,,78.4,44,,False,False,89,67,=26,=117,17,56,57.9,65,86.7,36.1,91.4,49.7
Coventry,/university-rankings-articles/qs-best-student-cities/coventry,,United Kingdom,,,78.4,45,,False,False,82,=81,47,=110,1,62,61.6,58.2,80.5,37.5,100,49.1
Lyon,/university-rankings-articles/qs-best-student-cities/lyon,,France,,,78.4,46,,False,False,95,56,60,50,47,66,55.6,67.6,76.2,58.8,80.7,47.8
Santiago,/university-rankings-articles/qs-best-student-cities/santiago,,Chile,,,76.9,47,,False,False,6,91,80,=100,99,=10,95.2,52.2,64.9,39.8,55.5,71.6
Shanghai,/university-rankings-articles/qs-best-student-cities/shanghai,,China (Mainland),,,76.8,48,,False,False,=40,95,61,=70,110,8,75.7,50.7,76.1,50.1,52.2,74.1
Birmingham,/university-rankings-articles/qs-best-student-cities/birmingham,,United Kingdom,,,76.5,49,,False,False,98,63,23,119,37,54,54.1,65.6,87.9,35.4,83.4,50.9
Brussels,/university-rankings-articles/qs-best-student-cities/brussels,,Belgium,,,76.4,50,,False,False,68,=41,=75,90,42,=78,66.5,74.8,69.3,43.3,81.6,41.3
Gothenburg,/university-rankings-articles/qs-best-student-cities/gothenburg,,Sweden,,,76.3,51,,False,False,=93,37,31,=142,=31,72,56.6,76,85.2,26.2,87.4,45
Nottingham,/university-rankings-articles/qs-best-student-cities/nottingham,,United Kingdom,,,76.1,52,,False,False,108,=71,33,98,22,67,48.2,64,84.7,40.3,90.6,47.6
Milan,/university-rankings-articles/qs-best-student-cities/milan,,Italy,,,75.9,53,,False,False,35,=60,=68,141,=50,=57,79.3,67,72.4,27,79.1,49.6
Dubai,university-rankings-articles/qs-best-student-cities/dubai-sharjah-ajman,,United Arab Emirates,,,75.8,54,,False,False,71,43,4,129,82,88,65.7,74.5,98.1,32.1,65.3,38.2
Leeds,/university-rankings-articles/qs-best-student-cities/leeds,,United Kingdom,,,74.7,55,,False,False,99,=71,=36,99,49,64,53.9,64,82.6,39.9,79.3,48.6
Rome,/university-rankings-articles/qs-best-student-cities/rome,,Italy,,,74.5,56,,False,False,66,54,77,=70,79,74,67.3,69.4,68.9,50.1,67.7,43.9
Ottawa,/university-rankings-articles/qs-best-student-cities/ottawa,,Canada,,,74,57,,False,False,124,17,40,121,25,109,40.2,88.6,81.9,35,89.8,29.7
Liverpool,/university-rankings-articles/qs-best-student-cities/liverpool,,United Kingdom,,,73.8,58,,False,False,110,74,18,96,44,87,46.9,63.2,92,41.3,81.4,39.1
Atlanta,/university-rankings-articles/qs-best-student-cities/atlanta,,United States,,,73.4,59,,False,False,39,57,72,145,80,37,75.8,67.5,71.7,24.8,67.2,55.3
Belfast,/university-rankings-articles/qs-best-student-cities/belfast,,United Kingdom,,,72.9,60,,False,False,104,69,48,93,=19,=102,50,64.7,80.1,42,90.9,32.1
Warsaw,/university-rankings-articles/qs-best-student-cities/warsaw,,Poland,,,72.9,61,,False,False,54,=81,49,=42,96,=102,71.2,58.2,80,60.2,57.8,32.1
Washington DC,/university-rankings-articles/qs-best-student-cities/washington-dc,,United States,,,72.6,62,,False,False,72,49,46,151,85,42,65.6,71.9,80.7,21.6,64.6,53.7
Brno,/university-rankings-articles/qs-best-student-cities/brno,,Czech Republic,,,72.3,63,,False,False,112,89,24,54,24,129,46.2,53.8,87.2,57.1,89.9,22.3
Philadelphia,/university-rankings-articles/qs-best-student-cities/philadelphia,,United States,,,72.3,64,,False,False,=61,=75,85,140,68,24,69.3,62.4,61.5,27.2,72.4,64.1
Helsinki,/university-rankings-articles/qs-best-student-cities/helsinki,,Finland,,,71.2,65,,False,False,70,8,88,148,86,70,66,94.3,59.5,22.4,63.9,45.2
San Diego,/university-rankings-articles/qs-best-student-cities/san-diego,,United States,,,70.8,66,,False,False,107,=60,79,91,66,50,48.3,67,66.5,42.7,73.1,51.7
Turin,/university-rankings-articles/qs-best-student-cities/turin,,Italy,,,70.5,67,,False,False,88,88,65,66,61,=99,58.7,54,73.9,53.1,75.3,32.7
Sheffield,/university-rankings-articles/qs-best-student-cities/sheffield,,United Kingdom,,,70.4,68,,False,False,=120,78,64,105,26,80,43.4,59.7,75.1,38.7,89.6,40.6
Mexico City,/university-rankings-articles/qs-best-student-cities/mexico-city,,Mexico,,,70.2,69,,False,False,1,137,108,58,133,9,100,28.2,49.9,56,40.2,72.1
Budapest,/university-rankings-articles/qs-best-student-cities/budapest,,Hungary,,,70.1,70,,False,False,84,68,71,=44,83,128,61.3,64.8,72.2,60.1,65,22.6
Bangkok,/university-rankings-articles/qs-best-student-cities/bangkok,,Thailand,,,68.9,71,,False,False,=57,=116,=68,24,137,51,70.1,37.9,72.4,69.8,38.2,51.4
Lisbon,/university-rankings-articles/qs-best-student-cities/lisbon,,Portugal,,,68.7,72,,False,False,86,50,=96,115,=52,89,59.3,70.8,55.6,37.1,78.3,37.9
Daejeon,/university-rankings-articles/qs-best-student-cities/daejeon,,South Korea,,,68,73,,False,False,36,93,112,47,=118,=57,79.2,51,47,60,48.5,49.6
Christchurch,/university-rankings-articles/qs-best-student-cities/christchurch,,New Zealand,,,67.7,74,,False,False,111,35,103,=63,70,101,46.6,77.9,51.6,54,71.6,32.4
Istanbul,/university-rankings-articles/qs-best-student-cities/istanbul,,Türkiye,,,67.5,75,,False,False,73,110,78,55,107,68,65.5,42.6,68.2,56.9,53.3,46.3
Aberdeen,/university-rankings-articles/qs-best-student-cities/aberdeen,,United Kingdom,,,67.4,76,,False,False,127,=58,63,103,38,111,38.6,67.1,75.2,39.3,83,29.4
Pittsburgh,/university-rankings-articles/qs-best-student-cities/pittsburgh,,United States,,,66.7,77,,False,False,90,70,98,=135,69,=52,57.5,64.3,55.1,29,71.7,51.3
Brighton,/university-rankings-articles/qs-best-student-cities/brighton,,United Kingdom,,,66.2,78,,False,False,143,=65,=41,108,39,113,29.8,65.4,81.5,37.8,82.9,29.1
Miami,/university-rankings-articles/qs-best-student-cities/miami,,United States,,,66.2,79,,False,False,=44,52,62,146,=100,121,75.1,70.6,75.4,24.1,54.2,27.4
Hamburg,/university-rankings-articles/qs-best-student-cities/hamburg,,Germany,,,65.5,80,,False,False,100,25,=58,157,90,110,53,85.8,76.3,16.7,61.9,29.5
