University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Staff with PhD Rank,International Research Network Rank,Papers per Faculty Rank,Citations per Paper Rank,International Faculty Ratio Rank,International Students Ratio Rank,Academic Reputation Rank,Web Impact Rank,Faculty Student Ratio Rank,Employer Reputation Rank,Faculty Staff with PhD Score,International Research Network Score,Papers per Faculty Score,Citations per Paper Score,International Faculty Ratio Score,International Students Ratio Score,Academic Reputation Score,Web Impact Score,Faculty Student Ratio Score,Employer Reputation Score
American University of the Middle East,/universities/american-university-middle-east,Asia,Kuwait,Egaila,https://www.topuniversities.com/sites/default/files/american-university-of-the-middle-east_592560e39988f300e232137c_small.jpg,63.4,26,5,False,False,30,72,54,77,6,52,16,101+,77,21,85.8,29,35.2,28.7,100,29.5,83.9,16.2,29.9,78.6
Princess Nourah bint Abdulrahman University,/universities/rincess-nourah-bint-abdulrahman-university,Asia,Saudi Arabia,Riyadh,https://www.topuniversities.com/sites/default/files/princess-nourah-bint-abdulrahman-university_592560e39988f300e232144f_small.jpg,61.3,27,,False,False,26,35,93,101+,53,34,26,65,62,28,87.1,68.5,18.4,14.9,49.5,42.5,72.8,32.2,36.8,68.3
Al Ain University,/universities/al-ain-university,Asia,United Arab Emirates,"Al Ain,",https://www.topuniversities.com/sites/default/files/al-ain-university_592560e39988f300e2321680_small.jpg,60.9,28,3,False,False,6,68,15,101+,1,10,18,101+,101+,39,100,31.1,91.4,7.1,100,100,83,18.3,16.7,55.4
King Khalid University,/universities/king-khalid-university,Asia,Saudi Arabia,Abha,https://www.topuniversities.com/sites/default/files/king-khalid-university_1174_small.jpg,59.6,29,,False,False,59,31,85,97,31,55,31,44,20,51+,55.1,72.8,21,20.6,85.7,27.6,65.2,49.8,82.4,34.5
Alexandria University ,/universities/alexandria-university,Africa,Egypt,Alexandria,https://www.topuniversities.com/sites/default/files/alexandria-university_1209_small.jpg,59.3,30,,False,False,101+,13,101+,68,101+,83,12,4,101+,34,10.7,92.9,10,32.9,1.6,11.6,86.7,99.8,5.7,59
Lebanese American University,/universities/lebanese-american-university,Asia,Lebanon,Byblos,https://www.topuniversities.com/sites/default/files/lebanese-american-university_592560cf2aeae70239af4eed_small.jpg,57.8,31,,False,False,70,101+,88,35,66,50,43,57,27,13,41.9,13.4,20.1,62.2,30.4,30.4,49,37.6,75.6,87.8
Beirut Arab University ,/universities/beirut-arab-university,Asia,Lebanon,Beirut,https://www.topuniversities.com/sites/default/files/beirut-arab-university-_592560cf2aeae70239af4ee5_small.jpg,56.2,32,,False,False,101+,101+,55,94,63,33,22,95,48,24,2.5,15.9,35.2,22.8,37.8,43.1,76,22,50.7,74.3
Saint Joseph University of Beirut (USJ) ,/universities/saint-joseph-university-beirut-usj,Asia,Lebanon,Beirut,https://www.topuniversities.com/sites/default/files/saint-joseph-university-of-beirut-usj_1130_small.jpg,51.7,33,,False,False,101+,101+,78,101+,58,61,48,48,21,15,3.9,6.3,22.6,15.2,43.5,26.1,42,45.6,80.7,86.6
Ahlia University,/universities/ahlia-university,Asia,Bahrain,Manama,https://www.topuniversities.com/sites/default/files/ahlia-university_592560cf2aeae70239af544c_small.jpg,51.4,34,,False,False,62,101+,25,101+,39,47,25,101+,38,51+,51.2,6,66,8.3,65.9,32.8,72.8,7,59.8,40
Islamic University of Lebanon,/universities/islamic-university-lebanon,Asia,Lebanon,Khalde,https://www.topuniversities.com/sites/default/files/231025022258pm497558Screenshot-2023-10-25-182203-48x48.jpg,50.1,35,,False,False,51,101+,101+,n/a,83,11,44,101+,3,36,62.8,1,1.5,n/a,14.6,100,47.9,5.4,99.9,57.3
Mansoura University,/universities/mansoura-university,Africa,Egypt,Mansoura ,https://www.topuniversities.com/sites/default/files/mansoura-university_592560cf2aeae70239af4f3c_small.jpg,48.7,36,4,False,False,15,10,101+,64,101+,88,37,24,101+,51+,93.7,94.6,16.4,34.3,4.6,9.9,60.6,69.5,2.9,34.2
Jouf University,/universities/jouf-university,Asia,Saudi Arabia,Sakaka,https://www.topuniversities.com/sites/default/files/jouf-university_592560cf2aeae70239af5463_small.jpg,48.1,37,,False,False,95,56,94,87,26,101+,34,81,30,51+,17.6,44.7,17.7,24.4,92.7,7.1,62.5,25.9,70.7,23.8
American University in Dubai,/universities/american-university-dubai,Asia,United Arab Emirates,Dubai,https://www.topuniversities.com/sites/default/files/american-university-in-dubai_1200_small.jpg,48,38,,False,False,88,101+,101+,70,3,4,45,101+,49,25,21.3,2.5,9.7,32.6,100,100,45,20.1,50.1,74.1
