University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Student Ratio Rank,Academic Reputation Rank,Sustainability Rank,Employer Reputation Rank,International Student Diversity Rank,Papers per Faculty Rank,Citations per Paper Rank,Inbound Exchange Students Rank,International Faculty Ratio Rank,Outbound Exchange Students Rank,International Research Network Rank,Employment Outcomes Rank,Faculty Student Ratio Score,Academic Reputation Score,Sustainability Score,Employer Reputation Score,International Student Diversity Score,Papers per Faculty Score,Citations per Paper Score,Inbound Exchange Students Score,International Faculty Ratio Score,Outbound Exchange Students Score,International Research Network Score,Employment Outcomes Score
University of Warmia and Mazury in Olsztyn,/universities/university-warmia-mazury-olsztyn,Europe,Poland,Olsztyn,https://www.topuniversities.com/sites/default/files/university-of-warmia-and-mazury-in-olsztyn_5fb4998b5c52f30a7416db55_small.jpg,16.1,431,,False,False,139,251+,301+,251+,301+,301+,301+,301+,301+,301+,301+,301+,62,13.9,4.9,28.4,6.8,13.9,1.5,8.2,2.2,5.6,17.7,7.9
Istanbul Gelisim University,/universities/istanbul-gelisim-university,Asia,Türkiye,Istanbul,https://www.topuniversities.com/sites/default/files/stanbul-geliim-niversitesi_592560e29988f300e2321108_small.jpg,16,432,,False,False,301+,251+,301+,251+,140,301+,74,301+,301+,301+,301+,301+,10.7,4.3,2.5,6.4,52.2,3.3,80.5,2,12.3,4.9,4.6,8.3
Alexandru Ioan Cuza University,/universities/alexandru-ioan-cuza-university,Europe,Romania,Iași,https://www.topuniversities.com/sites/default/files/alexandru-ioan-cuza-university_592560cf2aeae70239af5052_small.jpg,15.9,433,,False,False,301+,251+,301+,251+,301+,301+,301+,211,301+,85,301+,301+,13,17.4,4.3,23.2,16.6,13.5,1.2,27.6,4,69.3,9.5,11.3
Azerbaijan State Oil and Industry University,/universities/azerbaijan-state-oil-industry-university,Asia,Azerbaijan,Baku,https://www.topuniversities.com/sites/default/files/azerbaijan-state-oil-and-industry-university_592560cf2aeae70239af5aa2_small.jpg,15.8,434,,False,False,223,251+,301+,251+,301+,301+,301+,301+,301+,301+,301+,96,45.6,20.9,5.1,11.2,6.1,2.3,1,1.2,10.7,2.7,1.3,69.6
MATE Hungarian University of Agriculture and Life Sciences,/universities/mate-hungarian-university-agriculture-life-sciences,Europe,Hungary,Budapest,https://www.topuniversities.com/sites/default/files/210803123442pm235473mate-2021-en-green-48x48.jpg,15.8,435,,False,False,225,251+,301+,251+,213,301+,301+,149,301+,301+,301+,301+,45.5,12.5,5.7,12.7,36.1,9.6,3.5,41.6,2.1,11.3,25.6,8.1
Silesian University of Technology,/universities/silesian-university-technology,Europe,Poland,Gliwice,https://www.topuniversities.com/sites/default/files/silesian-university-of-technology-in-gliwice_592560e59988f300e2321be1_small.jpg,15.8,436,,False,False,220,251+,301+,251+,301+,272,301+,233,301+,301+,301+,292,46,14.3,5.6,11.6,10.1,27.3,1.6,22.6,2.7,7.5,26.5,21.8
Sumy State University,/universities/sumy-state-university,Europe,Ukraine,Sumy,https://www.topuniversities.com/sites/default/files/sumy-state-university_592560cf2aeae70239af57c7_small.jpg,15.8,437,4,False,False,141,251+,301+,251+,123,301+,301+,301+,301+,301+,301+,301+,61.3,12.5,14.1,18,57.5,8.4,1.6,1,3.2,7.3,5.3,13.3
Université Jean Moulin Lyon 3,/universities/universite-jean-moulin-lyon-3,Europe,France,Lyon,https://www.topuniversities.com/sites/default/files/universit-jean-moulin-lyon-3_592560cf2aeae70239af4bfb_small.jpg,15.7,438,,False,False,301+,251+,301+,251+,200,301+,301+,100,260,134,301+,301+,4.3,19.2,2.8,12.9,37.6,10.2,1.2,58,24.7,52.1,1.8,8.4
"Academic Centre for Dentistry Amsterdam (ACTA), Amsterdam the Netherlands",/universities/academic-centre-dentistry-amsterdam-acta-amsterdam-netherlands,Europe,Netherlands,Amsterdam,https://www.topuniversities.com/sites/default/files/academic-centre-for-dentistry-amsterdam-acta-amsterdam-the-netherlands_592560e79988f300e2322162_small.jpg,15.6,439,,False,False,1,251+,n/a,251+,n/a,301+,198,=295,n/a,301+,301+,301+,100,10.5,n/a,5.6,n/a,8.9,44.7,13.9,n/a,10.1,1.9,6.9
Gustave Eiffel University,/universities/universite-paris-est-marne-la-vallee,Europe,France,Marne-la-Vallée,https://www.topuniversities.com/sites/default/files/Eiffel_University_logo.jpg,15.6,440,,False,False,301+,251+,n/a,251+,n/a,202,228,301+,n/a,301+,277,301+,28.5,6.8,n/a,4.1,n/a,38.7,37.7,5.2,n/a,14.6,45.7,4.9
"Ss. Cyril and Methodius University in Skopje, Republic of North Macedonia",/universities/ss-cyril-methodius-university-skopje-republic-north-macedonia,Europe,North Macedonia,Skopje,https://www.topuniversities.com/sites/default/files/ss.-cyril-and-methodius-university_592560e59988f300e2321b0c_small.jpg,15.6,441,,False,False,301+,251+,301+,251+,301+,301+,301+,301+,301+,297,301+,43,29.6,6.4,2.8,16.8,4.4,4.8,2.4,10.1,7.4,18.5,27.9,89.3
Paul Valéry University Montpellier,/universities/paul-valery-university-montpellier,Europe,France,Montpellier,https://www.topuniversities.com/sites/default/files/universit-paul-valery-montpellier-3-_592560cf2aeae70239af4c25_small.jpg,15.4,442,,False,False,301+,251+,301+,251+,n/a,301+,301+,301+,n/a,301+,301+,301+,7.4,25.5,10.8,9.5,n/a,18.5,9.5,5.2,n/a,14.6,22.4,4.9
Università degli Studi della Tuscia (University of Tuscia),/universities/universita-degli-studi-della-tuscia-university-tuscia,Europe,Italy,Viterbo,https://www.topuniversities.com/sites/default/files/universita-degli-studi-della-tuscia_592560cf2aeae70239af500f_small.jpg,15.4,443,,False,False,301+,251+,262,251+,301+,118,262,201,301+,247,301+,301+,14.7,9,33.9,3,6.1,51.8,29,30.2,11.2,26.1,12.2,5.8
Universität Siegen,/universities/universitat-siegen,Europe,Germany,Siegen,https://www.topuniversities.com/sites/default/files/universitt-siegen_592560cf2aeae70239af4fdc_small.jpg,15.4,444,,False,False,301+,251+,301+,251+,206,301+,301+,301+,161,301+,301+,301+,21.2,10.6,5.3,5.9,37.2,17.3,12,5.4,53.7,5.8,20.6,11.4
Abdullah Gül University,/universities/abdullah-gul-university,Asia,Türkiye,Kayseri,https://www.topuniversities.com/sites/default/files/abdullah-gl-university_592560cf2aeae70239af5a94_small.jpg,15.2,445,,False,False,301+,251+,301+,251+,301+,301+,86,301+,301+,180,301+,301+,9.5,3.8,10.8,3.6,14.5,22.7,77.1,7.5,10.9,35.2,2.9,10
Galatasaray University,/universities/galatasaray-university,Asia,Türkiye,Istanbul,https://www.topuniversities.com/sites/default/files/galatasaray-niversitesi_592560cf2aeae70239af50b7_small.jpg,15.2,446,,False,False,297,251+,301+,251+,301+,301+,249,76,300,12,301+,301+,32.8,6.4,1.1,13.7,1.3,5,32.3,70.8,13.6,99.6,1.1,8.4
Russian-Armenian University (RAU),/universities/russian-armenian-university,Asia,Armenia,Yerevan,https://www.topuniversities.com/sites/default/files/russian-armenian-university_592560cf2aeae70239af5a4f_small.jpg,15.2,447,,False,False,299,251+,n/a,251+,76,301+,301+,301+,301+,301+,301+,276,32.5,14.8,n/a,20.2,69.8,4.5,1,1.2,6.9,2,1.4,23.7
University of Sunderland,/universities/university-sunderland,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/221005122136pm548969UoS-QS-48x48.jpg,15.2,448,4,False,False,301+,251+,n/a,251+,10,301+,301+,301+,269,301+,301+,301+,12.7,6.7,n/a,20.6,100,4.8,17.5,2.9,21.4,1.1,2.5,11.4
Lucian Blaga University of Sibiu,/universities/lucian-blaga-university-sibiu,Europe,Romania,Sibiu,https://www.topuniversities.com/sites/default/files/lucian-blaga-university-of-sibiu_592560cf2aeae70239af5058_small.jpg,15.1,449,4,False,False,301+,251+,301+,251+,301+,301+,301+,301+,296,301+,182,301+,19.7,8.6,8,8.2,7,12.5,1,11.4,14.9,15.8,63.8,9.9
Teesside University,/universities/teesside-university,Europe,United Kingdom,Middlesbrough,https://www.topuniversities.com/sites/default/files/teesside-university_1637_small.jpg,15.1,450,,False,False,301+,251+,n/a,251+,95,301+,225,301+,193,301+,301+,301+,17.5,4.4,n/a,11.7,65,6.8,38,1.2,42.7,1,4.9,11.5
Marmara University,/universities/marmara-university,Asia,Türkiye,Istanbul,https://www.topuniversities.com/sites/default/files/marmara-university_592560e79988f300e232216a_small.jpg,14.9,451,,False,False,301+,251+,301+,251+,301+,301+,301+,301+,301+,301+,301+,193,10.8,16,20.7,24,3.5,5.7,3.6,3.7,3.3,13.5,10.9,38.5
University of Ostrava,/universities/university-ostrava,Europe,Czechia,Ostrava,https://www.topuniversities.com/sites/default/files/university-of-ostrava_592560cf2aeae70239af4f51_small.jpg,14.9,452,,False,False,272,251+,301+,251+,301+,301+,301+,63,279,55,301+,301+,36.4,13.4,3.9,2.5,10.3,20.6,1.2,77.2,18.6,80.2,9.6,11
Université d'Avignon et des Pays du Vaucluse,/universities/universite-davignon-et-des-pays-de-vaucluse,Europe,France,Avignon,https://www.topuniversities.com/sites/default/files/Avignon_logo.jpg,14.9,453,,False,False,226,251+,n/a,251+,n/a,301+,189,301+,n/a,301+,264,301+,45.1,2.3,n/a,1,n/a,22.3,47.4,5.2,n/a,14.6,47,4.9
Technische Universität Bergakademie Freiberg,/universities/technische-universitat-bergakademie-freiberg,Europe,Germany,Freiberg,https://www.topuniversities.com/sites/default/files/231108074238am170028TUBAF-Siegel-blau-48x48.jpg,14.7,454,,False,False,301+,251+,n/a,251+,n/a,2,301+,301+,n/a,301+,301+,301+,3.9,12.3,n/a,15.3,n/a,100,5.3,5.4,n/a,5.8,19,5.9
Cankaya Üniversitesi,/universities/cankaya-universitesi,Asia,Türkiye,Ankara,https://www.topuniversities.com/sites/default/files/cankaya-niversitesi_592560cf2aeae70239af50ad_small.jpg,14.6,455,,False,False,301+,251+,301+,251+,301+,264,89,301+,301+,301+,301+,301+,16.9,5.5,6.7,4.5,4.9,29.3,76,1.1,3.7,5.6,5.1,9.7
University of Silesia in Katowice,/universities/university-silesia-katowice,Europe,Poland,Katowice,https://www.topuniversities.com/sites/default/files/university-of-silesia_592560cf2aeae70239af503f_small.jpg,14.6,456,,False,False,181,251+,301+,251+,301+,301+,301+,301+,301+,284,301+,301+,54.2,12,5.8,13.3,7.6,13.7,1.4,4.7,3.7,20.9,30,10.3
"University of Roehampton, London",/universities/university-roehampton-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/university-of-roehampton-london_592560cf2aeae70239af50fb_small.jpg,14.5,457,,False,False,301+,251+,n/a,251+,48,258,301+,301+,106,301+,301+,301+,11.8,5.7,n/a,3.1,74.4,30.6,13.1,9.4,75.1,3.7,3.3,5.6
Universit degli Studi della Campania Luigi Vanvitelli,/universities/universit-degli-studi-della-campania-luigi-vanvitelli,Europe,Italy,Caserta,https://www.topuniversities.com/sites/default/files/universit-degli-studi-della-campania-luigi-vanvitelli_5a8ecc54cb4de73b99782262_small.jpg,14.4,458,,False,False,301+,251+,n/a,251+,n/a,69,261,301+,301+,301+,285,301+,4.9,6.7,n/a,3.7,n/a,64.4,29.1,3,3.8,7.2,43.8,4.2
Klaipeda University,/universities/klaipeda-university,Europe,Lithuania,Klaipeda,https://www.topuniversities.com/sites/default/files/klaipeda-university_592560cf2aeae70239af5034_small.jpg,14.3,459,,False,False,158,251+,301+,251+,301+,301+,301+,=136,301+,=212,301+,300,57.8,11.6,3.5,12.9,11.1,20.6,1.2,45.8,5.3,29.9,4.2,21.1
Technical University of Liberec,/universities/technical-university-liberec,Europe,Czechia,Liberec,https://www.topuniversities.com/sites/default/files/technical-university-of-liberec_592560cf2aeae70239af5a5a_small.jpg,14.3,460,,False,False,131,251+,301+,251+,301+,301+,301+,65,292,301+,301+,301+,64.1,9.8,2.3,10.1,15.4,17,1.8,76,16.5,7.6,8.1,11.1
University of South Bohemia in České Budějovice ,/universities/university-south-bohemia-ceske-budejovice,Europe,Czechia,České Budějovice,https://www.topuniversities.com/sites/default/files/university-of-south-bohemia_592560e59988f300e2321beb_small.jpg,14.3,461,,False,False,67,251+,301+,251+,n/a,301+,301+,=223,n/a,301+,301+,301+,82.7,12.3,4.4,8.2,n/a,15.4,3.6,24.7,n/a,7.6,21.1,11
National University of Kyiv-Mohyla Academy (NaUKMA),/universities/national-university-kyiv-mohyla-academy-naukma,Europe,Ukraine,Kyiv,https://www.topuniversities.com/sites/default/files/national-university-of-kyiv-mohyla-academy-naukma_592560cf2aeae70239af5ab1_small.jpg,14.2,462,,False,False,121,251+,301+,235,301+,301+,301+,301+,301+,301+,301+,285,67.4,11.7,5.1,31.2,4.8,2.9,1,1,2.4,1.3,1.4,22.5
Poznan University of Economics,/universities/poznan-university-economics,Europe,Poland,Poznan,https://www.topuniversities.com/sites/default/files/220316123242pm272873ekon-48x48.jpg,14.2,463,,False,False,11,251+,n/a,246,301+,301+,301+,301+,n/a,301+,301+,301+,100,9.7,n/a,29.1,3.6,2.7,4.8,1.5,n/a,1.2,2.4,6.9
University of Pardubice,/universities/university-pardubice,Europe,Czechia,Pardubice,https://www.topuniversities.com/sites/default/files/university-of-pardubice_592560cf2aeae70239af4f50_small.jpg,14.1,464,,False,False,87,251+,301+,251+,301+,301+,301+,180,301+,151,301+,301+,76,10.8,1.8,8.2,16.7,14.7,1.3,36.6,12,45.5,4.2,11
Università degli Studi di Camerino,/universities/universita-di-camerino,Europe,Italy,Camerino,https://www.topuniversities.com/sites/default/files/Unicam_logo_0.jpg,14,465,,False,False,301+,251+,n/a,251+,301+,261,286,271,301+,162,301+,301+,29.8,6.8,n/a,3.5,18.8,30.4,24.7,16.8,3.4,42.9,26.2,6.6
University of Naples Parthenope,/universities/university-naples-parthenope,Europe,Italy,Naples,https://www.topuniversities.com/sites/default/files/naples45.jpg,13.9,466,,False,False,301+,251+,301+,251+,301+,105,236,301+,301+,198,301+,301+,9.5,8.2,14.2,6.2,5.5,54.6,35.6,12.1,1.9,32,8.9,4.2
University of Zilina,/universities/university-zilina,Europe,Slovakia,Zilina,https://www.topuniversities.com/sites/default/files/211005084345am815340logo-UNIZA-48x48.jpg,13.9,467,,False,False,86,251+,301+,251+,301+,291,301+,181,301+,=219,301+,257,76.1,12.8,3.1,2.1,6.4,25.2,1.8,36,2.8,28.5,5.3,25.6
Poznan University of Life Sciences,/universities/poznan-university-life-sciences,Europe,Poland,Poznań,https://www.topuniversities.com/sites/default/files/poznan-university-of-life-sciences_592560e59988f300e2321be9_small.jpg,13.8,468,,False,False,114,251+,301+,251+,301+,290,301+,301+,301+,289,301+,301+,69.2,12.9,3.4,5.9,13.9,25.2,6.9,13.6,3.6,20.1,9,9.1
Georgian Technical University ,/universities/georgian-technical-university,Asia,Georgia,Tbilisi,https://www.topuniversities.com/sites/default/files/georgian-technical-university-_592560cf2aeae70239af5668_small.jpg,13.5,469,,False,False,301+,251+,n/a,251+,n/a,1,301+,301+,n/a,301+,301+,267,1,13.9,n/a,15.3,n/a,100,1,1.1,n/a,1,1.4,24.8
Kharkiv National University of Radio Electronics,/universities/kharkiv-national-university-radio-electronics,Europe,Ukraine,Kharkiv,https://www.topuniversities.com/sites/default/files/kharkiv-national-university-of-radio-electronics_592560e99988f300e23224ed_small.jpg,13.5,470,,False,False,260,251+,301+,222,301+,301+,301+,301+,301+,279,301+,301+,38.3,8.7,9.8,34,15.6,9.7,1,2.1,1.5,21.5,2.5,14.4
Université d'Orléans,/universities/universite-dorleans,Europe,France,Orléans,https://www.topuniversities.com/sites/default/files/Orleans_University.jpg,13.5,471,,False,False,301+,251+,n/a,251+,n/a,211,274,301+,n/a,301+,218,301+,8.4,5.1,n/a,1.2,n/a,37.6,26.8,5.1,n/a,14.5,56.2,4.9
Canterbury Christ Church University,/universities/canterbury-christ-church-university,Europe,United Kingdom,Bexleyheath,https://www.topuniversities.com/sites/default/files/canterbury-christ-church-university_592560cf2aeae70239af4dbc_small.jpg,13.4,472,,False,False,301+,251+,301+,251+,77,301+,301+,301+,218,301+,301+,301+,7.5,12.7,1.8,8.2,69.8,9.5,11.8,2.8,33.7,2.5,2.2,5.7
University of Foggia,/universities/university-foggia,Europe,Italy,Foggia,https://www.topuniversities.com/sites/default/files/logo-3-48x48.jpg,13.3,473,,False,False,301+,251+,n/a,251+,301+,247,255,59,301+,25,301+,301+,14.8,6.7,n/a,1.7,5,32.7,31.1,79,1.3,93.6,3.2,4.3
Université de Limoges,/universities/universite-de-limoges,Europe,France,Limoges,https://www.topuniversities.com/sites/default/files/universit-de-limoges_592560cf2aeae70239af4f97_small.jpg,13.1,474,,False,False,287,251+,n/a,251+,n/a,296,301+,301+,n/a,301+,301+,301+,34.1,13.6,n/a,6.5,n/a,24.8,3.2,5.2,n/a,14.6,36.4,4.9
Université du Maine,/universities/universite-du-maine,Europe,France,Le Mans,https://www.topuniversities.com/sites/default/files/Maine_logo.jpg,13.2,475,,False,False,277,251+,n/a,251+,n/a,301+,164,301+,n/a,301+,301+,301+,35.5,5.1,n/a,1.1,n/a,11.5,52.4,5.1,n/a,14.5,27.5,4.9
Università degli Studi dell'Insubria,/universities/universito-degli-studi-dellinsubria,Europe,Italy,Varese,https://www.topuniversities.com/sites/default/files/studiorum_logo_0.jpg,13.1,476,,False,False,301+,251+,n/a,251+,301+,67,194,301+,301+,199,301+,301+,5.3,1.7,n/a,1.7,11.3,64.8,45.9,8.3,2.7,31.7,18.6,6.6
Reykjavik University,/universities/reykjavik-university,Europe,Iceland,Reykjavik,https://www.topuniversities.com/sites/default/files/newman-university-college_2100_large.jpg,13,477,,False,False,301+,251+,n/a,251+,n/a,6,301+,301+,n/a,301+,301+,279,4.1,9,n/a,10.2,n/a,96,7.6,1,n/a,1,14.4,23.4
University of Kaiserslautern-Landau(RPTU),/universities/university-kaiserslautern-landaurptu,Europe,Germany,Kaiserslautern,https://www.topuniversities.com/sites/default/files/technische-universitt-kaiserslautern_592560cf2aeae70239af4fcf_small.jpg,13,478,,False,False,296,251+,n/a,251+,n/a,301+,301+,301+,n/a,301+,301+,301+,32.9,14.3,n/a,10.5,n/a,13.9,8.2,5.4,n/a,5.8,29.1,8.2
Cardiff Metropolitan University,/universities/cardiff-metropolitan-university,False,False,False,https://www.topuniversities.com/sites/default/files/Cardiff_Uni_logo.jpg,12.9,479,,False,False,301+,251+,n/a,251+,132,301+,301+,301+,257,301+,301+,301+,13.3,9.9,n/a,15,54,8.2,10,7.9,25.1,5.3,3.5,11.6
EPITA Graduate School of Computer Science,/universities/epita-graduate-school-computer-science,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/epita_logo.jpg,12.9,480,,False,False,284,251+,n/a,251+,n/a,301+,157,301+,n/a,301+,301+,301+,34.4,3.6,n/a,22.9,n/a,1.8,53.9,5.2,n/a,14.6,1,5
University College of Boras,/universities/university-college-boras,Europe,Sweden,Borås,https://www.topuniversities.com/sites/default/files/university-college-of-boras_592560cf2aeae70239af5085_small.jpg,12.9,481,,False,False,n/a,251+,n/a,251+,n/a,n/a,55,301+,n/a,301+,301+,301+,n/a,6.5,n/a,4.7,n/a,n/a,87.7,4,n/a,1.6,6,7.8
University of Miskolc ,/universities/university-miskolc,Europe,Hungary,Miskolc,https://www.topuniversities.com/sites/default/files/university-of-miskolc-_592560cf2aeae70239af4fee_small.jpg,12.9,482,,False,False,239,251+,301+,251+,301+,301+,301+,283,301+,301+,301+,260,42.3,13.7,2.7,15.9,11.9,9.4,1.1,15.5,3.4,8.4,5.7,25
University of Split,/universities/university-split,Europe,Croatia,Split,https://www.topuniversities.com/sites/default/files/university-of-split_592560e59988f300e2321aaf_small.jpg,12.9,483,,False,False,301+,251+,301+,251+,301+,301+,301+,153,301+,301+,301+,301+,23.9,13.2,6,8.2,5.6,15.2,1.7,40.9,1.5,18.1,21.2,19.9
Daugavpils University,/universities/daugavpils-university,Europe,Latvia,Daugavpils,https://www.topuniversities.com/sites/default/files/daugavpils-university_592560e59988f300e2321aed_small.jpg,12.8,484,,False,False,60,251+,301+,251+,301+,301+,301+,301+,301+,101,301+,301+,86.4,9.7,1.4,8.7,1.7,8.1,1,13.7,3.7,61.6,1.5,20
Latvia University of Life Sciences and Technologies,/universities/latvia-university-life-sciences-technologies,Europe,Latvia,Jelgava,https://www.topuniversities.com/sites/default/files/latvia-university-of-agriculture_592560e59988f300e2321aeb_small.jpg,12.8,485,,False,False,301+,251+,301+,251+,n/a,250,301+,301+,n/a,301+,301+,301+,27.2,15,1.9,17.8,n/a,32,1,13.7,n/a,7.8,6.1,19.2
University of Salento,/universities/university-salento,Europe,Italy,Lecce (LE),https://www.topuniversities.com/sites/default/files/university-of-salento_592560cf2aeae70239af5000_small.jpg,12.8,486,,False,False,301+,251+,n/a,251+,301+,186,301+,269,301+,136,n/a,301+,16.8,15.3,n/a,3.9,5.1,40.8,21.3,17.1,1.9,51.6,n/a,4.2
Universitatea de Vest din Timisoara /  West University of Timisoara,/universities/universitatea-de-vest-din-timisoara-west-university-timisoara,Europe,Romania,Timișoara,https://www.topuniversities.com/sites/default/files/universitatea-de-vest-din-timisoara-west-university-of-timisoara_592560cf2aeae70239af5054_small.jpg,12.7,487,,False,False,301+,251+,301+,251+,301+,301+,301+,301+,301+,301+,301+,301+,12,20.5,3.6,19.2,4.9,11,1.2,6.4,1.7,8.3,4.1,15
Dokuz Eylul Universitesi,/universities/dokuz-eylul-universitesi,Asia,Türkiye,Izmir,https://www.topuniversities.com/sites/default/files/dokuz-eyll-niversitesi_592560cf2aeae70239af50b2_small.jpg,12.6,488,,False,False,301+,251+,=243,251+,301+,301+,301+,301+,301+,301+,301+,301+,15.1,12.8,36.8,17.6,13.5,5.1,2.6,1.8,3.6,6.3,10.8,11
Istanbul Bilgi Üniversitesi,/universities/istanbul-bilgi-universitesi,Asia,Türkiye,Istanbul,https://www.topuniversities.com/sites/default/files/istanbul-bilgi-niversitesi_592560cf2aeae70239af50c3_small.jpg,12.6,489,5,False,False,301+,251+,301+,251+,233,301+,301+,165,301+,272,301+,301+,25.7,10,11.6,13.7,32.6,4.3,5.1,39.5,7,23.5,1.6,17.7
University of Rijeka,/universities/university-rijeka,Europe,Croatia,Rijeka,https://www.topuniversities.com/sites/default/files/university-of-rijeka_592560e59988f300e2321aad_small.jpg,12.6,490,,False,False,301+,251+,301+,251+,301+,301+,301+,263,301+,301+,301+,301+,26.6,13.2,11.7,8.2,5.4,19.6,1.4,18.3,2.9,9,20.7,18
University of Sarajevo ,/universities/university-sarajevo,Europe,Bosnia & Herzegovina,Sarajevo,https://www.topuniversities.com/sites/default/files/university-of-sarajevo-_592560cf2aeae70239af5652_small.jpg,12.6,491,,False,False,301+,251+,301+,251+,301+,301+,301+,301+,n/a,301+,301+,58,9.6,9.5,1.5,11.4,3,6.4,1.4,1.4,n/a,2,23.2,82.4
"Universita' degli Studi ""G. d'Annunzio"" Chieti Pescara",/universities/universita-degli-studi-g-dannunzio-chieti-pescara,Europe,Italy,Chieti,https://www.topuniversities.com/sites/default/files/universita-degli-studi-g.-dannunzio-chieti-pescara_592560cf2aeae70239af4ffe_small.jpg,12.5,492,,False,False,301+,251+,301+,251+,301+,154,295,301+,301+,149,301+,301+,8.5,8.4,2.4,3.5,3,44.7,22.8,10.9,4.5,45.7,20.2,4.2
University of Pannonia,/universities/university-pannonia,Europe,Hungary,Veszprém,https://www.topuniversities.com/sites/default/files/university-of-pannonia_592560e59988f300e2321c07_small.jpg,12.4,493,,False,False,246,251+,301+,251+,301+,301+,301+,301+,n/a,301+,301+,301+,41.2,10.3,1.8,11.3,8,23.5,5.7,11.1,n/a,6.5,21,8.3
The University of Northampton,/universities/university-northampton,Europe,United Kingdom,Northampton,https://www.topuniversities.com/sites/default/files/the-university-of-northampton_592560cf2aeae70239af50fc_small.jpg,12.2,494,,False,False,301+,251+,301+,251+,78,301+,301+,301+,213,301+,301+,301+,13.2,7.9,2.3,9.9,69.8,6.8,8.5,2,35.3,1,1.6,11.5
Sveučilište u Mostaru,/universities/sveuciliste-u-mostaru,Europe,Bosnia & Herzegovina,Mostar,https://www.topuniversities.com/sites/default/files/sveuilite-u-mostaru_592560e59988f300e2321a92_small.jpg,12.2,495,,False,False,117,251+,301+,251+,301+,301+,301+,301+,131,301+,301+,247,68.6,4.8,1,6.3,17.9,2.1,1.1,2.1,65.7,4,1.2,27.6
ADA University,/universities/ada-university,Asia,Azerbaijan,Baku,https://www.topuniversities.com/sites/default/files/ada-university_592560cf2aeae70239af5831_small.jpg,12,496,,False,False,301+,251+,301+,251+,301+,301+,301+,301+,232,21,301+,301+,10.2,11.5,3.4,11.2,8,3.7,1,10.6,30,94.8,1,19.7
CEU Universities,/universities/ceu-universities,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/universidad-ceu-san-pablo_115_small.png,12,497,,False,False,301+,251+,n/a,251+,220,301+,301+,301+,301+,301+,301+,301+,31.9,10.2,n/a,23.1,34.6,5.5,3.4,8.6,4.5,5.5,3,7.4
Wroclaw University of Environmental and Life Sciences,/universities/wroclaw-university-environmental-life-sciences,Europe,Poland,Wrocław,https://www.topuniversities.com/sites/default/files/upwr-logo-1-48x48.jpg,12,498,,False,False,161,251+,n/a,251+,301+,301+,301+,170,301+,212,301+,301+,57.4,6.9,n/a,5,8.5,20.6,4.1,38.5,2,29.9,18.9,8.7
Zurich University of Applied Sciences (ZHAW),/universities/zurich-university-applied-sciences-zhaw,Europe,Switzerland,Winterthur,https://www.topuniversities.com/sites/default/files/220318050904pm242987zhaw-zurich-university-of-applied-sciences-logo-48x48.jpg,12,499,,False,False,n/a,251+,n/a,251+,n/a,n/a,301+,=157,n/a,=184,301+,n/a,n/a,12.7,n/a,21,n/a,n/a,19.8,39.5,n/a,33.9,8.7,n/a
Karlstad University,/universities/karlstad-university,Europe,Sweden,Karlstad,https://www.topuniversities.com/sites/default/files/karlstad-university_592560cf2aeae70239af508e_small.jpg,11.9,500,,False,False,301+,251+,n/a,251+,n/a,301+,234,301+,n/a,301+,301+,297,24.2,9.8,n/a,7,n/a,8.6,36.2,4,n/a,1.6,11.3,21.4
