University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Student Ratio Rank,Academic Reputation Rank,Sustainability Rank,Employer Reputation Rank,International Student Diversity Rank,Papers per Faculty Rank,Citations per Paper Rank,Inbound Exchange Students Rank,International Faculty Ratio Rank,Outbound Exchange Students Rank,International Research Network Rank,Employment Outcomes Rank,Faculty Student Ratio Score,Academic Reputation Score,Sustainability Score,Employer Reputation Score,International Student Diversity Score,Papers per Faculty Score,Citations per Paper Score,Inbound Exchange Students Score,International Faculty Ratio Score,Outbound Exchange Students Score,International Research Network Score,Employment Outcomes Score
Szechenyi Istvan University (University of Gyor),/universities/szechenyi-istvan-university-university-gyor,Europe,Hungary,Győr,https://www.topuniversities.com/sites/default/files/210825073941am374202sze-logo-allo-RGB-dark-blue-bg-48x48.jpg,19.9,382,,False,False,281,251+,301+,142,301+,301+,301+,74,301+,301+,301+,301+,34.7,17.6,5.4,50.8,11.9,5,1.1,72.8,4.6,15.7,1.5,13.8
Slovak University of Technology in Bratislava,/universities/slovak-university-technology-bratislava,Europe,Slovakia,Bratislava,https://www.topuniversities.com/sites/default/files/slovak-university-of-technology-in-bratislava_592560cf2aeae70239af567c_small.jpg,19.7,383,,False,False,185,251+,301+,251+,301+,301+,301+,301+,301+,203,301+,177,53.6,20.7,5.7,25.4,2.7,21.2,1.1,10.2,2.2,31.3,12.7,43.4
Universidade da Coruña ,/universities/universidade-da-coruna,Europe,Spain,A Coruña,https://www.topuniversities.com/sites/default/files/universidade-da-corua-_592560cf2aeae70239af5069_small.jpg,19.5,384,,False,False,236,251+,=155,251+,301+,301+,301+,191,301+,232,301+,301+,43,12.9,61,17.2,10.2,21.2,5.3,31.1,3,28,30.8,6.1
Lodz University of Technology,/universities/lodz-university-technology,Europe,Poland,Lodz,https://www.topuniversities.com/sites/default/files/lodz-university-of-technology_592560e59988f300e2321bdd_small.jpg,19.4,385,,False,False,132,251+,301+,251+,301+,276,301+,45,301+,87,301+,301+,64,12.1,15.5,12.7,8,27.2,3.8,84.4,4.6,69.2,24.5,9.3
University of the West of Scotland,/universities/university-west-scotland,Europe,United Kingdom,Glasgow,https://www.topuniversities.com/sites/default/files/university-of-the-west-of-scotland_592560cf2aeae70239af50e7_small.jpg,19.4,386,,False,False,301+,251+,n/a,251+,160,301+,151,253,176,301+,301+,301+,9.3,8.5,n/a,9.2,48,13.8,55.1,19.3,47.5,1.8,21.6,11.5
VSB - Technical University of Ostrava,/universities/vsb-technical-university-ostrava,Europe,Czechia,Ostrava,https://www.topuniversities.com/sites/default/files/vb-technical-university-of-ostrava_592560cf2aeae70239af5980_small.jpg,19.4,387,,False,False,128,251+,=290,251+,265,266,301+,=223,301+,202,301+,301+,65.2,12.1,25,27.5,26.7,28.7,1.1,24.7,9,31.3,9.6,13.7
Universidad de León,/universities/universidad-de-leon,Europe,Spain,León,https://www.topuniversities.com/sites/default/files/universidad-de-len-_592560cf2aeae70239af5075_small.jpg,19.3,388,,False,False,77,251+,n/a,251+,301+,301+,301+,31,301+,82,301+,301+,79.2,14.9,n/a,11.2,9.3,9.7,9,93.5,3.9,69.7,18.2,9.8
Technical University of Crete,/universities/technical-university-crete,Europe,Greece,Chania,https://www.topuniversities.com/sites/default/files/technical-university-of-crete_592560dd9988f300e23205eb_small.jpg,19.1,389,,False,False,n/a,251+,n/a,251+,n/a,10,145,301+,n/a,301+,301+,n/a,n/a,13.1,n/a,16.6,n/a,94.2,58.1,2.8,n/a,3,12.7,n/a
Ivane Javakhishvili Tbilisi State University,/universities/ivane-javakhishvili-tbilisi-state-university,Asia,Georgia,Tbilisi,https://www.topuniversities.com/sites/default/files/ivane-javakhishvili-tbilisi-state-university_592560e59988f300e2321ac8_small.jpg,18.9,390,,False,False,58,251+,301+,251+,301+,301+,301+,301+,301+,301+,301+,45,87.5,21.2,2.7,8.5,7.9,2.2,1.1,5.5,2.1,11.1,4.8,88
Tallinn University ,/universities/tallinn-university,Europe,Estonia,Tallinn,https://www.topuniversities.com/sites/default/files/tallinn-university-_592560cf2aeae70239af567b_small.jpg,18.9,391,,False,False,301+,251+,301+,251+,262,269,301+,301+,208,301+,301+,301+,20.4,18.9,4.9,19,27.2,28.5,1.4,1,37.2,1,26.9,16.5
University of Primorska,/universities/university-primorska,Europe,Slovenia,Koper,https://www.topuniversities.com/sites/default/files/university-of-primorska_592560cf2aeae70239af509d_small.jpg,18.9,392,,False,False,301+,251+,301+,251+,254,301+,301+,69,256,145,301+,18,20.7,7.2,5.7,6.9,28.1,17.2,1.8,73.8,25.4,48.7,20.6,97
Lviv Polytechnic National University,/universities/lviv-polytechnic-national-university,Europe,Ukraine,Lviv,https://www.topuniversities.com/sites/default/files/lviv-polytechnic-national-university_592560cf2aeae70239af590f_small.jpg,18.8,393,,False,False,265,251+,219,200,301+,301+,301+,301+,301+,301+,301+,227,37.6,17.7,43.5,36.6,5.2,11.2,1,1.7,2.1,9.5,4.2,30.5
Glasgow Caledonian University,/universities/glasgow-caledonian-university,Europe,United Kingdom,Glasgow,https://www.topuniversities.com/sites/default/files/glasgow-caledonian-university_1649_small.jpg,18.6,394,,False,False,301+,251+,264,251+,179,301+,279,301+,233,301+,301+,301+,11,12.3,33.4,17.5,43.2,13.2,26.3,7.1,29.8,5.2,11.9,18.4
Robert Gordon University,/universities/robert-gordon-university,Europe,United Kingdom,Aberdeen,https://www.topuniversities.com/sites/default/files/robert-gordon-university_529_small.jpg,18.6,395,,False,False,301+,251+,301+,228,142,301+,301+,301+,151,288,301+,301+,13.9,8.1,4.4,32.6,51.8,11,16.1,5.7,58,20.1,7.4,11.7
