University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Value for Money Rank,Thought Leadership Rank,Diversity Rank,Alumni Outcomes Rank,Employability Rank,Value for Money Score,Thought Leadership Score,Diversity Score,Alumni Outcomes Score,Employability Score
WHU (Otto Beisheim),/universities/whu-otto-beisheim-school-management,Europe,Germany,Koblenz,https://www.topuniversities.com/sites/default/files/profiles/logos/Design-ohne-Titel-48x48.jpg,75.4,24,,False,False,=26,=44,111-120,=8,43,88.9,62,56.1,99.1,62.2
Erasmus (RSM),/universities/erasmus-university-rotterdam/rotterdam-school-management-erasmus-university,Europe,Netherlands,Rotterdam,https://www.topuniversities.com/sites/default/files/profiles/logos/210722010220pm240208Untitled-design-48x48.jpg,75.1,25,,False,False,=58,19,81,56,25,76.6,83.5,65.5,65.2,74.7
Manchester (Alliance),/universities/university-manchester/alliance-manchester-business-school,Europe,United Kingdom,Manchester,https://www.topuniversities.com/sites/default/files/profiles/logos/alliance-manchester-business-school_592560cf2aeae70239af556d_small.jpg,74.7,26,,False,False,151+,17,40,27,=21,44.9,88.5,75.1,81.9,77.2
Texas (McCombs),/universities/university-texas-austin/university-texas-austin-mccombs-school-business,North America,United States,Austin (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-texas-at-austin-mccombs-school-of-business_592560cf2aeae70239af5707_small.jpg,73.1,27,,False,False,39,22,151+,16,54,82.8,79.4,46.6,92.3,55.4
SKEMA Business School,/universities/skema-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/skema-business-school_592560cf2aeae70239af4af5_small.jpg,72.9,28,,False,False,=11,38,8,63,=46,97,64.5,91.4,63.7,59.4
University of Edinburgh Business School,/universities/university-edinburgh-business-school,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-edinburgh-business-school_14432_small.jpg,72.5,29,,False,False,111-120,21,7,57,27,57,80.2,91.7,64.9,73.7
USC (Marshall),/universities/university-southern-california/marshall-school-business,North America,United States,Los Angeles (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/marshall-school-of-business_592560cf2aeae70239af573b_small.jpg,72.3,30,,False,False,34,49,48,7,65,84.2,60,72.8,99.6,51.5
Florida (Warrington),/universities/university-florida/university-florida-warrington-college-business,North America,United States,Gainesville (FL),https://www.topuniversities.com/sites/default/files/profiles/logos/UFMBA-200x200-whitebg-48x48.jpg,67.6,31,,False,False,8,=50,151+,17,=78,97.5,59.5,36,89.5,47.7
HKUST,/universities/hong-kong-university-science-technology/hkust-business-school,Asia,Hong Kong SAR,Hong Kong SAR,https://www.topuniversities.com/sites/default/files/profiles/logos/hkust-business-school_592560cf2aeae70239af582d_small.jpg,67.3,32,,False,False,151+,16,71,83,18,37.1,88.8,67,56.2,79.5
Boston (Questrom),/universities/boston-university/questrom-school-business,North America,United States,Boston (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/school-of-management-boston-university_14153_small.jpg,66.6,33,,False,False,70,=73,111-120,18,48,72.5,53.1,56.2,89.1,59.2
