University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Reputation Rank,Faculty Student Ratio Rank,Web Impact Rank,Academic Reputation Rank,Faculty Staff with PhD Rank,International Research Network Rank,Citations per Paper Rank,Papers per Faculty Rank,Employer Reputation Score,Faculty Student Ratio Score,Web Impact Score,Academic Reputation Score,Faculty Staff with PhD Score,International Research Network Score,Citations per Paper Score,Papers per Faculty Score
Universidad Nacional de San Luis,/universities/universidad-nacional-de-san-luis,Latin America,Argentina,San Luis ,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-san-luis_592560cf2aeae70239af5121_small.jpg,n/a,175,,FALSE,FALSE,151+,11,186,151+,n/a,132,134,201+,6,99.6,17.8,17.5,n/a,38.3,29.4,4.7
Universidad UTE,/universities/universidad-ute,Latin America,Ecuador,Quito,https://www.topuniversities.com/sites/default/files/210920032143pm294210LOGO-1-48x48.jpg,n/a,176,3,FALSE,FALSE,151+,201+,201+,151+,201+,146,10,201+,10.6,26,5.9,15.2,8.6,36.1,98.4,10.7
Universidad de Cuenca,/universities/universidad-de-cuenca,Latin America,Ecuador,Cuenca,https://www.topuniversities.com/sites/default/files/universidad-de-cuenca_592560cf2aeae70239af54cc_small.jpg,n/a,177,,FALSE,FALSE,151+,201+,174,124,201+,117,86,123,10.4,11.9,19.3,26.9,16.5,49.3,43.9,25.1
Universidad del Valle de Guatemala (UVG),/universities/universidad-del-valle-de-guatemala-uvg,Latin America,Guatemala,Guatemala City,https://www.topuniversities.com/sites/default/files/211125092041pm825065Logo-UVG-48x48.jpg,n/a,178,,FALSE,FALSE,151+,55,201+,146,201+,201+,58,201+,14,75,8,21.8,11.1,3.7,57.2,5.8
Universidade Estadual de Feira de Santana,/universities/universidade-estadual-de-feira-de-santana,Latin America,Brazil,,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-feira-de-santana_592560cf2aeae70239af58a4_small.jpg,n/a,179,,FALSE,FALSE,151+,29,201+,151+,52,201+,201+,167,1.9,94.7,14.4,4,85.8,22.2,7.1,14.9
Universidade Federal de Alagoas ,/universities/universidade-federal-de-alagoas,Latin America,Brazil,Maceio,https://www.topuniversities.com/sites/default/files/universidade-federal-de-alagoas-_592560cf2aeae70239af5533_small.jpg,n/a,180,,FALSE,FALSE,151+,134,146,151+,69,92,133,117,1.7,42.2,23.3,4.6,70.2,59.9,29.4,26.8
Universidad Autónoma de Coahuila (UAdeC),/universities/universidad-autonoma-de-coahuila-uadec,Latin America,Mexico,Saltillo,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-coahuila-uadec_592560cf2aeae70239af549f_small.jpg,n/a,181,,FALSE,FALSE,151+,76,201+,151+,201+,145,36,201+,5.2,64.2,8.3,8.3,17.9,36.2,76.6,5.2
Universidad Autónoma de Querétaro (UAQ),/universities/universidad-autonoma-de-queretaro-uaq,Latin America,Mexico,Querétaro,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-quertaro-uaq_592560cf2aeae70239af54a4_small.jpg,n/a,182,,FALSE,FALSE,151+,201+,153,151+,92,201+,93,111,11.4,11.7,21.7,20.9,54.9,16.7,41.7,29.9
Universidad Católica de la Santísima Concepción (UCSC),/universities/universidad-catolica-de-la-santisima-concepcion-ucsc,Latin America,Chile,Concepción,https://www.topuniversities.com/sites/default/files/universidad-catlica-de-la-santsima-concepcin-ucsc_592560cf2aeae70239af54b6_small.jpg,n/a,183,,FALSE,FALSE,151+,201+,201+,151+,139,83,201+,87,9.1,24.5,14.9,16,37.7,62,15,37.4
Universidad Iberoamericana Puebla,/universities/universidad-iberoamericana-puebla,Latin America,Mexico,Puebla,https://www.topuniversities.com/sites/default/files/universidad-iberoamericana-puebla_592560cf2aeae70239af4d06_small.jpg,n/a,184,,FALSE,FALSE,142,27,201+,113,n/a,n/a,n/a,201+,22.8,95.4,6.1,29.8,n/a,n/a,n/a,2.2
