University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Reputation Rank,Faculty Student Ratio Rank,Web Impact Rank,Academic Reputation Rank,Faculty Staff with PhD Rank,International Research Network Rank,Citations per Paper Rank,Papers per Faculty Rank,Employer Reputation Score,Faculty Student Ratio Score,Web Impact Score,Academic Reputation Score,Faculty Staff with PhD Score,International Research Network Score,Citations per Paper Score,Papers per Faculty Score
Universidad Católica de Colombia ,/universities/universidad-catolica-de-colombia,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-catlica-de-colombia-_592560cf2aeae70239af54b3_small.jpg,n/a,217,4,FALSE,FALSE,120,201+,201+,132,201+,201+,201+,180,27.2,16.8,7.6,25.7,13.2,12.9,9.8,13.3
Universidad Católica del Maule,/universities/universidad-catolica-del-maule,Latin America,Chile,Maule,https://www.topuniversities.com/sites/default/files/universidad-catlica-del-maule_592560cf2aeae70239af54b8_small.jpg,n/a,218,,FALSE,FALSE,151+,201+,149,151+,124,71,201+,108,7.8,25.8,22.3,9.9,40.8,66.5,4.4,31.1
Universidad Distrital Francisco José de Caldas,/universities/universidad-distrital-francisco-jose-de-caldas,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-distrital-francisco-jose-de-caldas_592560cf2aeae70239af514b_small.jpg,n/a,219,,FALSE,FALSE,105,201+,145,151+,201+,186,201+,201+,33.4,8.7,23.6,17.1,18.3,26.3,1.5,8.1
Universidad ESAN,/universities/universidad-esan,Latin America,Peru,Surco,https://www.topuniversities.com/sites/default/files/universidad-esan_59804a8dacb2954ac47ed1f2_small.jpg,n/a,220,,FALSE,FALSE,102,201+,201+,151+,176,201+,53,201+,34.5,10.8,9.2,9.3,25.1,5.8,62.3,7
Universidad El Bosque ,/universities/universidad-el-bosque,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-el-bosque_2671_small.jpg,n/a,221,,FALSE,FALSE,137,118,201+,151+,201+,161,144,201+,24.1,47.4,11.5,13.4,16,31.7,26.3,8.3
Universidad Mayor,/universities/universidad-mayor,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-mayor_592560cf2aeae70239af512d_small.jpg,n/a,222,,FALSE,FALSE,151+,201+,201+,151+,201+,67,109,184,14,14.4,15.9,11.1,17.6,68.5,36.6,12.9
Universidad Nacional Autónoma de Honduras (UNAH),/universities/universidad-nacional-autonoma-de-honduras-unah,Latin America,Honduras,Tegucigalpa,https://www.topuniversities.com/sites/default/files/universidad-nacional-autonoma-de-honduras-unah-_592560cf2aeae70239af5502_small.jpg,n/a,223,,FALSE,FALSE,151+,201+,201+,151+,201+,183,77,201+,21.5,7.5,9,17.9,4.2,27.1,48.5,1.6
Universidad Nacional de Río Cuarto - UNRC,/universities/universidad-nacional-de-rio-cuarto-unrc,Latin America,Argentina,Río Cuarto,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-ro-cuarto-unrc_592560cf2aeae70239af5127_small.jpg,n/a,224,,FALSE,FALSE,151+,95,197,151+,n/a,201+,119,201+,3.7,54.3,17.2,19,n/a,19.4,34.2,9
Universidad Popular Autónoma del Estado de Puebla (UPAEP),/universities/universidad-popular-autonoma-del-estado-de-puebla-upaep,Latin America,Mexico,Puebla,https://www.topuniversities.com/sites/default/files/universidad-popular-autnoma-del-estado-de-puebla-upaep_592560cf2aeae70239af5510_small.jpg,n/a,225,4,FALSE,FALSE,146,156,201+,149,150,201+,201+,201+,22.1,36.9,11.9,21.4,34,15.4,2.4,6.8
Universidad Privada Boliviana (UPB),/universities/universidad-privada-boliviana-upb,Latin America,Bolivia,Cochabamba,https://www.topuniversities.com/sites/default/files/211115025237pm217648Logo-Universidad-Privada-Boliviana-48x48.jpeg,n/a,226,4,FALSE,FALSE,151+,32,201+,151+,201+,201+,n/a,201+,16.9,92.3,11.6,11.4,18.1,7.3,n/a,2.3
Universidad San Sebastian - Chile,/universities/universidad-san-sebastian-chile,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/211229085759pm494395LOGO-USS-200x200-48x48.jpg,n/a,227,,FALSE,FALSE,151+,81,162,151+,201+,116,193,201+,15.9,60.7,20.4,8.9,6.7,49.6,17,8.4
Universidad Católica Santa María la Antigua-USMA,/universities/universidad-catolica-santa-maria-la-antigua-usma,Latin America,Panama,Panama City,https://www.topuniversities.com/sites/default/files/universidad-catlica-santa-mara-la-antigua-usma_592560cf2aeae70239af5512_small.jpg,n/a,228,,FALSE,FALSE,89,201+,201+,151+,201+,n/a,n/a,201+,38.4,25.6,3.4,18.4,16.4,n/a,n/a,1.4
Universidad Santo Tomás - Colombia,/universities/universidad-santo-tomas-colombia,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-santo-toms-colombia_592560cf2aeae70239af5516_small.jpg,n/a,229,3,FALSE,FALSE,115,201+,201+,141,201+,201+,201+,201+,29.3,21.9,13.8,22.9,5.8,10.2,1.8,5.6
"Universidad Tecnológica de la Habana José Antonio Echeverría, Cujae",/universities/universidad-tecnologica-de-la-habana-jose-antonio-echeverria-cujae,Latin America,Cuba,Havana,https://www.topuniversities.com/sites/default/files/ciudad-universitaria-jos-antonio-echeverria-cujae_592560cf2aeae70239af547a_small.jpg,n/a,230,,FALSE,FALSE,151+,111,201+,131,107,201+,201+,201+,3.5,48.5,15.6,26.2,47.3,15.6,5.1,3.3
Universidad de Carabobo,/universities/universidad-de-carabobo,Latin America,Venezuela,Valencia,https://www.topuniversities.com/sites/default/files/universidad-de-carabobo_592560cf2aeae70239af54c5_small.jpg,n/a,231,,FALSE,FALSE,94,122,199,151+,167,201+,201+,201+,36.6,45.3,17.1,17.3,27.7,8.8,1.1,2.4
University of Holguín,/universities/university-holguin,Latin America,Cuba,Holguín,https://www.topuniversities.com/sites/default/files/university-of-holgun_592560cf2aeae70239af54cd_small.jpg,n/a,232,,FALSE,FALSE,151+,3,201+,151+,201+,201+,201+,201+,5,100,7,14.3,3.3,13.9,1,1.2
Universidad de La Salle,/universities/universidad-de-la-salle,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-de-la-salle_592560cf2aeae70239af5154_small.jpg,n/a,233,4,FALSE,FALSE,124,201+,201+,126,146,201+,201+,193,26.4,17.5,10.4,26.7,34.3,9.8,1.3,12
Universidad de Los Lagos,/universities/universidad-de-los-lagos,Latin America,Chile,Osorno,https://www.topuniversities.com/sites/default/files/universidad-de-los-lagos_592560cf2aeae70239af54d4_small.jpg,n/a,234,,FALSE,FALSE,151+,201+,79,151+,113,171,201+,64,7,14,36.6,12.3,44.9,29.6,8.8,52.8
Universidad de San Martín de Porres,/universities/universidad-de-san-martin-de-porres,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/universidad-de-san-martn-de-porres_592560cf2aeae70239af5159_small.jpg,n/a,235,,FALSE,FALSE,117,201+,201+,151+,186,191,201+,201+,28.1,6.8,11.4,20.5,21.3,24.7,2,4
Universidad de Santander - UDES,/universities/universidad-de-santander-udes,Latin America,Colombia,Bucaramanga,https://www.topuniversities.com/sites/default/files/universidad-de-santander-udes_592560cf2aeae70239af54e4_small.jpg,n/a,236,4,FALSE,FALSE,151+,201+,201+,151+,201+,153,44,201+,14.9,23,8.4,16.6,3.8,34.3,69.8,4.5
Universidad de la Costa,/universities/universidad-de-la-costa,Latin America,Colombia,Barranquilla,https://www.topuniversities.com/sites/default/files/universidad-de-la-costa_592560e99988f300e23224d2_small.jpg,n/a,237,,FALSE,FALSE,151+,201+,201+,151+,201+,73,40,55,4.8,8.8,6.4,4.5,13.1,64.6,72,59.7
Universidad de las Fuerzas Armadas ESPE (Ex - Escuela Politécnica del Ejército),/universities/universidad-de-las-fuerzas-armadas-espe-ex-escuela-politecnica-del-ejercito,Latin America,Ecuador,Sangolquí,https://www.topuniversities.com/sites/default/files/universidad-de-las-fuerzas-armadas-espe-ex-escuela-politcnica-del-ejrcito_592560cf2aeae70239af565d_small.jpg,n/a,238,,FALSE,FALSE,129,201+,172,144,201+,150,201+,171,25.8,24.3,19.5,22,10.3,34.7,2.1,14.5
Universidad del Atlántico,/universities/universidad-del-atlantico,Latin America,Colombia,Barranquilla,https://www.topuniversities.com/sites/default/files/universidad-del-atlntico_592560cf2aeae70239af54e5_small.jpg,n/a,239,,FALSE,FALSE,151+,201+,201+,151+,n/a,151,47,201+,17.8,4.6,13.8,16.5,n/a,34.6,67,1.8
Universidad del Salvador,/universities/universidad-del-salvador,Latin America,Argentina,Buenos Aires,https://www.topuniversities.com/sites/default/files/universidad-del-salvador_592560cf2aeae70239af511d_small.jpg,n/a,240,,FALSE,FALSE,91,107,201+,151+,201+,201+,201+,201+,38.1,50,9.4,18.5,15,2.6,1.1,3
Universidad del Valle de México (UVM),/universities/universidad-del-valle-de-mexico-uvm,Latin America,Mexico,Ciudad de México,https://www.topuniversities.com/sites/default/files/universidad-del-valle-de-mxico-uvm_2670_small.jpg,n/a,241,4,FALSE,FALSE,71,201+,201+,151+,n/a,201+,103,201+,50.3,11.4,5.6,16.2,n/a,6.3,39.5,1.5
Universidade Estadual do Norte Fluminense Darcy Ribeiro,/universities/universidade-estadual-do-norte-fluminense-darcy-ribeiro,Latin America,Brazil,Campos dos Goytacazes,https://www.topuniversities.com/sites/default/files/universidade-estadual-do-norte-fluminense-_592560cf2aeae70239af5530_small.jpg,n/a,242,,FALSE,FALSE,151+,162,163,151+,171,168,200,8,7.7,35.1,20.3,3.4,26.4,30.1,15,98.4
Universidade Estadual do Oeste do Paraná,/universities/universidade-estadual-do-oeste-do-parana,Latin America,Brazil,Foz do Iguaçu,https://www.topuniversities.com/sites/default/files/universidade-estadual-do-oeste-do-paran_592560cf2aeae70239af5531_small.jpg,n/a,243,,FALSE,FALSE,151+,37,120,151+,184,201+,177,129,1.7,85.3,27,6.4,21.8,15.3,20.2,22.4
Universidade Federal de Roraima,/universities/universidade-federal-de-roraima,Latin America,Brazil,Boa Vista,https://www.topuniversities.com/sites/default/files/universidade-federal-de-roraima_592560cf2aeae70239af5630_small.jpg,n/a,244,,FALSE,FALSE,151+,39,121,151+,87,201+,201+,201+,3.3,83.4,26.7,2.3,58.4,5.7,2.3,9.2
Universidade Federal de São João del-Rei ,/universities/universidade-federal-de-sao-joao-del-rei,Latin America,Brazil,São João del Rei,https://www.topuniversities.com/sites/default/files/universidade-federal-de-so-joo-del-rei-_592560cf2aeae70239af5540_small.jpg,n/a,245,,FALSE,FALSE,151+,201+,104,151+,58,201+,179,70,5.2,21,29.9,7.4,83.5,22.3,20,48.4
Universidade Federal do Maranhão,/universities/universidade-federal-do-maranhao,Latin America,Brazil,São Luís,https://www.topuniversities.com/sites/default/files/universidade-federal-do-maranho_592560cf2aeae70239af554b_small.jpg,n/a,246,,FALSE,FALSE,151+,161,84,151+,65,195,201+,136,7.3,35.4,35.3,6.3,74.3,24.1,13.7,21.5
Universidade Federal dos Vales do Jequitinhonha e Mucuri ,/universities/universidade-federal-dos-vales-do-jequitinhonha-e-mucuri,Latin America,Brazil,Teófilo Otoni,https://www.topuniversities.com/sites/default/files/universidade-federal-dos-vales-do-jequitinhonha-e-mucuri-_592560cf2aeae70239af554e_small.jpg,n/a,247,,FALSE,FALSE,151+,62,173,151+,57,201+,201+,98,3,72.5,19.4,2,84.5,11.3,8.1,33.4
Universidade Paulista ,/universities/universidade-paulista,Latin America,Brazil,São Paulo,https://www.topuniversities.com/sites/default/files/universidade-paulista-_592560cf2aeae70239af5622_small.jpg,n/a,248,,FALSE,FALSE,119,201+,69,151+,n/a,192,81,76,27.6,1.1,41.4,9.5,n/a,24.5,47.2,45
Universidade de Passo Fundo ,/universities/universidade-de-passo-fundo,Latin America,Brazil,Passo Fundo,https://www.topuniversities.com/sites/default/files/universidade-de-passo-fundo-_592560cf2aeae70239af551e_small.jpg,n/a,249,,FALSE,FALSE,151+,201+,154,151+,n/a,130,17,149,3.1,5.6,21.5,7.4,n/a,38.6,88.5,18.1
Universidade de Santa Cruz do Sul,/universities/universidade-de-santa-cruz-do-sul,Latin America,Brazil,Santa Cruz do Sul,https://www.topuniversities.com/sites/default/files/universidade-de-santa-cruz-do-sul_592560cf2aeae70239af551f_small.jpg,n/a,250,,FALSE,FALSE,151+,201+,29,151+,118,201+,82,201+,3.8,9.4,74.7,5.4,43.3,11.1,46.9,9.8
Universidade do Estado da Bahia ,/universities/universidade-do-estado-da-bahia,Latin America,Brazil,Salvador,https://www.topuniversities.com/sites/default/files/universidade-do-estado-da-bahia-_592560cf2aeae70239af5524_small.jpg,n/a,251,,FALSE,FALSE,151+,60,178,151+,133,201+,201+,201+,7,73.9,18.9,7.6,39,14.4,2.4,4.5
University of the West Indies at Mona,/universities/university-west-indies-mona,Latin America,Jamaica,,,n/a,252,,FALSE,FALSE,151+,n/a,169,151+,n/a,47,51,n/a,7.6,n/a,19.9,13.4,n/a,83.8,63.8,n/a
Escuela Agrícola Panamericana Zamorano,/universities/escuela-agricola-panamericana-zamorano,Latin America,Honduras,San Antonio de Oriente,https://www.topuniversities.com/sites/default/files/240206042658pm704163Profile-picture-3--3--48x48.jpg,n/a,253,,FALSE,FALSE,151+,n/a,201+,151+,n/a,201+,1,n/a,12.6,n/a,6.3,10.6,n/a,5.1,100,n/a
Federal University of Piauí,/universities/federal-university-piaui,Latin America,Brazil,Teresina,https://www.topuniversities.com/sites/default/files/220907114339am202321Universidade-Federal-Do-Piaui-48x48.jpg,n/a,254,,FALSE,FALSE,n/a,201+,72,n/a,n/a,78,112,110,n/a,26.2,41,n/a,n/a,64.1,36,30.7
Fundación Universitaria Konrad Lorenz,/universities/fundacion-universitaria-konrad-lorenz,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/LOGO-VERTICAL-K-COLOR-200x200-1-48x48.jpg,n/a,255,,FALSE,FALSE,151+,201+,201+,151+,201+,201+,38,122,7.7,15.1,8,5.7,14.3,13.3,74,25.2
Instituto Tecnológico de Sonora (ITSON),/universities/instituto-tecnologico-de-sonora-itson,Latin America,Mexico,Ciudad Obregón,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-de-sonora-itson_592560cf2aeae70239af513e_small.jpg,n/a,256,,FALSE,FALSE,151+,201+,201+,151+,201+,201+,90,201+,10.6,13.4,6.1,10.2,18.4,15.7,42.6,8.2
National University of the Patagonia San Juan Bosco,/universities/national-university-patagonia-san-juan-bosco,Latin America,Argentina,Comodoro Rivadavia,https://www.topuniversities.com/sites/default/files/national-university-of-the-patagonia-san-juan-bosco_592560df9988f300e23208d0_small.jpg,n/a,257,,FALSE,FALSE,151+,49,201+,151+,n/a,201+,201+,201+,3.7,78.1,10.3,10.2,n/a,22.5,8,5.5
Pontifícia Universidade Católica de Minas Gerais,/universities/pontificia-universidade-catolica-de-minas-gerais,Latin America,Brazil,Belo Horizonte,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-do-minas-gerais_592560cf2aeae70239af548c_small.jpg,n/a,258,,FALSE,FALSE,151+,201+,177,148,201+,201+,198,201+,19.2,13.1,18.9,21.5,11.9,16.2,15.4,7.4
Universidad Politécnica Salesiana,/universities/universidad-politecnica-salesiana,Latin America,Ecuador,Cuenca,https://www.topuniversities.com/sites/default/files/universidad-politcnica-salesiana_5ae9a0f26ee6c80c5c24f8fc_small.jpg,n/a,259,,FALSE,FALSE,151+,201+,160,151+,201+,194,201+,139,12.8,10.8,20.9,18.4,17.4,24.2,1.6,20.8
Universidad Abierta Interamericana,/universities/universidad-abierta-interamericana,Latin America,Argentina,Buenos Aires,https://www.topuniversities.com/sites/default/files/universidad-abierta-interamericana_592560cf2aeae70239af5490_small.jpg,n/a,260,,FALSE,FALSE,151+,28,201+,151+,201+,201+,201+,201+,17.2,95.2,9.9,8.3,4.4,2,1.2,1.3
Universidad Arturo Prat ,/universities/universidad-arturo-prat,Latin America,Chile,Iquique,https://www.topuniversities.com/sites/default/files/universidad-arturo-prat-_592560cf2aeae70239af512e_small.jpg,n/a,261,,FALSE,FALSE,151+,201+,201+,151+,196,102,201+,138,14,9.3,8.7,7.9,19.3,55.8,6.6,21.1
Universidad Autónoma de Bucaramanga - UNAB,/universities/universidad-autonoma-de-bucaramanga-unab,Latin America,Colombia,Bucaramanga,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-bucaramanga_592560cf2aeae70239af514e_small.jpg,n/a,262,,FALSE,FALSE,151+,143,201+,151+,201+,201+,156,201+,15.3,40.3,15.6,13.1,12.1,6.6,24.7,7.9
Universidad Autónoma de Ciudad Juà¡rez (UACJ),/universities/universidad-autonoma-de-ciudad-juarez-uacj,Latin America,Mexico,Ciudad Juárez,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-ciudad-jurez-uacj_592560cf2aeae70239af549e_small.jpg,n/a,263,,FALSE,FALSE,151+,150,151,151+,169,201+,122,201+,2.8,38.8,22.2,11.6,27,18.3,32.4,5.5
Universidad CES,/universities/universidad-ces,Latin America,Colombia,Medellín,https://www.topuniversities.com/sites/default/files/universidad-ces_592560cf2aeae70239af5602_small.jpg,n/a,264,,FALSE,FALSE,151+,46,201+,151+,201+,201+,201+,201+,10.5,79.7,13.9,10.3,9.7,12.6,4.9,10
"Universidad Católica Boliviana ""San Pablo""",/universities/universidad-catolica-boliviana,Latin America,Bolivia,La Paz,https://www.topuniversities.com/sites/default/files/universidad-catlica-boliviana-_592560cf2aeae70239af561d_small.jpg,n/a,265,,FALSE,FALSE,151+,201+,201+,143,201+,201+,201+,201+,14.9,12.6,7.7,22.1,9.1,15.5,6.1,2.6
Universidad Católica de Santiago de Guayaquil,/universities/universidad-catolica-de-santiago-de-guayaquil,Latin America,Ecuador,Guayaquil,https://www.topuniversities.com/sites/default/files/universidad-catlica-de-santiago-de-guayaquil_592560cf2aeae70239af54b4_small.jpg,n/a,266,,FALSE,FALSE,151+,201+,201+,151+,201+,160,201+,201+,20.1,10.8,7.3,17,7.2,31.7,3.6,8.2
"Universidad Centroamericana ""José Simeón Cañas""",/universities/universidad-centroamericana-jose-simeon-canas,Latin America,El Salvador,San Salvador,https://www.topuniversities.com/sites/default/files/universidad-centroamericana-jos-simen-caas_592560cf2aeae70239af54c2_small.jpg,n/a,267,,FALSE,FALSE,127,201+,201+,151+,201+,n/a,n/a,201+,25.9,17.4,14.6,17.6,15.2,n/a,n/a,1.9
Universidad Científica del Sur,/universities/universidad-cientifica-del-sur,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/universidad-cientfica-del-sur_592560cf2aeae70239af5a3a_small.jpg,n/a,268,4,FALSE,FALSE,151+,201+,201+,151+,201+,187,147,201+,20.4,22.2,14.1,12.2,2.2,25.5,26,6.9
Universidad EAN,/universities/universidad-ean,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-ean_592560cf2aeae70239af4d5c_small.jpg,n/a,269,,FALSE,FALSE,112,201+,201+,151+,201+,n/a,183,201+,29.8,16.5,8.6,17.9,13.3,n/a,19.6,6.7
Universidad Juàrez del Estado de Durango (UJED),/universities/universidad-juarez-del-estado-de-durango-ujed,Latin America,Mexico,Durango,https://www.topuniversities.com/sites/default/files/universidad-jurez-del-estado-de-durango-ujed_592560cf2aeae70239af54fa_small.jpg,n/a,270,,FALSE,FALSE,151+,201+,201+,151+,24,201+,201+,156,3.6,5.1,10.1,5.7,97.6,20.6,7.3,17
Universidad Libre ,/universities/universidad-libre,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-libre-_592560cf2aeae70239af54fe_small.jpg,n/a,271,,FALSE,FALSE,151+,82,201+,151+,n/a,201+,201+,201+,17,60.5,10.3,10.5,n/a,8.7,3.3,3.7
Universidad Mayor de San Simón,/universities/universidad-mayor-de-san-simon,Latin America,Bolivia,Cochabamba,https://www.topuniversities.com/sites/default/files/universidad-mayor-de-san-simn-cochabamba-umss_592560cf2aeae70239af561b_small.jpg,n/a,272,,FALSE,FALSE,151+,201+,201+,151+,201+,173,71,201+,9.9,2,8.5,20.6,5,29.2,50.8,2.9
Universidad Nacional de Entre Rios,/universities/universidad-nacional-de-entre-rios,Latin America,Argentina,,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-entre-rios_592560df9988f300e23209d9_small.jpg,n/a,273,,FALSE,FALSE,151+,43,201+,151+,n/a,201+,100,201+,3.7,81.4,12.7,6.9,n/a,5.9,39.8,2.5
Universidad Nacional de Itapúa,/universities/universidad-nacional-de-itapua,Latin America,Paraguay,Encarnación,https://www.topuniversities.com/sites/default/files/240119030242pm949330lo.-UNI-oficial-48x48.jpg,n/a,274,,FALSE,FALSE,151+,48,201+,151+,201+,n/a,n/a,201+,21.4,79.1,2.3,8.1,17.7,n/a,n/a,1.1
Universidad Nacional de San Agustín de Arequipa,/universities/universidad-nacional-de-san-agustin-de-arequipa,Latin America,Peru,Arequipa,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-san-agustn-de-arequipa_592560cf2aeae70239af5505_small.jpg,n/a,275,,FALSE,FALSE,151+,201+,201+,147,201+,201+,201+,142,19,3.9,12,21.8,5.3,22.6,1.2,19.4
Universidad Nacional de San Juan,/universities/universidad-nacional-de-san-juan,Latin America,Argentina,,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-san-juan_592560df9988f300e23209c4_small.jpg,n/a,276,,FALSE,FALSE,151+,61,130,151+,n/a,201+,201+,201+,3.7,73.2,25.2,15,n/a,18.8,6.5,5
Universidad Nacional de Trujillo,/universities/universidad-nacional-de-trujillo,Latin America,Peru,Trujillo,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-trujillo_592560cf2aeae70239af5506_small.jpg,n/a,277,,FALSE,FALSE,151+,136,201+,151+,n/a,143,201+,201+,9,42,13.8,19.3,n/a,36.6,1.5,3.3
Universidad Politécnica de Puerto Rico - PUPR,/universities/universidad-politecnica-de-puerto-rico-pupr,Latin America,Puerto Rico,San Juan,https://www.topuniversities.com/sites/default/files/universidad-politcnica-de-puerto-rico-pupr_592560cf2aeae70239af562d_small.jpg,n/a,278,,FALSE,FALSE,151+,201+,201+,151+,82,n/a,n/a,201+,19.5,11.7,10.4,9.2,63,n/a,n/a,2.3
Universidad Ricardo Palma ,/universities/universidad-ricardo-palma,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/universidad-ricardo-palma-_592560cf2aeae70239af515a_small.jpg,n/a,279,,FALSE,FALSE,145,201+,201+,151+,119,201+,201+,201+,22.1,18,8.3,13.7,42.3,3.3,1.1,3.5
Universidad Santo Tomás - Chile,/universities/universidad-santo-tomas-chile,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-santo-toms-chile_592560df9988f300e23209e7_small.jpg,n/a,280,,FALSE,FALSE,151+,201+,201+,151+,201+,125,174,201+,11.5,17.7,4.3,10.8,8,41.4,20.8,6.3
Universidad Sergio Arboleda,/universities/universidad-sergio-arboleda,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-sergio-arboleda_592560cf2aeae70239af5155_small.jpg,n/a,281,,FALSE,FALSE,111,181,201+,151+,n/a,201+,201+,201+,30.4,31.6,8.8,9.2,n/a,13.4,2,7.2
Universidad Técnica Particular de Loja,/universities/universidad-tecnica-particular-de-loja,Latin America,Ecuador,Loja,https://www.topuniversities.com/sites/default/files/universidad-tcnica-particular-de-loja_592560cf2aeae70239af593c_small.jpg,n/a,282,,FALSE,FALSE,151+,201+,150,145,201+,180,201+,162,12.3,2.4,22.3,21.8,12.7,27.4,13.6,15.7
Universidad Tecnológica Metropolitana (UTEM),/universities/universidad-tecnologica-metropolitana-utem,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-tecnolgica-metropolitana-utem_592560cf2aeae70239af5518_small.jpg,n/a,283,,FALSE,FALSE,151+,201+,201+,151+,n/a,174,72,201+,12.9,21.7,10,7.4,n/a,29.1,50.6,10.1
Universidad Tecnológica de Bolívar,/universities/universidad-tecnologica-de-bolivar,Latin America,Colombia,Cartagena,https://www.topuniversities.com/sites/default/files/universidad-tecnolgica-de-bolvar_592560cf2aeae70239af5377_small.jpg,n/a,284,,FALSE,FALSE,133,201+,201+,151+,201+,201+,201+,66,24.6,7.2,4.5,11.4,17,15.9,11.1,51.6
Universidad Tecnológica de México (UNITEC),/universities/universidad-tecnologica-de-mexico-unitec,Latin America,Mexico,Mexico City,https://www.topuniversities.com/sites/default/files/universidad-tecnolgica-de-mxico-unitec_2707_small.jpg,n/a,285,3,FALSE,FALSE,84,201+,201+,151+,201+,201+,n/a,201+,41.4,7.3,8.1,14.9,4.1,2,n/a,1.2
Universidad de Caldas ,/universities/universidad-de-caldas,Latin America,Colombia,Manizales,https://www.topuniversities.com/sites/default/files/universidad-de-caldas-_592560cf2aeae70239af54c4_small.jpg,n/a,286,3,FALSE,FALSE,151+,201+,158,140,n/a,201+,201+,140,18,21.7,21.1,23,n/a,21.5,1.5,20.7
Universidad de Cienfuegos Carlos Rafael Rodríguez,/universities/universidad-de-cienfuegos-carlos-rafael-rodriguez,Latin America,Cuba,Cienfuegos,https://www.topuniversities.com/sites/default/files/universidad-de-cienfuegos-carlos-rafael-rodrguez_592560cf2aeae70239af54c8_small.jpg,n/a,287,,FALSE,FALSE,151+,33,201+,151+,201+,201+,201+,201+,1.6,91.4,5,14.9,14.3,5.8,1.3,2.9
Universidad de Playa Ancha,/universities/universidad-de-playa-ancha,Latin America,Chile,Valparaíso,https://www.topuniversities.com/sites/default/files/universidad-de-playa-ancha_592560df9988f300e23209e1_small.jpg,n/a,288,,FALSE,FALSE,151+,201+,90,151+,181,179,201+,88,4.2,23.9,33.7,7.7,24,27.5,1.6,37.2
Universidad de San Buenaventura,/universities/universidad-de-san-buenaventura,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-de-san-buenaventura_592560cf2aeae70239af54e2_small.jpg,n/a,289,,FALSE,FALSE,151+,9,201+,151+,n/a,201+,201+,201+,9.5,99.8,6.6,9.5,n/a,8.4,5.8,6.4
Universidad del Magdalena,/universities/universidad-del-magdalena,Latin America,Colombia,Santa Marta,https://www.topuniversities.com/sites/default/files/universidad-del-magdalena_592560cf2aeae70239af5152_small.jpg,n/a,290,3,FALSE,FALSE,151+,201+,201+,151+,201+,201+,201+,201+,19.9,7.4,10.7,18.3,12.6,15.5,2.4,11.2
Universidad del Tolima,/universities/universidad-del-tolima,Latin America,Colombia,Ibagué,https://www.topuniversities.com/sites/default/files/universidad-del-tolima_592560cf2aeae70239af54ef_small.jpg,n/a,291,,FALSE,FALSE,151+,69,201+,151+,n/a,201+,201+,185,10.9,68.7,15.2,10.5,n/a,16.6,8.5,12.5
UNIVA Universidad del Valle de Atemajac,/universities/univa-universidad-del-valle-de-atemajac,Latin America,Mexico,Guadalajara,https://www.topuniversities.com/sites/default/files/univa-universidad-del-valle-de-atemajac_592560cf2aeae70239af5a30_small.jpg,n/a,292,,FALSE,FALSE,151+,38,201+,151+,99,n/a,n/a,201+,4.8,84.8,4,5.5,51.7,n/a,n/a,1.1
Universidade Estadual da Paraíba,/universities/universidade-estadual-da-paraiba,Latin America,Brazil,Campina Grande,https://www.topuniversities.com/sites/default/files/universidade-estadual-da-paraba_592560cf2aeae70239af5527_small.jpg,n/a,293,,FALSE,FALSE,151+,137,157,151+,98,201+,201+,183,1.9,41.8,21.2,5.3,52.2,12.8,3.8,13
Universidade Estadual de Montes Claros ,/universities/universidade-estadual-de-montes-claros,Latin America,Brazil,Montes Claros,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-montes-claros-_592560cf2aeae70239af552a_small.jpg,n/a,294,,FALSE,FALSE,151+,45,170,151+,162,201+,201+,201+,2.7,80.5,19.8,3.5,28.1,4.3,3.6,7.9
