University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Diversity Rank,Value for Money Rank,Alumni Outcomes Rank,Thought Leadership Rank,Employability Rank,Diversity Score,Value for Money Score,Alumni Outcomes Score,Thought Leadership Score,Employability Score
CENTRUM Catolica Business School,/universities/centrum-catolica,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/profiles/logos/centrum-catolica_592560cf2aeae70239af5872_small.jpg,48.6,37,,False,False,51+,51+,51+,17,18,33.6,45.2,33.3,63.6,64.5
University of Technology Sydney Business School,/universities/university-technology-sydney/uts-business-school,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-technology-sydney_592560cf2aeae70239af58ee_small.jpg,48.2,38,,False,False,=32,39,45,46,31,65,59.8,48.6,44.9,50.5
Washington (Olin),/universities/washington-university-st-louis/olin-business-school,North America,United States,St Louis (MO),https://www.topuniversities.com/sites/default/files/profiles/logos/olin-business-school_592560cf2aeae70239af5861_small.jpg,47.6,39,,False,False,51+,51+,15,=40,37,50.2,42.1,77.6,49.1,48.7
Universidad Complutense de Madrid (UCM),/universities/complutense-university-madrid,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/profiles/logos/complutense-university-of-madrid_592560cf2aeae70239af4bff_small.jpg,47.2,40,,False,False,3,51+,=30,42,50,93.6,46.7,58.2,48.5,41.3
Rensselaer Polytechnic (Lally),/universities/rensselaer-polytechnic-institute/lally-school-management,North America,United States,Troy (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/lally-school-of-management_592560cf2aeae70239af57a7_small.jpg,47.1,41,,False,False,51+,4,20,51+,51+,55.8,96.9,68,31.7,28.6
University of San Diego,/universities/university-san-diego/knauss-school-business-university-san-diego,North America,United States,San Diego (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/230126074701pm579209200X200-logo-48x48.jpg,47.1,42,,False,False,40,=15,28,51+,51+,61.6,84.8,59.1,27.2,40.3
ESIC Business & Marketing School,/universities/esic,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/Logo-ESIC-200x200-1-48x48.jpg,46.9,43,,False,False,51+,29,51+,51+,22,50.5,73.2,42,27.4,56.8
The Hong Kong Polytechnic University,/universities/hong-kong-polytechnic-university,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/profiles/logos/the-hong-kong-polytechnic-university_267_small.jpg,46.7,44,,False,False,38,51+,51+,18,17,62.4,27.3,25.1,63.2,66
Excelia Business School,/universities/excelia,Europe,France,La Rochelle,https://www.topuniversities.com/sites/default/files/profiles/logos/220422104458am748447Logo-Excelia-Business-School-Couleur-RVB-JPG-48x48.jpg,45.3,46,,False,False,2,34,=30,51+,51+,94.3,66.3,58.2,33.5,34
Bologna University Business School,/universities/alma-mater-studiorum-university-bologna/bologna-business-school-university-bologna,Europe,Italy,Bologna,https://www.topuniversities.com/sites/default/files/profiles/logos/logo-4-48x48.jpg,44.3,47,,False,False,51+,13,51+,19,51+,25.6,86.5,20,62.6,39.4
University of Bristol,/universities/university-bristol/school-accounting-finance,Europe,United Kingdom,Bristol,https://www.topuniversities.com/sites/default/files/profiles/logos/220922091736am521921download-48x48.jpg,44.3,48,,False,False,19,51+,51+,43,24,74.3,45.2,28.7,47.4,54.1
Wollongong (Sydney),/universities/university-wollongong/sydney-business-school-university-wollongong,Oceania,Australia,"Wollongong, Dubai",https://www.topuniversities.com/sites/default/files/profiles/logos/sydney-business-school_592560cf2aeae70239af57aa_small.jpg,44.3,49,,False,False,30,35,50,51+,48,65.9,63.1,44.3,41.7,43
KEDGE Business School,/universities/kedge-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/kedge-business-school_592560e19988f300e2320ed3_small.jpg,43.6,50,,False,False,11,45,51+,51+,=45,76.7,53,43.4,41.6,44.3
Aston Business School,/universities/aston-university/aston-business-school,Europe,United Kingdom,Birmingham,https://www.topuniversities.com/sites/default/files/profiles/logos/aston-business-school_592560cf2aeae70239af558d_small.jpg,41.3,51,,False,False,51+,51+,46,51+,33,50.5,45.7,46.1,42,49.5
Brunel Business School,/universities/brunel-university-london/brunel-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/brunel-business-school_15152_small.jpg,40.2,52,,False,False,39,43,44,51+,51+,62,55.1,49,37.7,39.3
"Graduate School, Chulalongkorn University",/universities/chulalongkorn-university,Asia,Thailand,Bangkok,https://www.topuniversities.com/sites/default/files/chulalongkorn-university_small.jpg,43.3,53,,False,False,51+,51+,41,=35,21,54.6,20,50.5,54.3,58.6
Concordia (John Molson),/universities/concordia-university/john-molson-school-business,North America,Canada,Montreal,https://www.topuniversities.com/sites/default/files/profiles/logos/210812053433pm136199Logo-200x200-48x48.jpg,41.8,54,,False,False,34,51+,21,51+,51+,64.7,43.2,67.4,38.7,40.7
ESAN Graduate School of Business,/universities/esan-graduate-school-business-esan-university,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/profiles/logos/esan-graduate-school-of-business_592560cf2aeae70239af5848_small.jpg,29.2,55,,False,False,51+,51+,51+,51+,29,32.4,33,20,31.3,50.9
Edinburgh Napier University (The Business School),/universities/edinburgh-napier-university,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/profiles/logos/ENU-logo-Stacked-200x200px-48x48.jpg,29.6,56,,False,False,51+,38,51+,51+,51+,53.8,60.3,20,30.2,30.6
GBSB Global Business School,/universities/gbsb-global-business-school,Europe,Spain,"Barcelona, Madrid",https://www.topuniversities.com/sites/default/files/profiles/logos/gbsb-global-business-school_5c58186110ca601f0c143d92_small.jpg,30.7,57,,False,False,=46,28,51+,51+,51+,60.1,74,20,21,28.7
Groupe ISCAE,/universities/institut-superieur-de-commerce-et-dadministration-des-entreprises-iscae,Africa,Morocco,"Casablanca, Rabat",https://www.topuniversities.com/sites/default/files/profiles/logos/Webp.net-resizeimage-2021-06-15T130828.747-48x48.jpg,27.2,58,,False,False,51+,51+,51+,51+,47,22.8,35.1,26.8,33.5,43.5
Higher School of Economics,/universities/hse-university/higher-school-economics,Europe,Russia,Moscow,https://www.topuniversities.com/sites/default/files/profiles/logos/management_59b53064acb29513cb206c52_small.jpg,40.2,59,,False,True,51+,51+,51+,=28,40,49.7,31.8,42,57.6,47.8
ICN Business School,/universities/icn-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/230517085820am925464Logo-petit-48x48.jpg,34.4,60,,False,False,9,33,51+,51+,51+,78.9,66.9,37,28.6,24.4
ISCTE Business School,/universities/iscte-iul/iscte-business-school,Europe,Portugal,Lisbon,https://www.topuniversities.com/sites/default/files/profiles/logos/Webp.net-resizeimage-2021-06-15T114854.999-48x48.jpg,27.1,61,,False,False,13,51+,51+,45,51+,76.1,23.2,29.1,45.4,27.2
Indian Institute of Management Udaipur,/universities/indian-institute-management-udaipur,Asia,India,Udaipur,https://www.topuniversities.com/sites/default/files/profiles/logos/indian-institute-of-management-udaipur_59eea2e7acb295022c1ad25d_small.jpg,25,62,,False,False,51+,51+,51+,51+,51+,24.3,43,20,32.7,36.9
International Business School Suzhou,/universities/xian-jiaotong-liverpool-university,Asia,China (Mainland),Suzhou,https://www.topuniversities.com/sites/default/files/profiles/logos/xian-jiaotong-liverpool-university_592560cf2aeae70239af581d_small.jpg,23.4,63,,False,False,=35,51+,51+,51+,51+,64.6,26.9,20,31.5,31.5
International University of Japan ,/universities/international-university-japan-0,Asia,Japan,Niigata,https://www.topuniversities.com/sites/default/files/profiles/logos/international-university-of-japan-_592560cf2aeae70239af56e8_small.jpg,28.3,64,,False,False,51+,47,51+,51+,51+,57.2,51.7,20,31,31.3
Kent Business School,/universities/university-kent/kent-business-school,Europe,United Kingdom,Canterbury,https://www.topuniversities.com/sites/default/files/profiles/logos/kent-business-school_592560cf2aeae70239af55ad_small.jpg,34.6,65,,False,False,51+,51+,25,47,51+,55.9,35.9,61.4,44.8,29.5
Manchester Metropolitan University Business School,/universities/manchester-metropolitan-university/manchester-metropolitan-university-business-school,Europe,United Kingdom,Manchester,https://www.topuniversities.com/sites/default/files/profiles/logos/manchester-metropolitan-university-business-school_592560cf2aeae70239af56ed_small.jpg,37.9,66,,False,False,25,46,51+,51+,51+,69.8,52.6,41.9,35.7,37.3
Mediterranean School of Business,/universities/mediterranean-school-business-msb,Africa,Tunisia,Tunis,https://www.topuniversities.com/sites/default/files/profiles/logos/Webp.net-resizeimage-2021-06-15T131607.289-2-48x48.jpg,36.9,67,,False,False,51+,51+,51+,51+,19,58,42.4,21.3,21.7,61
Nottingham University Business School,/universities/university-nottingham/nottingham-university-business-school,Europe,United Kingdom,Nottingham,https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-nottingham-business-school_5171_small.jpg,43.3,68,,False,False,27,51+,23,23,=43,67.4,22.7,64.3,59.6,44.5
Pacifico Business School,/universities/universidad-del-pacifico/pacifico-business-school,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/pacifico-business-school_5c86158b10ca605c2865f8a9_small.jpg,35.3,69,,False,False,51+,51+,51+,=35,51+,35.7,47.7,24.3,54.3,40.9
RIT (Saunders),/universities/rochester-institute-technology-rit/saunders-college-business-rochester-institute-technology,North America,United States,Rochester (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/rochester-institute-of-technology-rit-saunders-college-of-business_28292_small.jpg,34.7,70,,False,False,51+,50,36,51+,51+,42.7,49,54.4,36.1,34.3
Rabat Business School,/universities/universit-internationale-de-rabat/rabat-business-school,Africa,Morocco,Rabat,https://www.topuniversities.com/sites/default/files/profiles/logos/221209043122pm221692LOGO-RBS--48x48.jpg,21.8,71,,False,False,51+,51+,51+,51+,51+,49.5,35.1,27.4,36.4,21.6
Rennes School of Business,/universities/rennes-school-business,Europe,France,Rennes,https://www.topuniversities.com/sites/default/files/profiles/logos/230109035739pm488405Logo-Rennes-SB-200-48x48.jpg,33.6,72,,False,False,8,37,51+,51+,51+,81.2,60.6,24.6,39,25.1
Sheffield University Management School,/universities/university-sheffield/university-sheffield-management-school,Europe,United Kingdom,Sheffield,https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-sheffield-management-school_14520_small.jpg,42,73,,False,False,=35,51+,32,=28,51+,64.6,35.9,57.4,57.6,38.5
Southampton Business School,/universities/university-southampton/southampton-business-school,Europe,United Kingdom,Southampton,https://www.topuniversities.com/sites/default/files/profiles/logos/southampton-business-school_592560cf2aeae70239af573a_small.jpg,39.6,74,,False,False,20,51+,49,31,51+,72.5,35.3,44.4,57,37.3
The University of Sussex Business School,/universities/university-sussex/university-sussex-business-school,Europe,United Kingdom,Brighton,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-sussex-business-school_5e345b3e5c52f369cb6078d3_small.jpg,33.4,75,,False,False,22,51+,38,51+,51+,71.5,40.1,53,39.1,26.8
Tilburg University	,/universities/tilburg-university,Europe,Netherlands,Tilburg,https://www.topuniversities.com/sites/default/files/profiles/logos/tilburg-university_592560cf2aeae70239af4ce5_small.jpg,37.8,76,,False,False,48,36,47,51+,51+,59.8,61.2,45.5,41.8,29.9
Tongji-UTK-KLU,/universities/tongji-university/msc-tricontinent-global-supply-chain-management-program,Asia,China (Mainland),"Shanghai, Hamburg, Knoxville",https://www.topuniversities.com/sites/default/files/profiles/logos/tongji-university_592560cf2aeae70239af5934_small.jpg,40.7,77,,False,False,51+,30,51+,=40,51+,37,72.9,27.1,49.1,40.2
United International Business School,/universities/united-international-business-school-uibs,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/231011013942pm244023resized-logos-90x90_4.jpg,20,78,,False,False,7,51+,51+,51+,51+,82,33.2,20,20.9,21.1
University of South Florida (Muma),/universities/university-south-florida/university-south-florida-muma-college-business,North America,United States,Tampa (FL),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-south-florida-muma-college-of-business_592560e79988f300e2322049_small.jpg,40.9,79,,False,False,31,18,51+,50,51+,65.1,82.4,39.4,42.9,25.6
Worcester Polytechnic Institute,/universities/worcester-polytechnic-institute,North America,United States,Worcester,https://www.topuniversities.com/sites/default/files/worcester-polytechnic-institute_592560cf2aeae70239af4dc0_small.jpg,42.2,80,,False,False,50,25,42,51+,51+,59.2,75.3,49.8,36.8,33.4
