University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employability Rank,Diversity Rank,Entrepreneurship & Alumni Outcomes Rank,Return On Investment Rank,Thought Leadership Rank,Employability Score,Diversity Score,Entrepreneurship & Alumni Outcomes Score,Return On Investment Score,Thought Leadership Score
Zagreb School of Economics and Management,/universities/zagreb-school-economics-management,Europe,Croatia,Zagreb,https://www.topuniversities.com/sites/default/files/profiles/logos/zagreb-school-of-economics-and-management_592560cf2aeae70239af5a52_small.jpg,43,200,,False,False,111-120,=40,151-200,201-250,251+,47.8,77.4,41.8,43.5,29.3
ALBA Graduate Business School,/universities/alba-graduate-business-school-american-college-greece,Europe,Greece,Athens,https://www.topuniversities.com/sites/default/files/profiles/logos/alba-graduate-business-school-at-the-american-college-of-greece_592560cf2aeae70239af4a92_small.jpg,35.6,201,,False,False,=82,251+,201-250,251+,251+,53.3,37.3,31.5,24.9,35.9
American University of Sharjah,/universities/american-university-sharjah/american-university-sharjah-school-business-manangement,Asia,United Arab Emirates,Sharjah,https://www.topuniversities.com/sites/default/files/profiles/logos/210820020730pm689026Webp.net-resizeimage-2021-08-20T170726.116-48x48.jpg,37.6,202,,False,False,201-250,=54,=90,251+,151-200,35.2,74.8,52.6,24.8,49.2
BINUS Business School,/universities/bina-nusantara-university-binus/binus-business-school,Asia,Indonesia,Jakarta,https://www.topuniversities.com/sites/default/files/profiles/logos/210819023438pm391352Webp.net-resizeimage-2021-08-19T173434.378-48x48.jpg,38,203,,False,False,151-200,25,131-140,251+,201-250,36,82.3,47.6,31.8,40.1
Brandeis International Business School,/universities/brandeis-university/brandeis-international-business-school,North America,United States,Waltham (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/230907083211am529118IBS-Stack-48x48.jpg,39.7,204,,False,False,201-250,101-110,66,201-250,251+,32.6,68.1,56.7,52.3,31.4
Brock (Goodman),/universities/brock-university/brock-university,North America,Canada,St. Catharines (ON),https://www.topuniversities.com/sites/default/files/profiles/logos/14837_small.jpg,35.5,205,,False,False,151-200,39,251+,251+,201-250,39,77.5,24.5,33.9,41.2
Case Western (Weatherhead),/universities/case-western-reserve-university/weatherhead-school-management,North America,United States,Cleveland (OH),https://www.topuniversities.com/sites/default/files/profiles/logos/weatherhead-school-of-management_592560cf2aeae70239af557e_small.jpg,37.5,206,,False,False,201-250,251+,86,251+,141-150,35.2,43.1,53.1,39.6,49.6
Chulalongkorn Business School,/universities/chulalongkorn-university/chulalongkorn-business-school,Asia,Thailand,Bangkok,https://www.topuniversities.com/sites/default/files/profiles/logos/220923123838pm456957download--1--48x48.jpg,36.6,207,,False,False,201-250,151-200,201-250,201-250,151-200,32.6,59.7,38.4,43.7,49.1
Connecticut (UCONN),/universities/university-connecticut/uconn-school-business,North America,United States,Mansfield (CT),https://www.topuniversities.com/sites/default/files/profiles/logos/school-of-business-university-of-connecticut_14545_small.jpg,39.3,208,,False,False,251+,151-200,201-250,101-110,201-250,26.6,59.8,36.7,76.4,38.9
Dalhousie (Rowe),/universities/dalhousie-university,North America,Canada,Halifax,https://www.topuniversities.com/sites/default/files/profiles/logos/221109075038am378019Unknown-48x48.jpg,38.4,209,,False,False,201-250,82,151-200,201-250,201-250,34.1,70.2,38.7,51.3,38.1
