University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employability Rank,Thought Leadership Rank,Alumni Outcomes Rank,Diversity Rank,Value for Money Rank,Employability Score,Thought Leadership Score,Alumni Outcomes Score,Diversity Score,Value for Money Score
DCU Business School,/universities/dublin-city-university/dcu-business-school-dublin-city-university-dcu,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/profiles/logos/dcu-business-school-dublin-city-university-dcu_59b4587aca24f31425685e82_small.jpg,51.9,62,,False,False,=38,61-70,91-100,51-60,71-80,58.9,49.3,32.3,74.4,55.3
ICN Business School,/universities/icn-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/230517085820am925464Logo-petit-48x48.jpg,51.5,63,,False,False,91-100,101+,91-100,2,3,35.4,32.5,32,98.7,99.5
Montpellier Business School,/universities/montpellier-business-school,Europe,France,Montpellier,https://www.topuniversities.com/sites/default/files/profiles/logos/montpellier-business-school_592560e99988f300e2322502_small.jpg,48.9,64,,False,False,81-90,91-100,101+,10,36,40.9,41.6,24.7,91,78.6
Pittsburgh (Katz),/universities/university-pittsburgh/katz-graduate-school-business,North America,United States,Pittsburg (PA),https://www.topuniversities.com/sites/default/files/profiles/logos/230802061723pm198809katz-200-48x48.jpg,48.9,65,,False,False,101+,51-60,35,101+,51-60,34.3,50.9,63.9,52.5,70.9
Rochester (Simon),/universities/university-rochester/simon-business-school-university-rochester,North America,United States,Rochester (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/221114024305pm8820692022-Logo-Sponsor-Formal-48x48.jpg,51.7,66,,False,False,61-70,91-100,40,101+,51-60,49.7,38.7,61,51.2,70.8
Sheffield University Management School,/universities/university-sheffield/university-sheffield-management-school,Europe,United Kingdom,Sheffield,https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-sheffield-management-school_14520_small.jpg,50.7,67,,False,False,61-70,30,61-70,61-70,91-100,47,66.8,47.5,66.5,45.9
Syracuse (Whitman),/universities/syracuse-university/martin-j-whitman-school-management,North America,United States,Syracuse (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/martin-j.-whitman-school-of-management_592560cf2aeae70239af55a8_small.jpg,50.9,68,,False,False,71-80,81-90,22,101+,51-60,41.3,42.9,74.3,47.6,69.8
UT Dallas (Naveen),/universities/university-texas-dallas/naveen-jindal-school-management,North America,United States,Dallas (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-texas-at-dallas-naveen-jindal-school-of-management_592560cf2aeae70239af58c1_small.jpg,49,69,,False,False,81-90,51-60,81-90,101+,30,38.4,50.9,36.4,51.9,85.2
Universidad ORT Uruguay,/universities/universidad-ort-uruguay,Latin America,Uruguay,Montevideo,https://www.topuniversities.com/sites/default/files/universidad-ort-uruguay_470_small.jpg,50.2,70,,False,False,=38,101+,101+,101+,=17,58.9,28.3,20,49.3,90.4
Vanderbilt (Owen),/universities/vanderbilt-university/owen-graduate-school-management,North America,United States,Nashville (TN),https://www.topuniversities.com/sites/default/files/profiles/logos/vanderbilt-university_14592_small.jpg,49.4,71,,False,False,81-90,81-90,34,101+,43,38.4,43.1,64.2,48.5,75.4
Concordia (John Molson),/universities/concordia-university/john-molson-school-business,North America,Canada,Montreal,https://www.topuniversities.com/sites/default/files/profiles/logos/210812053433pm136199Logo-200x200-48x48.jpg,46.2,72,,False,False,71-80,91-100,61-70,71-80,61-70,43.6,39.1,49,65,60.1
Fordham (Gabelli),/universities/fordham-university/gabelli-school-business,North America,United States,New York (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/gabelli-school-of-business_592560cf2aeae70239af56b6_small.jpg,46.8,73,,False,False,101+,91-100,32,71-80,51-60,32.9,38,64.9,66,70
La Trobe Business School,/universities/la-trobe-university/la-trobe-business-school,Oceania,Australia,Melbourne,https://www.topuniversities.com/sites/default/files/profiles/logos/15061_small.jpg,48.3,74,,False,False,81-90,91-100,81-90,15,51-60,40.9,41.1,36.7,87,70
Loughborough School of Business and Economics,/universities/loughborough-university/loughborough-business-school,Europe,United Kingdom,Loughborough,https://www.topuniversities.com/sites/default/files/profiles/logos/231020011639pm502336Business-School-social-icon-final-4-2023%255B4%255D-48x48.jpg,46.9,75,,False,False,71-80,43,71-80,50,101+,43.5,61,41.1,76.2,41.6
Loyola University of Chicago  (Quinlan),/universities/loyola-university-chicago,North America,United States,Chicago (IL),https://www.topuniversities.com/sites/default/files/profiles/logos/loyola-university-chicago_370_small.jpg,46.7,76,,False,False,71-80,91-100,51-60,101+,49,43.1,36.5,50.6,46.4,73.6
Mediterranean School of Business- MSB,/universities/mediterranean-school-business-msb,Africa,Tunisia,Tunis,https://www.topuniversities.com/sites/default/files/profiles/logos/Webp.net-resizeimage-2021-06-15T131607.289-2-48x48.jpg,47.4,77,,False,False,23,101+,101+,91-100,81-90,68.6,31.7,21.3,59.6,51.8
"Sydney Business School, University of Wollongong",/universities/university-wollongong/sydney-business-school-university-wollongong,Oceania,Australia,"Wollongong, Dubai",https://www.topuniversities.com/sites/default/files/profiles/logos/sydney-business-school_592560cf2aeae70239af57aa_small.jpg,46.9,78,,False,False,71-80,81-90,61-70,=42,81-90,44.2,42.2,48.3,78.3,52.7
UPF Barcelona School of Management,/universities/universitat-pompeu-fabra/upf-barcelona-school-management,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/upf-barcelona-school-of-management_592560cf2aeae70239af5913_small.jpg,48.2,79,,False,False,71-80,27,101+,81-90,61-70,41.7,68,25,60.4,63.3
University of Illinois at Chicago (UIC),/universities/university-illinois-chicago-liautaud,North America,United States,Chicago (IL),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-illinois-at-chicago_592560cf2aeae70239af58f1_small.jpg,48.3,80,,False,False,101+,61-70,31,101+,32,28.9,46.7,65.2,48.1,83.4
CENTRUM Catolica,/universities/centrum-catolica,Latin America,Peru,Santiago de Surco,https://www.topuniversities.com/sites/default/files/centrum-catolica_592560cf2aeae70239af5872_small.jpg,44.2,81,,False,False,42,61-70,71-80,101+,101+,57.3,50.2,42.5,43.3,31.5
EU Business School,/universities/eu-business-school,Europe,Germany,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/eu-business-school_592560cf2aeae70239af51f8_small.jpg,45.8,82,,False,False,51-60,101+,91-100,1,=1,51.8,22.5,29.7,99.8,100
HEC Montréal,/universities/hec-montreal,North America,Canada,Montreal (QC),https://www.topuniversities.com/sites/default/files/HEC_Montreal_logo_2.jpg,45.4,83,,False,False,51-60,71-80,81-90,71-80,81-90,50.1,43.9,35.8,66,49.4
Higher School of Economics,/universities/hse-university/higher-school-economics,Europe,Russia,Moscow,https://www.topuniversities.com/sites/default/files/profiles/logos/management_59b53064acb29513cb206c52_small.jpg,44.5,84,,False,True,71-80,61-70,51-60,71-80,101+,45.1,46.6,50.4,66,40.5
"National University of Ireland, Galway",/universities/university-galway,Europe,Ireland,Galway,https://www.topuniversities.com/sites/default/files/profiles/logos/230111113541am417642Logo-QS-48x48.jpg,43.7,85,,False,False,81-90,81-90,91-100,61-70,71-80,39.8,43.7,35.2,69.6,58.9
"School of Economics and Management, University of Porto (FEP)",/universities/university-porto/school-economics-management-university-porto-fep,Europe,Portugal,Porto,https://www.topuniversities.com/sites/default/files/231030033140pm282066FEP-logo-200-200-90x90_3.jpg,43,86,,False,False,40,51-60,91-100,91-100,101+,58.5,50.6,32.9,59.9,22.9
The Hong Kong Polytechnic University,/universities/hong-kong-polytechnic-university,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/profiles/logos/the-hong-kong-polytechnic-university_267_small.jpg,44.5,87,,False,False,34,61-70,101+,81-90,101+,61.1,48,25,61.6,32.4
The University of Sussex Business School,/universities/university-sussex/university-sussex-business-school,Europe,United Kingdom,Brighton,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-sussex-business-school_5e345b3e5c52f369cb6078d3_small.jpg,45,88,,False,False,101+,51-60,51-60,21,71-80,27.7,51.9,53.6,84.9,55.8
The University of Texas at Arlington,/universities/university-texas-arlington,North America,United States,Arlington (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/QS_UTA-Logo-48x48.jpg,43.5,89,,False,False,101+,71-80,91-100,81-90,46,32.9,44.5,32.2,63.6,74.7
Tilburg University	,/universities/tilburg-university,Europe,Netherlands,Tilburg,https://www.topuniversities.com/sites/default/files/profiles/logos/tilburg-university_592560cf2aeae70239af4ce5_small.jpg,43.5,90,,False,False,101+,81-90,71-80,29,61-70,29.3,42.2,41.2,82.9,66.5
ESAN,/universities/esan-graduate-school-business-esan-university,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/profiles/logos/esan-graduate-school-of-business_592560cf2aeae70239af5848_small.jpg,41.8,91,,False,False,71-80,101+,101+,101+,33,44.1,27,20,52.7,79.9
Excelia Business School,/universities/excelia,Europe,France,La Rochelle,https://www.topuniversities.com/sites/default/files/profiles/logos/220422104458am748447Logo-Excelia-Business-School-Couleur-RVB-JPG-48x48.jpg,42.9,92,,False,False,101+,101+,101+,8,39,32.8,33.8,20,93,77.3
Georgia State (Robinson),/universities/georgia-state-university/j-mack-robinson-college-business,North America,United States,Atlanta (GA),https://www.topuniversities.com/sites/default/files/profiles/logos/j.-mack-robinson-college-of-business_14481_small.jpg,42.6,93,,False,False,91-100,61-70,61-70,101+,71-80,37.3,47.1,47.1,49.2,56.5
IQS SCHOOL OF MANAGEMENT,/universities/iqs-ramon-llull-university,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/iqs_592560e29988f300e2321132_small.jpg,41.8,94,,False,False,101+,101+,61-70,47,51-60,29.5,30.3,46.4,76.5,70.5
Kent Business School,/universities/university-kent/kent-business-school,Europe,United Kingdom,Canterbury,https://www.topuniversities.com/sites/default/files/profiles/logos/kent-business-school_592560cf2aeae70239af55ad_small.jpg,41.8,95,,False,False,101+,61-70,51-60,71-80,81-90,30.4,48.6,53.7,64.9,50.8
Queen Mary University of London (QMUL),/universities/queen-mary-university-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg,40.8,96,,False,False,91-100,=34,71-80,61-70,101+,36.1,63.8,42.9,71.4,26.2
Southampton Business School,/universities/university-southampton/southampton-business-school,Europe,United Kingdom,Southampton,https://www.topuniversities.com/sites/default/files/profiles/logos/southampton-business-school_592560cf2aeae70239af573a_small.jpg,42.1,97,,False,False,81-90,51-60,71-80,91-100,81-90,37.4,51.5,44.4,56,48.1
Tampa (Sykes),/universities/university-tampa/university-tampa,North America,United States,Tampa (FL),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-tampa_592560cf2aeae70239af5740_small.jpg,40.9,98,,False,False,101+,101+,81-90,101+,40,34.5,28.2,38.3,54.4,77
Thammasat Business School,/universities/thammasat-university/thammasat-business-school,Asia,Thailand,Bangkok,https://www.topuniversities.com/sites/default/files/profiles/logos/thammasat-business-school_5f18352610ca607e852e7395_small.jpg,40.9,99,,False,False,91-100,71-80,11,101+,101+,37.1,44,81.2,54.1,24.8
University of Bristol,/universities/university-bristol/school-accounting-finance,Europe,United Kingdom,Bristol,https://www.topuniversities.com/sites/default/files/profiles/logos/220922091736am521921download-48x48.jpg,42.3,100,,False,False,61-70,51-60,101+,=42,101+,45.5,51.6,28.2,78.3,36.3
