University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employability Rank,Thought Leadership Rank,Alumni Outcomes Rank,Diversity Rank,Value for Money Rank,Employability Score,Thought Leadership Score,Alumni Outcomes Score,Diversity Score,Value for Money Score
Rabat Business School,/universities/universit-internationale-de-rabat/rabat-business-school,Africa,Morocco,Rabat,https://www.topuniversities.com/sites/default/files/profiles/logos/221209043122pm221692LOGO-RBS--48x48.jpg,23.6,121,,False,False,101+,101+,101+,101+,101+,25.5,30.2,27.4,36.5,33.4
Rennes School of Business,/universities/rennes-school-business,Europe,France,Rennes,https://www.topuniversities.com/sites/default/files/profiles/logos/230109035739pm488405Logo-Rennes-SB-200-48x48.jpg,40.3,122,,False,False,101+,81-90,101+,13,61-70,28.3,42.8,24.4,89.4,63.8
Suffolk (Sawyer),/universities/suffolk-university/sawyer-business-school-usa,North America,United States,Boston (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/sawyer-business-school-usa_19531_small.jpg,35.8,123,,False,False,101+,101+,71-80,71-80,48,22,22.9,41.6,65.2,74.2
United International Business School (UIBS),/universities/united-international-business-school-uibs,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/231011013942pm244023resized-logos-90x90_2.jpg,25.5,124,,False,False,101+,101+,101+,41,101+,25.3,21.2,20,78.5,35
"Business School, Universidad EAFIT",/universities/universidad-eafit/business-school-universidad-eafit,Latin America,Colombia,"Medellin, Bogota, Pereira",https://www.topuniversities.com/sites/default/files/business-school-universidad-eafit_0.jpg,32.9,125,,False,False,101+,101+,81-90,101+,91-100,30.8,30.2,40.2,52.5,46.5
Universidad ICESI,/universities/universidad-icesi,Latin America,Colombia,Cali,https://www.topuniversities.com/sites/default/files/universidad-icesi_592560cf2aeae70239af5150_small.jpg,28.4,126,,False,False,101+,101+,101+,81-90,101+,33.4,24.8,26.5,60.7,34
Universidad San Ignacio del Loyola (USIL),/universities/universidad-san-ignacio-de-loyola/college-business-universidad-san-ignacio-de-loyola,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/220614123701pm934494Webp.net-resizeimage-2022-06-14T153441.332-48x48_1.jpg,20,127,,False,False,101+,101+,101+,101+,101+,21.4,26.6,20,20,42.7
University of Minho,/universities/university-minho/school-economics-management-university-minho,Europe,Portugal,Braga,https://www.topuniversities.com/sites/default/files/profiles/logos/220922092717am393942School-of-Economics-and-Management-University-of-Minho-Logo--1--48x48.jpg,29.2,128,,False,False,101+,81-90,101+,81-90,101+,31.4,41.8,20,60.6,28.7
University of South Florida,/universities/university-south-florida/university-south-florida-muma-college-business,North America,United States,Tampa (FL),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-south-florida-muma-college-of-business_592560e79988f300e2322049_small.jpg,34.9,129,,False,False,101+,71-80,91-100,81-90,71-80,22.7,44.1,33.7,61.8,55.5
Vilnius University,/universities/vilnius-university/vilnius-university,Europe,Lithuania,Vilnius,https://www.topuniversities.com/sites/default/files/profiles/logos/faculty-of-economics-and-business-administration_5b4d9e6b9ed41968750865b9_small.jpg,33.1,130,,False,False,81-90,91-100,101+,71-80,101+,37.9,41,28.1,64.3,27.3
Worcester Polytechnic Institute,/universities/worcester-polytechnic-institute,North America,United States,Worcester (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/worcester-polytechnic-institute_592560cf2aeae70239af4dc0_small.jpg,30.2,131,,False,False,91-100,101+,81-90,91-100,101+,34.8,26.6,38.9,59.2,29
