University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,International Research Network Rank,Inbound Exchange Rank,Papers per Faculty Rank,Employer Reputation Rank,Faculty Student Ratio Rank,International Students Rank,Citations per Paper Rank,International Faculty Rank,Academic Reputation Rank,Faculty Staff with PhD Rank,Outbound Exchange Rank,International Research Network Score,Inbound Exchange Score,Papers per Faculty Score,Employer Reputation Score,Faculty Student Ratio Score,International Students Score,Citations per Paper Score,International Faculty Score,Academic Reputation Score,Faculty Staff with PhD Score,Outbound Exchange Score
Renmin (People's) University of China,/universities/renmin-peoples-university-china,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/renmin-peoples-university-of-china_884_small.jpg,47.2,81,,False,False,289,260,301+,74,301+,301+,64,299,77,108,118,19,11.9,7.4,62.1,18.9,8.9,78.3,16.7,45.9,84.2,43.4
National Taipei University of Technology,/universities/national-taipei-university-technology,Asia,Taiwan,Taipei City,https://www.topuniversities.com/sites/default/files/national-taipei-university-of-technology_1993_small.jpg,47.1,82,,False,False,301+,63,131,49,250,102,276,122,132,=1,95,14.2,77.2,47.4,78.8,29.9,46.6,20.5,43,30.6,100,56.2
Sogang University,/universities/sogang-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/sogang-university_565_small.jpg,47,83,,False,False,301+,57,301+,60,98,72,217,292,80,264,117,3.4,78.6,7.5,68.5,70.7,56.6,30.4,17.2,45.5,22.1,44.9
Daegu Gyeongbuk Institute of Science and Technology (DGIST),/universities/daegu-gyeongbuk-institute-science-technology-dgist,Asia,South Korea,Daegu,https://www.topuniversities.com/sites/default/files/dgist_592560e49988f300e23218c9_small.jpg,46.8,84,,False,False,301+,176,13,157,30,301+,42,301+,177,22,83,3.9,22.1,97.6,26.8,95.2,12.9,88.9,13,23.9,100,63.2
Sharif University of Technology,/universities/sharif-university-technology,Asia,Iran,Tehran,https://www.topuniversities.com/sites/default/files/sharif-university-of-technology_592560cf2aeae70239af4d42_small.jpg,46.7,85,,False,False,98,301+,11,55,301+,301+,153,=288,197,47,301+,69.4,1.1,98.2,73.4,6,2.6,47.5,17.5,21.5,100,1.1
Jilin University,/universities/jilin-university,Asia,China (Mainland),Changchun,https://www.topuniversities.com/sites/default/files/jilin-university_304_small.jpg,46.6,86,,False,False,63,301+,265,70,179,301+,98,197,138,301+,234,83.4,1.1,21.8,64.2,43.7,7.2,64.4,28,29.3,11.3,18.6
Quaid-i-Azam University,/universities/quaid-i-azam-university,Asia,Pakistan,Islamabad,https://www.topuniversities.com/sites/default/files/quaid-i-azam-university_592560cf2aeae70239af4d41_small.jpg,46.6,87,,False,False,50,301+,36,75,301+,301+,74,301+,126,301+,301+,88.2,3,87.9,61,3.9,3.1,75.4,7.9,32.1,8.7,4.1
Shandong University,/universities/shandong-university,Asia,China (Mainland),Jinan,https://www.topuniversities.com/sites/default/files/shandong-university_555_small.jpg,46.4,88,,False,False,69,146,70,91,301+,301+,128,249,125,188,221,81.5,28.4,73,51,19.4,11.9,54.3,20.7,32.3,51.5,19.9
University of Tehran,/universities/university-tehran,Asia,Iran,Tehran,https://www.topuniversities.com/sites/default/files/university-of-tehran_699_small.jpg,46.4,89,,False,False,7,301+,90,68,301+,301+,161,301+,107,275,301+,99.6,4.8,66.4,65.4,3.5,5.1,44.9,4.2,37.2,18.4,1.8
Pusan National University,/universities/pusan-national-university,Asia,South Korea,Busan,https://www.topuniversities.com/sites/default/files/pusan-national-university_511_small.jpg,46.3,90,,False,False,113,101,227,134,142,128,285,220,75,82,301+,64.2,49.3,26.2,33.1,55.2,35.3,19.6,24,47.1,92.1,12
University of Macau,/universities/university-macau,Asia,Macau SAR,Macau,https://www.topuniversities.com/sites/default/files/university-of-macau_14378_small.jpg,46,91,5,False,False,85,222,41,186,301+,13,31,4,184,99,301+,73.4,16.3,84.7,21.9,11,99.9,94.5,100,22.5,86.7,9.8
Nankai University,/universities/nankai-university,Asia,China (Mainland),Tianjin,https://www.topuniversities.com/sites/default/files/nankai-university_882_small.jpg,45.9,92,,False,False,112,301+,163,239,228,301+,11,211,95,60,301+,64.9,1.2,36.1,16.4,32.8,12.4,99.6,25.7,41.2,96.7,6.7
Beijing Institute of Technology,/universities/beijing-institute-technology,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/beijing-institute-of-technology_868_small.jpg,45.8,93,,False,False,67,191,162,132,192,194,133,301+,82,292,85,82.4,20.9,36.6,33.8,41.2,22.8,52.3,9.7,44.3,12.8,62.7
East China Normal University,/universities/east-china-normal-university,Asia,China (Mainland),Shanghai,https://www.topuniversities.com/sites/default/files/east-china-normal-university_592560cf2aeae70239af4def_small.jpg,45.6,94,,False,False,34,10,158,251+,301+,94,49,111,131,143,61,92.9,100,37.4,7.2,21,48.8,84.5,45.8,31,71.3,78.3
University of Delhi,/universities/university-delhi,Asia,India,New Delhi,https://www.topuniversities.com/sites/default/files/university-of-delhi_156_small.jpg,45.6,95,,False,False,45,301+,130,93,301+,301+,301+,301+,52,253,301+,89.4,1.2,47.5,49.6,4,4.6,6.1,2.3,63.3,27,1.2
Shanghai University,/universities/shanghai-university,Asia,China (Mainland),Shanghai,https://www.topuniversities.com/sites/default/files/shanghai-university_557_small.jpg,45.5,96,,False,False,83,301+,225,206,138,213,147,55,88,148,168,73.5,4.3,26.3,19,58.7,20.5,50.2,70.7,42.9,69.4,27.9
Hiroshima University,/universities/hiroshima-university,Asia,Japan,Higashihiroshima City,https://www.topuniversities.com/sites/default/files/hiroshima-university_264_small.jpg,44.8,97,,False,False,35,301+,269,160,63,125,301+,143,81,218,301+,92.5,1.1,21.8,25.9,85.8,37.2,5.6,36.9,45.1,39.5,2.6
Universiti Teknologi MARA - UiTM,/universities/universiti-teknologi-mara-uitm,Asia,Malaysia,Shah Alam,https://www.topuniversities.com/sites/default/files/universiti-teknologi-mara-uitm_732_small.jpg,44.7,98,,False,False,46,301+,301+,58,301+,301+,301+,301+,70,301+,301+,89.2,6.2,8.7,71.1,20,6.7,1.3,3.5,52.3,1,5
National Sun Yat-sen University,/universities/national-sun-yat-sen-university,Asia,Taiwan,Kaohsiung City,https://www.topuniversities.com/sites/default/files/national-sun-yat-sen-university_439_small.jpg,44.5,99,,False,False,202,148,145,105,241,141,301+,106,73,42,211,33.8,27.5,40.7,43.8,31.3,31.6,14,47.1,49.6,100,21.4
Gwangju Institute of Science and Technology (GIST),/universities/gwangju-institute-science-technology-gist,Asia,South Korea,Gwangju,https://www.topuniversities.com/sites/default/files/231023124904am973997GIST-200px-emblem-48x48.jpg,44.1,100,,False,False,301+,188,5,227,186,145,102,120,104,=1,47,15.1,21.4,100,17.1,42.6,31,63.3,43.8,37.8,100,84.7
Universiti Utara Malaysia (UUM),/universities/universiti-utara-malaysia-uum,Asia,Malaysia,Sintok,https://www.topuniversities.com/sites/default/files/universiti-utara-malaysia-uum_388_small.jpg,43.9,101,,False,False,164,31,301+,98,173,29,301+,131,97,172,129,42.1,96.3,14.6,46.4,44.9,94.9,7,39.4,40.2,59.7,39.4
Chiang Mai University,/universities/chiang-mai-university,Asia,Thailand,Chiang Mai,https://www.topuniversities.com/sites/default/files/chiang-mai-university_118_small.jpg,42.6,102,4,False,False,57,212,301+,124,301+,280,301+,301+,60,207,301+,86.4,17.2,8.9,37.1,18,14.7,3.5,12.3,60.2,42.2,1.4
Sichuan University,/universities/sichuan-university,Asia,China (Mainland),Chengdu,https://www.topuniversities.com/sites/default/files/sichuan-university_885_small.jpg,42.4,103,,False,False,41,301+,34,211,301+,231,107,301+,98,201,301+,90.4,2.1,90.2,18.5,11.7,18.8,60.6,15.9,40.2,44.5,5.6
Sunway University,/universities/sunway-university,Asia,Malaysia,Petaling Jaya,https://www.topuniversities.com/sites/default/files/sunway-university_592560cf2aeae70239af4db8_small.jpg,42.4,104,5,False,False,151,301+,301+,69,87,74,192,73,178,301+,301+,48.8,4.3,14,64.2,74.3,55.3,36.5,62,23.8,1.1,3.1
Satbayev University,/universities/satbayev-university,Asia,Kazakhstan,Almaty,https://www.topuniversities.com/sites/default/files/kazakh-national-research-technical-university-after-k.i.satpayev_592560cf2aeae70239af52e7_small.jpg,42,105,4,False,False,301+,301+,301+,85,34,277,301+,62,66,301+,301+,3,6.9,2.3,54.5,94.4,14.8,1,67.6,53.2,1,12.1
IPB University (aka Bogor Agricultural University),/universities/ipb-university-aka-bogor-agricultural-university,Asia,Indonesia,Bogor,https://www.topuniversities.com/sites/default/files/bogor-agricultural-university_704_small.jpg,41.7,106,,False,False,301+,86,301+,87,61,299,301+,42,87,272,246,12.7,56.6,5.6,53.8,86.6,13.5,1.1,80.1,42.9,19.3,16.7
Kyungpook National University,/universities/kyungpook-national-university,Asia,South Korea,Daegu,https://www.topuniversities.com/sites/default/files/kyungpook-national-university_592560cf2aeae70239af4bd0_small.jpg,41.5,107,,False,False,114,71,240,140,88,108,251,227,183,110,199,63.7,70.8,24.4,32.1,74,44.9,24,22.8,22.9,83.9,23.2
Taipei Medical University (TMU),/universities/taipei-medical-university-tmu,Asia,Taiwan,Taipei,https://www.topuniversities.com/sites/default/files/taipei-medical-university_2134_small.jpg,41.4,108,,False,False,301+,18,241,150,37,110,238,166,192,62,12,14.4,100,24.3,29.5,94.2,42.2,26,33,21.9,96.3,100
HUFS - Hankuk (Korea) University of Foreign Studies ,/universities/hufs-hankuk-korea-university-foreign-studies,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/hufs-hankuk-korea-university-of-foreign-studies_1054_small.jpg,41.1,109,,False,False,301+,14,301+,106,43,43,301+,79,139,183,7,2.5,100,2.1,42.5,91.8,76.2,7.4,58.4,29.3,52.8,100
Dongguk University ,/universities/dongguk-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/dongguk-university_1048_small.jpg,40.4,110,,False,False,186,72,301+,189,36,77,87,256,182,263,79,36.7,70.6,8.6,21.5,94.2,54.2,67.7,20,23,22.5,64
Indian Institute of Technology Guwahati (IITG),/universities/indian-institute-technology-guwahati-iitg,Asia,India,Guwahati,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-guwahati-iitg_283_small.jpg,40.2,111,,False,False,132,301+,10,115,301+,301+,263,n/a,116,25,301+,56.4,8.2,99.4,40.7,8.2,2.5,22.4,n/a,34.8,100,5.8
National Chengchi University,/universities/national-chengchi-university,Asia,Taiwan,Taipei City,https://www.topuniversities.com/sites/default/files/national-chengchi-university_436_small.jpg,39.7,112,,False,False,301+,70,301+,76,301+,68,301+,89,103,118,75,4.4,72.3,4.8,60.9,21.7,58.9,4.6,51.7,38.4,79.8,65.2
National Central University,/universities/national-central-university,Asia,Taiwan,Taoyuan City,https://www.topuniversities.com/sites/default/files/national-central-university_434_small.jpg,39,113,,False,False,221,301+,194,101,275,158,301+,191,91,79,263,28.9,5.1,30.5,46.1,25.5,28.9,12.4,29,41.8,92.3,15.5
Lahore University of Management Sciences (LUMS),/universities/lahore-university-management-sciences-lums,Asia,Pakistan,Lahore,https://www.topuniversities.com/sites/default/files/lahore-university-of-management-sciences-lums_592560cf2aeae70239af531b_small.jpg,38.9,114,,False,False,301+,301+,301+,33,161,301+,245,=288,127,301+,301+,5.7,1.5,8.5,88.2,48.4,5.5,24.8,17.5,32,1,8
Duy Tan University,/universities/duy-tan-university,Asia,Vietnam,Da Nang,https://www.topuniversities.com/sites/default/files/duy-tan-university_59e5a998acb295021d569f1b_small.jpg,38.6,115,,False,False,9,301+,255,135,301+,301+,17,69,202,301+,301+,99.3,5.8,22.8,32.9,3.9,2,98.9,63.8,20.7,1,6.9
Indian Institute of Technology Roorkee (IITR),/universities/indian-institute-technology-roorkee-iitr,Asia,India,Roorkee,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-roorkee-iitr_287_small.jpg,38.5,116,,False,False,161,301+,16,117,301+,301+,299,301+,111,53,297,43.7,1.2,97.3,39.4,8.4,6.9,17.8,1.7,36.2,98.2,12.4
Jawaharlal Nehru University,/universities/jawaharlal-nehru-university,Asia,India,New Delhi,https://www.topuniversities.com/sites/default/files/jawaharlal-nehru-university_302_small.jpg,38.4,117,,False,False,142,301+,171,196,301+,301+,282,n/a,65,18,301+,51.1,3.7,34.8,21.1,16.1,4.2,19.8,n/a,53.3,100,4.7
Jeonbuk National University,/universities/jeonbuk-national-university,Asia,South Korea,Jeonju,https://www.topuniversities.com/sites/default/files/jeonbuk-national-university_592560cf2aeae70239af4aff_small.jpg,38.3,118,,False,False,180,116,301+,183,90,184,175,261,115,236,104,37.8,39.7,11.9,22.6,72.7,24.7,41.2,19.3,35.1,33.4,51.5
Hitotsubashi University,/universities/hitotsubashi-university,Asia,Japan,Kunitachi City,https://www.topuniversities.com/sites/default/files/hitotsubashi-university-business-school-school-of-international-corporate-strategy_592560cf2aeae70239af4b8d_small.jpg,38,119,,False,False,301+,121,301+,23,238,82,301+,121,137,301+,170,1.7,37.1,5.2,93.4,31.7,52.8,1.7,43.7,29.5,4.1,27.5
Singapore Management University,/universities/singapore-management-university,Asia,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/singapore-management-university_1177_small.jpg,37.9,120,,False,False,301+,17,301+,145,301+,35,43,12,169,301+,8,12.2,100,15.1,30.8,10.1,88,88.5,100,24.8,6.7,100
Amirkabir University of Technology,/universities/amirkabir-university-technology,Asia,Iran,Tehran,https://www.topuniversities.com/sites/default/files/amirkabir-university-of-technology_592560cf2aeae70239af4e54_small.jpg,37.7,121,,False,False,100,301+,7,86,301+,301+,218,158,251+,55,301+,68.8,1.2,99.9,54.5,5.3,9.6,30.4,34.5,9.6,97.6,2.4
National Chung Hsing University,/universities/national-chung-hsing-university,Asia,Taiwan,Taichung City,https://www.topuniversities.com/sites/default/files/210804075257am94502001-48x48.jpg,36.9,122,,False,False,217,284,277,107,246,224,301+,269,101,97,295,29.8,10.2,21.1,42.2,30.6,19.9,12,18.7,39.6,87.8,12.8
Southeast University,/universities/southeast-university,Asia,China (Mainland),Nanjing,https://www.topuniversities.com/sites/default/files/southeast-university_568_small.jpg,36.9,123,,False,False,56,301+,80,251+,270,301+,154,165,149,227,144,86.6,4.5,70.6,14.2,26.5,12.3,47.5,33.1,27.3,36.6,32.9
Ritsumeikan University,/universities/ritsumeikan-university,Asia,Japan,Kyoto,https://www.topuniversities.com/sites/default/files/ritsumeikan-university_592560cf2aeae70239af4c92_small.jpg,36.6,124,,False,False,227,294,301+,39,301+,142,301+,100,121,301+,301+,28.1,9.4,6.7,85.7,8.6,31.5,6.2,48.4,33.1,3.8,5.6
COMSATS University Islamabad,/universities/comsats-university-islamabad,Asia,Pakistan,Islamabad,https://www.topuniversities.com/sites/default/files/comsats-university-islamabad_592560cf2aeae70239af52bb_small.jpg,36.5,125,,False,False,10,301+,289,102,301+,301+,123,301+,188,301+,301+,99.2,1.1,19.6,45.6,15.7,4.3,56,2.7,22.2,1,1.3
Shenzhen University,/universities/shenzhen-university,Asia,China (Mainland),Shenzhen,https://www.topuniversities.com/sites/default/files/shenzhen-university_24794_small.jpg,36.6,126,,True,False,75,301+,163,251+,161,301+,39,185,229,161,301+,78.6,8.3,36,4.5,48.4,3.5,90.6,30,18.2,64.9,3.1
Inha University,/universities/inha-university,Asia,South Korea,Incheon,https://www.topuniversities.com/sites/default/files/inha-university_592560cf2aeae70239af4d3a_small.jpg,36.4,127,,False,False,300,52,301+,149,76,117,172,247,171,301+,38,17.5,84,14.1,29.6,78.3,39.9,41.6,20.8,24.5,8.7,92.4
Institut Teknologi Sepuluh Nopember (ITS Surabaya),/universities/institut-teknologi-sepuluh-nopember-its-surabaya,Asia,Indonesia,Surabaya,https://www.topuniversities.com/sites/default/files/institut-teknologi-sepuluh-nopember_592560cf2aeae70239af4e31_small.jpg,36.3,128,,False,False,301+,32,301+,84,147,270,301+,57,124,301+,35,3.7,94,6.3,55.6,52.9,15.3,1,70,32.8,1,94.2
Singapore University of Technology and Design,/universities/singapore-university-technology-design,Asia,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/singapore-university-of-technology-and-design_592560e89988f300e2322191_small.jpg,36.3,129,,False,False,174,301+,204,251+,12,n/a,10,n/a,251+,n/a,86,39.3,5.5,29.2,11.6,99.7,n/a,99.8,n/a,15.3,n/a,62.1
Krirk University,/universities/krirk-university,Asia,Thailand,Bangkok,https://www.topuniversities.com/sites/default/files/220524082545am567413cropped-logo-krirk-horizental-1-48x48.jpg,36.2,130,5,False,False,301+,184,301+,80,107,8,301+,7,179,293,45,1.1,21.6,1.3,57.7,65.8,100,1,100,23.8,12.6,86
International Islamic University Malaysia (IIUM),/universities/international-islamic-university-malaysia-iium,Asia,Malaysia,Kuala Lumpur,https://www.topuniversities.com/sites/default/files/international-islamic-university-malaysia-iium_717_small.jpg,35.8,131,,False,False,79,301+,301+,129,301+,36,301+,104,84,301+,301+,75,6.7,9.6,34.9,15.5,86.3,1.3,47.3,43.8,1.5,4.8
South China University of Technology,/universities/south-china-university-technology,Asia,China (Mainland),Guangzhou,https://www.topuniversities.com/sites/default/files/south-china-university-of-technology_887_small.jpg,35.8,132,,False,False,97,301+,73,251+,301+,261,30,219,160,301+,225,69.4,4.6,72.3,8.3,20.9,16,94.6,24.1,26.1,5,19.2
Dalian University of Technology,/universities/dalian-university-technology,Asia,China (Mainland),Dalian,https://www.topuniversities.com/sites/default/files/dalian-university-of-technology_874_small.jpg,35.5,133,,False,False,70,234,62,251+,301+,301+,129,198,212,104,121,81.4,14.2,74.2,6.2,21,11.1,53.7,27.7,19.7,85.6,42.5
Ajou University ,/universities/ajou-university,Asia,South Korea,Suwon,https://www.topuniversities.com/sites/default/files/ajou-university_1034_small.jpg,35.4,134,,False,False,301+,106,274,153,95,122,170,301+,130,219,301+,9.6,46.1,21.3,28.2,71.6,38.8,42.1,14.8,31.1,39.3,9.1
Beihang University (former BUAA),/universities/beihang-university-former-buaa,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/beihang-university-former-buaa_870_small.jpg,35.4,135,,False,False,118,200,92,251+,197,249,145,283,151,206,162,61.1,19,65.1,12,39.7,17.2,50.2,17.8,27.1,42.2,29.2
Ateneo de Manila University,/universities/ateneo-de-manila-university,Asia,Philippines,Quezon City,https://www.topuniversities.com/sites/default/files/ateneo-de-manila-university_592560cf2aeae70239af4aa1_small.jpg,34.8,136,,False,False,301+,301+,301+,53,233,301+,301+,301+,96,301+,301+,9.3,2.1,3.3,75.6,32.2,9.4,1.7,7.4,41,1,1.1
Ton Duc Thang University,/universities/ton-duc-thang-university,Asia,Vietnam,Ho Chi Minh City,https://www.topuniversities.com/sites/default/files/ton-duc-thang-university_592560e19988f300e2320e3c_small.jpg,34.5,137,,False,False,2,80,167,210,301+,301+,22,148,251+,301+,135,99.9,60.4,35.5,18.8,4.3,4,97.8,36.2,9.9,1,36.4
University of the Punjab,/universities/university-punjab,Asia,Pakistan,Lahore,https://www.topuniversities.com/sites/default/files/university-of-the-punjab_592560cf2aeae70239af4f07_small.jpg,34,138,,False,False,138,301+,301+,57,301+,301+,301+,301+,140,301+,301+,53.2,1.7,17.9,72.8,5.5,2.7,12.6,6.6,29.2,1,2.7
Konkuk University ,/universities/konkuk-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/konkuk-university-_592560cf2aeae70239af4eb1_small.jpg,33.9,139,,False,False,187,128,301+,219,117,149,121,276,191,230,112,36.7,33.7,17.2,17.6,64.6,30.6,56.3,18.3,21.9,34.4,47.4
University of Dhaka,/universities/university-dhaka,Asia,Bangladesh,Dhaka,https://www.topuniversities.com/sites/default/files/university-of-dhaka_158_small.jpg,33.9,140,,False,False,224,301+,301+,73,301+,301+,301+,301+,90,301+,301+,28.5,5.8,4.1,63.6,12.7,1.3,16.5,3,41.9,1,2.4
Universiti Teknologi Brunei,/universities/universiti-teknologi-brunei,Asia,Brunei,Bandar Seri Begawan,https://www.topuniversities.com/sites/default/files/universiti-teknologi-brunei_592560e49988f300e23219b2_small.jpg,33.8,141,6,False,False,301+,286,301+,220,49,228,225,14,145,261,25,3.4,10.1,11.9,17.5,90.7,19.3,27.6,100,28,24.1,97.7
University of Science and Technology Beijing,/universities/university-science-technology-beijing,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/university-of-science-and-technology-beijing_2004_small.jpg,33.7,142,,False,False,104,301+,26,251+,301+,301+,126,301+,159,203,126,68.1,8.5,94.2,7.4,11.6,10.6,54.9,7.6,26.2,44.2,40.7
Auezov South Kazakhstan University (SKU),/universities/auezov-south-kazakhstan-university-sku,Asia,Kazakhstan,Shymkent,https://www.topuniversities.com/sites/default/files/auezov-south-kazakhstan-state-university-sksu_592560cf2aeae70239af52eb_small.jpg,33.4,143,4,False,False,301+,258,301+,127,33,86,301+,186,109,301+,132,1,12.1,1.4,35.4,94.9,51.2,1,29.7,36.8,1,37.2
Thammasat University,/universities/thammasat-university,Asia,Thailand,Bangkok,https://www.topuniversities.com/sites/default/files/thammasat-university_592560cf2aeae70239af4ce1_small.jpg,32.9,144,,False,False,231,296,301+,109,266,301+,301+,203,79,267,190,27.6,9.2,4.2,41.6,27.8,4.7,2.1,26.5,45.6,21,24.6
Abai Kazakh National Pedagogical University,/universities/abai-kazakh-national-pedagogical-university,Asia,Kazakhstan,Almaty,https://www.topuniversities.com/sites/default/files/abai-kazakh-national-pedagogical-university_592560cf2aeae70239af55d7_small.jpg,32.5,145,4,False,False,301+,236,301+,133,149,301+,301+,66,72,301+,180,1.2,14.1,2.3,33.5,52.6,9.5,1,64.8,50.2,1,26.2
Northwestern Polytechnical University,/universities/northwestern-polytechnical-university,Asia,China (Mainland),Xi'an,https://www.topuniversities.com/sites/default/files/northwestern-polytechnical-university_592560cf2aeae70239af5255_small.jpg,32.5,146,5,False,False,128,213,119,251+,157,250,131,177,251+,140,87,57.7,17.2,50.6,4.5,51,17.1,52.6,30.8,13.3,72,61.8
Central South University,/universities/central-south-university,Asia,China (Mainland),Changsha Shi,https://www.topuniversities.com/sites/default/files/central-south-university_871_small.jpg,32.4,147,,False,False,76,301+,31,251+,301+,301+,77,301+,221,212,301+,77.4,1.4,92,6.4,5.9,12.7,73.4,15.8,19,41.4,4.4
Chandigarh University,/universities/chandigarh-university,Asia,India,Mohali,https://www.topuniversities.com/sites/default/files/chandigarh-university_600ebd4710ca6037cb12c714_small.jpg,32.3,148,,False,False,301+,204,301+,59,244,127,301+,76,141,301+,193,8.7,18.3,2.6,68.8,31.2,35.9,1.3,60.4,28.6,1,23.8
Jinan University (China),/universities/jinan-university-china,Asia,China (Mainland),Guangzhou,https://www.topuniversities.com/sites/default/files/jinan-university-china_592560cf2aeae70239af5298_small.jpg,31.8,149,,False,False,99,163,190,251+,301+,24,50,71,251+,234,140,69.2,24.2,30.8,3.8,10,96.9,83.9,63.4,13,33.5,34.5
Tokyo University of Science,/universities/tokyo-university-science,Asia,Japan,Kagurazaka,https://www.topuniversities.com/sites/default/files/tokyo-university-of-science_14169_small.jpg,31.8,150,,False,False,301+,301+,202,61,301+,297,301+,185,181,152,301+,12.3,3.9,29.5,68.5,11.5,13.7,4.2,29.7,23.2,68.5,1.3
Tokyo Medical and Dental University (TMDU),/universities/tokyo-medical-dental-university-tmdu,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/tokyo-medical-and-dental-university-tmdu_592560cf2aeae70239af4e8a_small.jpg,31.6,151,,False,False,301+,210,197,251+,3,112,301+,301+,175,134,284,10.1,17.3,30.4,12.7,100,41.6,14.3,8,24.1,73.4,13.5
Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),/universities/universiti-malaysia-pahang-al-sultan-abdullah-umpsa,Asia,Malaysia,Kuantan,https://www.topuniversities.com/sites/default/files/231025091749am823761UMPSA-logo-48x48.jpg,31.5,152,5,False,False,130,132,153,251+,301+,151,262,108,196,63,115,56.9,31.8,38.5,13.5,16.6,30.2,22.5,46.8,21.5,96,45.7
De La Salle University,/universities/de-la-salle-university,Asia,Philippines,Manila,https://www.topuniversities.com/sites/default/files/de-la-salle-university_153_small.jpg,31.4,153,,False,False,301+,301+,301+,71,301+,301+,301+,301+,94,301+,301+,14.5,6.7,13.4,63.9,11.3,9.3,1.6,3.9,41.2,1,6.4
Kazakh National Agrarian Research University (KazNARU),/universities/kazakh-national-agrarian-research-university-kaznaru,Asia,Kazakhstan,Almaty,https://www.topuniversities.com/sites/default/files/240122053331am772732123-48x48.jpg,31.3,154,4,False,False,301+,301+,301+,169,31,80,301+,126,105,301+,294,1.9,2.8,2,24.7,95.1,53.7,1,41.7,37.7,4.5,12.9
Management and Science University,/universities/management-science-university,Asia,Malaysia,Shah Alam,https://www.topuniversities.com/sites/default/files/management-and-science-university_22618_small.jpg,31.3,155,5,False,False,301+,30,301+,125,212,19,301+,24,157,301+,6,1.4,96.5,4.2,35.9,36.5,98.6,1.5,98.3,26.3,1,100
Chonnam National University,/universities/chonnam-national-university,Asia,South Korea,Gwangju,https://www.topuniversities.com/sites/default/files/chonnam-national-university_125_small.jpg,31.2,156,,False,False,259,190,301+,251+,156,179,184,208,162,76,147,22.7,21.1,17.5,9.9,51,25.4,37.9,26.1,25.9,93,31.3
Hunan University ,/universities/hunan-university,Asia,China (Mainland),Changsha,https://www.topuniversities.com/sites/default/files/hunan-university-_592560cf2aeae70239af4df1_small.jpg,31.2,157,,False,False,156,289,150,243,301+,301+,4,301+,224,285,207,45.4,9.8,38.8,15.7,19.2,5.8,99.9,11.8,18.6,14.6,21.7
Tokyo University of Agriculture and Technology ,/universities/tokyo-university-agriculture-technology,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/tokyo-university-of-agriculture-and-technology_1030_small.jpg,31.1,158,,False,False,129,301+,56,251+,301+,168,301+,301+,142,72,267,57.2,8.5,77.5,13.8,14.5,27.1,3,14,28.5,94,14.9
Universitas Padjadjaran (UNPAD),/universities/universitas-padjadjaran-unpad,Asia,Indonesia,Bandung,https://www.topuniversities.com/sites/default/files/universitas-padjadjaran_592560cf2aeae70239af4e3c_small.jpg,31,159,,False,False,301+,197,301+,97,151,301+,301+,105,114,301+,212,9.9,19.4,4,46.9,51.7,4.9,1,47.3,35.3,1,21.4
Universiti Tunku Abdul Rahman (UTAR),/universities/universiti-tunku-abdul-rahman-utar,Asia,Malaysia,Kampar,https://www.topuniversities.com/sites/default/files/universiti-tunku-abdul-rahman-utar_592560cf2aeae70239af5243_small.jpg,31,160,,False,False,223,76,301+,83,301+,301+,301+,257,155,301+,169,28.8,62.4,8.3,57,13.6,11.7,16.8,19.9,26.8,1.1,27.5
Kasetsart University,/universities/kasetsart-university,Asia,Thailand,Bangkok,https://www.topuniversities.com/sites/default/files/kasetsart-university_312_small.jpg,30.9,161,4,False,False,137,301+,301+,120,301+,301+,301+,301+,76,301+,301+,53.5,3.9,4.9,38.6,6.5,2.6,3.3,11.3,46.2,1.3,3.1
"Vellore Institute of Technology (VIT), Vellore, India",/universities/vellore-institute-technology-vit-vellore-india,Asia,India,Vellore,https://www.topuniversities.com/sites/default/files/vellore-institute-of-technology-vit_592560cf2aeae70239af4e26_small.jpg,30.6,162,,False,False,77,301+,137,178,301+,301+,301+,129,168,144,301+,76.9,1.9,44.5,23.6,6.8,6.9,8.7,39.7,24.8,70.9,2.3
Jiangsu University,/universities/jiangsu-university,Asia,China (Mainland),Zhenjiang,https://www.topuniversities.com/sites/default/files/jiangsu-university_592560cf2aeae70239af5aa9_small.jpg,30.5,163,,False,False,60,301+,301+,251+,80,207,73,301+,251+,301+,283,84.6,1.5,17.5,2.7,77.3,21.1,75.8,11.4,6.6,1.1,13.9
