University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,International Research Network Rank,Academic Reputation Rank,H-index Citations Rank,Employer Reputation Rank,Citations per Paper Rank,International Research Network Score,Academic Reputation Score,H-index Citations Score,Employer Reputation Score,Citations per Paper Score
University of Washington,/universities/university-washington,North America,United States,Seattle,https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg,85.2,16,,False,False,20,28,5,77,40,84.4,84.4,89,73.3,89.4
University of Pennsylvania,/universities/university-pennsylvania,North America,United States,Philadelphia,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,84.8,17,,False,False,62,30,10,23,25,75.5,84.1,86.5,82.7,90.3
Columbia University,/universities/columbia-university,North America,United States,New York City,https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-48x48.jpg,84.3,18,,False,False,11,41,17,22,25,86.3,80.9,84.7,82.8,90.3
Cornell University,/universities/cornell-university,North America,United States,Ithaca,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,84.3,19,,False,False,74,17,41,27,46,74.3,87.8,79.4,81.7,88.6
The University of Melbourne,/universities/university-melbourne,Oceania,Australia,Parkville,https://www.topuniversities.com/sites/default/files/211118103607am165180PRIMARY-A-A4-Vertical-Housed-RGB-200px-48x48.jpg,84.2,20,,False,False,44,21,17,47,85,78.4,86.1,84.7,77.1,86.1
Duke University,/universities/duke-university,North America,United States,Durham,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,83.9,21,,False,False,23,31,22,57,29,83.1,83.9,82.5,75,89.9
University of British Columbia,/universities/university-british-columbia,North America,Canada,Vancouver,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg,83.8,22,,False,False,11,33,33,19,85,86.3,83.3,80.8,84.3,86.1
The University of Edinburgh,/universities/university-edinburgh,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,83.6,23,,False,False,45,25,29,53,44,78.2,85.2,81.7,75.4,88.9
"University of California, Berkeley (UCB)",/universities/university-california-berkeley-ucb,North America,United States,Berkeley,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,83.4,24,,False,False,148,12,122,7,36,68.1,89.6,69.3,89.5,89.7
The University of Sydney,/universities/university-sydney,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,83,25,,False,False,28,31,21,87,77,81.5,83.9,84,72,86.4
McGill University,/universities/mcgill-university,North America,Canada,Montreal,https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg,82.7,26,,False,False,27,36,25,34,77,81.8,81.9,82.2,80.2,86.4
University of Copenhagen,/universities/university-copenhagen,Europe,Denmark,Copenhagen,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg,81.9,27,,False,False,21,40,15,128,82,83.5,81.2,85.4,67.5,86.2
Seoul National University,/universities/seoul-national-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,81.7,28,,False,False,211,15,57,21,210,64.3,88.1,77.4,84,80.9
The University of Hong Kong,/universities/university-hong-kong,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,81.6,29,,False,False,199,27,69,42,15,65.1,84.5,76,78,91.3
University of Michigan-Ann Arbor,/universities/university-michigan-ann-arbor,North America,United States,Ann Arbor,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg,81.6,30,,False,False,84,42,22,38,53,73.6,80.8,82.5,78.3,88.1
KU Leuven,/universities/ku-leuven,Europe,Belgium,Leuven,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg,81.2,31,,False,False,10,66,37,53,45,87,77.8,80.2,75.4,88.8
The University of Queensland,/universities/university-queensland,Oceania,Australia,Brisbane City,https://www.topuniversities.com/sites/default/files/210824044126am970441uq-logo-48x48.jpg,80.9,32,,False,False,76,28,44,81,147,74.2,84.4,78.7,72.6,83.6
Monash University,/universities/monash-university,Oceania,Australia,Melbourne,https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg,80.7,33,,False,False,126,35,37,68,68,69.6,82.4,80.2,73.9,86.9
National University of Singapore (NUS),/universities/national-university-singapore-nus,Asia,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,80.7,34,,False,False,135,49,50,9,85,69,80.3,78,88.3,86.1
