University Name,Path,Absolute Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Citations per Faculty Rank,International Students Ratio Rank,Faculty Student Ratio Rank,International Faculty Ratio Rank,Academic Reputation Rank,Sustainability Rank,International Research Network Rank,Employment Outcomes Rank,Employer Reputation Rank,Citations per Faculty Score,International Students Ratio Score,Faculty Student Ratio Score,International Faculty Ratio Score,Academic Reputation Score,Sustainability Score,International Research Network Score,Employment Outcomes Score,Employer Reputation Score
Technische Universität Wien,/universities/vienna-university-technology,https://www.topuniversities.com/universities/vienna-university-technology,Europe,Austria,Vienna,https://staging.topuniversities.com/sites/default/files/vienna-university-of-technology_653_small.jpg,47.2,190,,FALSE,FALSE,139,120,701+,218,258,636,457,577,178,73.8,90.4,12.5,85.5,33.9,11.3,71.6,19.1,50.4
Universität Hamburg,/universities/universitat-hamburg,https://www.topuniversities.com/universities/universitat-hamburg,Europe,Germany,Hamburg,https://staging.topuniversities.com/sites/default/files/universitt-hamburg_592560cf2aeae70239af4b79_small.jpg,47.1,191,,FALSE,FALSE,233,532,701+,418,159,91,109,300,264,54.7,20.4,16.5,40.2,50.7,90.6,93.4,42.8,35.7
Tongji University,/universities/tongji-university,https://www.topuniversities.com/universities/tongji-university,Asia,China (Mainland),Shanghai,https://staging.topuniversities.com/sites/default/files/tongji-university_617_small.jpg,46.9,192,,FALSE,FALSE,44,457,533,345,276,147,442,473,508,96.9,26.5,29.1,54.5,31.8,81.4,72.9,24,16.9
Queen's University at Kingston,/universities/queens-university-kingston,https://www.topuniversities.com/universities/queens-university-kingston,North America,Canada,Kingston,https://staging.topuniversities.com/sites/default/files/queens-university-at-kingston_513_small.jpg,46.8,193,,FALSE,FALSE,322,456,701+,287,209,64,467,93,144,42.6,26.6,5.4,69.2,40.8,93.8,71.2,87.1,56.7
University of Gothenburg,/universities/university-gothenburg,https://www.topuniversities.com/universities/university-gothenburg,Europe,Sweden,Gothenburg,https://staging.topuniversities.com/sites/default/files/university-of-gothenburg_233_small.jpg,46.7,194,,FALSE,FALSE,394,180,235,191,247,73,91,189,481,33.6,78.2,60.9,90,35.4,92.8,94.2,63.1,18.3
Wuhan University,/universities/wuhan-university,https://www.topuniversities.com/universities/wuhan-university,Asia,China (Mainland),Wuhan,https://staging.topuniversities.com/sites/default/files/wuhan-university_889_small.jpg,46.7,195,,FALSE,FALSE,69,701+,701+,423,218,513,356,275,233,91.9,4.9,14,39.2,39.2,22.2,78.2,46.5,40.5
Emory University,/universities/emory-university,https://www.topuniversities.com/universities/emory-university,North America,United States,Atlanta,https://staging.topuniversities.com/sites/default/files/emory-university_185_small.jpg,46.6,196,,FALSE,FALSE,120,399,70,355,349,391,237,502,469,78.4,33.9,93.8,52.2,25.2,37,85.6,22.8,19
Deakin University,/universities/deakin-university,https://www.topuniversities.com/universities/deakin-university,Oceania,Australia,Burwood,https://staging.topuniversities.com/sites/default/files/download-48x48.png,46.4,197,,FALSE,FALSE,140,236,701+,135,282,66,280,347,400,73.6,63.8,4.6,96.4,31.3,93.7,82.7,36.8,23.9
Universidad Autónoma de Madrid,/universities/universidad-autonoma-de-madrid,https://www.topuniversities.com/universities/universidad-autonoma-de-madrid,Europe,Spain,Madrid,https://staging.topuniversities.com/sites/default/files/230914073612am166112marcaUAM-centroColor-expandHQg-48x48.jpg,46.3,198,,FALSE,FALSE,546,701+,534,701+,119,156,136,297,123,21,10.4,29.1,7.7,61,79.6,92,43.1,64.3
University of Calgary,/universities/university-calgary,https://www.topuniversities.com/universities/university-calgary,North America,Canada,Calgary,https://staging.topuniversities.com/sites/default/files/university-of-calgary_592560cf2aeae70239af4ad5_small.jpg,46.3,199,,FALSE,FALSE,350,225,701+,246,227,68,243,236,207,40.3,66.2,18.1,77.7,37.9,93.3,85.2,53.3,44.5
Arizona State University,/universities/arizona-state-university,https://www.topuniversities.com/universities/arizona-state-university,North America,United States,Tempe,https://staging.topuniversities.com/sites/default/files/arizona-state-university_592560cf2aeae70239af4a9c_small.jpg,46.2,200,,FALSE,FALSE,289,378,701+,357,165,41,66,479,209,47.1,37.2,7.4,52.1,48.6,96.3,95.7,23.6,44.1
King Saud University,/universities/king-saud-university,https://www.topuniversities.com/universities/king-saud-university,Asia,Saudi Arabia,Riyadh,https://staging.topuniversities.com/sites/default/files/king-saud-university_1175_small.jpg,46.2,201,5,FALSE,FALSE,354,622,281,98,216,420,75,17,332,40,15,54.3,99.4,39.4,33,95.1,99,28.7
Khalifa University,/universities/khalifa-university,https://www.topuniversities.com/universities/khalifa-university,Asia,United Arab Emirates,Abu Dhabi,https://staging.topuniversities.com/sites/default/files/khalifa-university-of-science-and-technology_592560e19988f300e2320ee2_small.jpg,46.1,202,,FALSE,FALSE,199,174,137,12,393,263,341,701+,437,60.7,78.9,80,100,22.7,61.6,78.8,9.3,21
University of Minnesota Twin Cities,/universities/university-minnesota-twin-cities,https://www.topuniversities.com/universities/university-minnesota-twin-cities,North America,United States,Minneapolis,https://staging.topuniversities.com/sites/default/files/university-of-minnesota_408_small.jpg,46,203,,FALSE,FALSE,327,701+,486,701+,137,37,145,241,284,41.9,8.7,32.4,7.7,56.8,96.5,91.7,52.5,33.1
Université catholique de Louvain (UCLouvain),/universities/universite-catholique-de-louvain-uclouvain,https://www.topuniversities.com/universities/universite-catholique-de-louvain-uclouvain,Europe,Belgium,Louvain-la-Neuve,https://staging.topuniversities.com/sites/default/files/universit-catholique-de-louvain-uclouvain_592560cf2aeae70239af4aed_small.jpg,46,204,,FALSE,FALSE,230,306,701+,186,168,471,169,135,367,55,47.6,4.6,91,48.4,27.1,89.9,76.4,25.9
Ecole des Ponts ParisTech,/universities/ecole-des-ponts-paristech,https://www.topuniversities.com/universities/ecole-des-ponts-paristech,Europe,France,Paris,https://staging.topuniversities.com/sites/default/files/ecole-des-ponts-paristech_187_small.jpg,45.8,205,,FALSE,FALSE,186,84,38,404,601+,650,701+,207,138,62.6,96.5,99,43.5,8.9,10.8,37.3,59.5,58.5
Queen's University Belfast,/universities/queens-university-belfast,https://www.topuniversities.com/universities/queens-university-belfast,Europe,United Kingdom,Belfast,https://staging.topuniversities.com/sites/default/files/queens-university-belfast_592560cf2aeae70239af4c86_small.jpg,45.7,206,,FALSE,FALSE,345,67,543,74,249,103,124,701+,279,40.6,98.2,28.6,100,35.4,88.9,92.8,9.9,33.6
Universitas Indonesia,/universities/universitas-indonesia,https://www.topuniversities.com/universities/universitas-indonesia,Asia,Indonesia,Depok,https://staging.topuniversities.com/sites/default/files/universitas-indonesia_290_small.jpg,45.7,207,,FALSE,FALSE,701+,701+,268,202,148,424,701+,131,79,2.1,7.1,55.7,88.3,53.8,32.7,37.2,77.3,79.2
The Ohio State University,/universities/ohio-state-university,https://www.topuniversities.com/universities/ohio-state-university,North America,United States,Columbus,https://staging.topuniversities.com/sites/default/files/the-ohio-state-university_465_small.jpg,45.6,208,,FALSE,FALSE,423,701+,392,696,130,315,87,281,176,31.2,10.6,39.5,13.4,58.6,50.8,94.6,45.3,50.4
Tel Aviv University,/universities/tel-aviv-university,https://www.topuniversities.com/universities/tel-aviv-university,Asia,Israel,Tel Aviv,https://staging.topuniversities.com/sites/default/files/tel-aviv-university_592560cf2aeae70239af4cde_small.jpg,45.2,209,,FALSE,FALSE,20,701+,701+,419,275,334,362,85,474,99.4,7,4.2,39.7,32,46.2,77.9,88.4,18.6
National Tsing Hua University,/universities/national-tsing-hua-university,https://www.topuniversities.com/universities/national-tsing-hua-university,Asia,Taiwan,Hsinchu City,https://staging.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg,45.1,210,,FALSE,FALSE,268,695,549,701+,143,428,701+,629,99,49.6,11.1,28,9.5,54.8,32.1,45,16.3,71.2
Indian Institute of Science,/universities/indian-institute-science,https://www.topuniversities.com/universities/indian-institute-science,Asia,India,Bangalore,https://staging.topuniversities.com/sites/default/files/indian-institute-of-science-iisc-bangalore_22878_small.jpg,45,211,,FALSE,FALSE,11,701+,419,701+,181,500,701+,701+,362,99.9,1.5,37.9,3.7,45.7,23.7,39.1,13.1,26.3
Albert-Ludwigs-Universitaet Freiburg,/universities/albert-ludwigs-universitaet-freiburg,https://www.topuniversities.com/universities/albert-ludwigs-universitaet-freiburg,Europe,Germany,Freiburg im Breisgau,https://staging.topuniversities.com/sites/default/files/240117022940pm384573UFR-Kurzform-200x200-Zeichenfl%C3%A4che-1-Zeichenfl%C3%A4che-1-48x48.jpg,44.8,212,,FALSE,FALSE,248,401,597,290,198,94,131,391,394,52.2,33.7,24.6,67.6,43.1,90,92.3,32.5,24.5
Queensland University of Technology (QUT),/universities/queensland-university-technology-qut,https://www.topuniversities.com/universities/queensland-university-technology-qut,Oceania,Australia,Brisbane,https://staging.topuniversities.com/sites/default/files/queensland-university-of-technology-qut_592560cf2aeae70239af4c88_small.jpg,44.7,213,,FALSE,FALSE,202,530,701+,122,214,100,274,581,285,59.9,20.7,8.1,97.9,39.8,89.4,83.4,19,33.1
University of Otago,/universities/university-otago,https://www.topuniversities.com/universities/university-otago,Oceania,New Zealand,Dunedin,https://staging.topuniversities.com/sites/default/files/220609020250am605958OtagoLogoQS-48x48.jpg,44.4,214,6,FALSE,FALSE,361,375,701+,50,187,48,332,208,388,38.8,37.6,12.8,100,45,96,79.5,59.1,24.6
National Cheng Kung University (NCKU),/universities/national-cheng-kung-university-ncku,https://www.topuniversities.com/universities/national-cheng-kung-university-ncku,Asia,Taiwan,Tainan City,https://staging.topuniversities.com/sites/default/files/230407032250am673777NCKU-Alt-GraphicSignature-NL-RGB-AW-48x48.jpg,44.2,215,,FALSE,FALSE,554,642,472,646,157,131,648,306,90,20.3,13.9,33.4,16.3,51.5,83.8,58.7,42.4,74
University of Florida,/universities/university-florida,https://www.topuniversities.com/universities/university-florida,North America,United States,Gainesville,https://staging.topuniversities.com/sites/default/files/university-of-florida_212_small.jpg,44.2,216,,FALSE,FALSE,411,701+,220,630,172,266,21,286,220,32.1,10.3,62.9,17.8,46.7,60.6,98.3,44.5,42.3
La Trobe University,/universities/la-trobe-university,https://www.topuniversities.com/universities/la-trobe-university,Oceania,Australia,Melbourne,https://staging.topuniversities.com/sites/default/files/220913045650am561995LTU-Int-V-RGB-JPG-48x48.jpg,44.1,217,6,FALSE,FALSE,123,97,701+,172,370,166,345,570,457,77.7,95,8,92.6,23.6,78.4,78.6,19.6,19.8
"University of Maryland, College Park",/universities/university-maryland-college-park,https://www.topuniversities.com/universities/university-maryland-college-park,North America,United States,College Park,https://staging.topuniversities.com/sites/default/files/university-of-maryland-college-park_393_small.jpg,44,218,,FALSE,FALSE,231,603,484,588,167,291,133,311,317,55,16.2,32.5,20.9,48.6,54.4,92.3,41.2,29.4
National Yang Ming Chiao Tung University,/universities/national-yang-ming-chiao-tung-university,https://www.topuniversities.com/universities/national-yang-ming-chiao-tung-university,Asia,Taiwan,Hsinchu City,https://staging.topuniversities.com/sites/default/files/230525091126am408938230525%40400x-100-48x48.jpg,43.9,219,,FALSE,FALSE,245,564,300,607,267,379,701+,210,128,52.7,19.2,51.1,19.6,32.9,38.8,53.7,58.3,62.7
Universidad Nacional de Colombia,/universities/universidad-nacional-de-colombia,https://www.topuniversities.com/universities/universidad-nacional-de-colombia,Latin America,Colombia,Bogotá,https://staging.topuniversities.com/sites/default/files/universidad-nacional-de-colombia_592560cf2aeae70239af4b0b_small.jpg,43.9,220,,FALSE,FALSE,701+,701+,701+,701+,88,298,543,302,53,3.4,1.4,5.4,5.6,71,53.1,65.9,42.6,89.9
Vrije Universiteit Amsterdam,/universities/vrije-universiteit-amsterdam,https://www.topuniversities.com/universities/vrije-universiteit-amsterdam,Europe,Netherlands,Amsterdam,https://staging.topuniversities.com/sites/default/files/vrije-universiteit-amsterdam_658_small.jpg,43.8,221,,FALSE,FALSE,179,310,650,293,217,315,184,282,494,63.7,47.4,21.3,67.3,39.4,50.8,89,45.1,17.8
Eberhard Karls Universität Tübingen,/universities/eberhard-karls-universitat-tubingen,https://www.topuniversities.com/universities/eberhard-karls-universitat-tubingen,Europe,Germany,Tübingen,https://staging.topuniversities.com/sites/default/files/eberhard-karls-universitt-tbingen_629_small.jpg,43.7,222,,FALSE,FALSE,550,463,98,255,177,420,102,408,307,20.5,26.2,87.1,76.1,46,33,93.8,30.9,30.7
Indian Institute of Technology Kharagpur (IIT-KGP),/universities/indian-institute-technology-kharagpur-iit-kgp,https://www.topuniversities.com/universities/indian-institute-technology-kharagpur-iit-kgp,Asia,India,Kharagpur,https://staging.topuniversities.com/sites/default/files/indian-institute-of-technology-kharagpur-iit-kgp_285_small.jpg,43.7,223,,FALSE,FALSE,76,701+,701+,701+,257,348,492,386,173,90.2,1.1,9,1.1,34,44.3,69.3,33,51.1
Friedrich-Alexander-Universität Erlangen-Nürnberg,/universities/friedrich-alexander-universitat-erlangen-nurnberg,https://www.topuniversities.com/universities/friedrich-alexander-universitat-erlangen-nurnberg,Europe,Germany,Erlangen,https://staging.topuniversities.com/sites/default/files/220609081209am601836FAU-Logo-quadratisch-48x48.jpg,43.6,224,,FALSE,FALSE,50,300,701+,516,345,193,213,568,346,94.9,48.8,3.2,27.2,25.8,74.5,87.1,19.6,27.7
Loughborough University,/universities/loughborough-university,https://www.topuniversities.com/universities/loughborough-university,Europe,United Kingdom,Loughborough,https://staging.topuniversities.com/sites/default/files/loughborough-university_592560cf2aeae70239af4bf3_small.jpg,43.6,225,6,FALSE,FALSE,406,216,613,212,299,64,214,488,151,32.4,68.6,23.8,87.1,29.7,93.8,87.1,23.2,55.3
University of Lausanne,/universities/university-lausanne,https://www.topuniversities.com/universities/university-lausanne,Europe,Switzerland,Lausanne,https://staging.topuniversities.com/sites/default/files/university-of-lausanne_592560cf2aeae70239af4bd3_small.jpg,43.6,226,,FALSE,FALSE,195,271,435,67,310,313,328,244,471,61,54.2,36.8,100,28.4,51.2,79.8,51.8,18.8
Indian Institute of Technology Madras (IITM),/universities/indian-institute-technology-madras-iitm,https://www.topuniversities.com/universities/indian-institute-technology-madras-iitm,Asia,India,Chennai,https://staging.topuniversities.com/sites/default/files/indian-institute-of-technology-madras-iitm_286_small.jpg,43.5,227,,FALSE,FALSE,154,701+,663,701+,203,343,701+,444,127,70.3,1.6,20.3,3.9,42.4,44.6,37.5,27,63.2
Rheinische Friedrich-Wilhelms-Universität Bonn,/universities/rheinische-friedrich-wilhelms-universitat-bonn,https://www.topuniversities.com/universities/rheinische-friedrich-wilhelms-universitat-bonn,Europe,Germany,Bonn,https://staging.topuniversities.com/sites/default/files/rheinische-friedrich-wilhelms-universitt-bonn_592560cf2aeae70239af4ac1_small.jpg,43.5,228,,FALSE,FALSE,598,361,221,399,153,138,83,357,399,17.2,38.9,62.7,44.3,52.8,83.2,94.7,35.4,24.1
Chulalongkorn University,/universities/chulalongkorn-university,https://www.topuniversities.com/universities/chulalongkorn-university,Asia,Thailand,Bangkok,https://staging.topuniversities.com/sites/default/files/chulalongkorn-university_592560cf2aeae70239af4b01_small.jpg,43.4,229,,FALSE,FALSE,701+,701+,499,617,97,198,331,60,261,7.5,3,31.7,18.7,68.2,73.2,79.6,93.6,35.9
Maastricht University,/universities/maastricht-university,https://www.topuniversities.com/universities/maastricht-university,Europe,Netherlands,Maastricht,https://staging.topuniversities.com/sites/default/files/231218042543pm676051UM-triangles-200-x-200-pixels-48x48.jpg,43,230,,FALSE,FALSE,185,20,701+,97,389,302,312,337,345,62.8,100,13.2,99.4,23,52.5,80.5,38.2,27.8
Universite libre de Bruxelles,/universities/universite-libre-de-bruxelles,https://www.topuniversities.com/universities/universite-libre-de-bruxelles,Europe,Belgium,Brussels,https://staging.topuniversities.com/sites/default/files/universite-libre-de-bruxelles_75_small.jpg,43,231,,FALSE,FALSE,263,155,701+,110,263,490,203,179,273,49.9,84.4,3,98.7,33.3,25.2,87.5,65.5,34.5
Universidade Estadual de Campinas (Unicamp),/universities/universidade-estadual-de-campinas-unicamp,https://www.topuniversities.com/universities/universidade-estadual-de-campinas-unicamp,Latin America,Brazil,Campinas,https://staging.topuniversities.com/sites/default/files/universidade-estadual-de-campinas-unicamp_96_small.jpg,42.9,232,,FALSE,FALSE,506,701+,701+,701+,87,236,241,465,236,24.3,2.7,14.7,10.7,71.8,65.9,85.4,25.1,40.3
University of Twente,/universities/university-twente,https://www.topuniversities.com/universities/university-twente,Europe,Netherlands,Enschede,https://staging.topuniversities.com/sites/default/files/university-of-twente_635_small.jpg,42.7,233,,FALSE,FALSE,193,119,362,83,424,603,202,562,294,61.3,90.4,43.3,100,20.7,13.8,87.6,20,32
Technische Universität Dresden,/universities/technische-universitat-dresden,https://www.topuniversities.com/universities/technische-universitat-dresden,Europe,Germany,Dresden,https://staging.topuniversities.com/sites/default/files/technische-universitt-dresden_598_small.jpg,42.6,234,,FALSE,FALSE,455,450,134,445,240,181,104,701+,216,28.5,27.6,80.3,35.8,36.3,75.8,93.8,8.8,42.5
University of Waikato,/universities/university-waikato,https://www.topuniversities.com/universities/university-waikato,Oceania,New Zealand,Hamilton ,https://staging.topuniversities.com/sites/default/files/230815114906pm995093UoW-NZ-logo-CMYK-vert-1061x1693-27c69c2-48x48.jpg,42.5,235,5,FALSE,FALSE,94,261,701+,107,473,99,697,276,601+,84.7,56.9,12.4,99,19.1,89.5,55.1,46.4,11.7
University of Aberdeen,/universities/university-aberdeen,https://www.topuniversities.com/universities/university-aberdeen,Europe,United Kingdom,Aberdeen,https://staging.topuniversities.com/sites/default/files/university-of-aberdeen_592560cf2aeae70239af4a8b_small.jpg,42.3,236,,FALSE,FALSE,412,103,482,154,292,37,190,519,330,32,92.6,32.7,94.5,30.5,96.5,88.5,22.2,28.8
University of Rochester,/universities/university-rochester,https://www.topuniversities.com/universities/university-rochester,North America,United States,Rochester,https://staging.topuniversities.com/sites/default/files/university-of-rochester_592560cf2aeae70239af4c96_small.jpg,42.3,237,,FALSE,FALSE,395,100,35,306,396,247,568,316,441,33.6,93.8,99.1,63.9,22.6,63.7,64.3,40.4,20.8
Università di Padova,/universities/universita-di-padova,https://www.topuniversities.com/universities/universita-di-padova,Europe,Italy,Padova,https://staging.topuniversities.com/sites/default/files/universitdi-padova_480_small.jpg,42.3,238,,FALSE,FALSE,302,694,701+,701+,129,110,79,590,351,45.7,11.1,8.5,9.2,58.9,87.7,94.9,18.8,27.3
Gadjah Mada University,/universities/gadjah-mada-university,https://www.topuniversities.com/universities/gadjah-mada-university,Asia,Indonesia,Yogyakarta,https://staging.topuniversities.com/sites/default/files/gadjah-mada-university_219_small.jpg,41.8,239,,FALSE,FALSE,701+,701+,255,417,145,473,701+,167,91,1.7,4.1,57.6,40.3,54.4,26.8,38.1,69,73.5
Massey University,/universities/massey-university,https://www.topuniversities.com/universities/massey-university,Oceania,New Zealand,Palmerston North,https://staging.topuniversities.com/sites/default/files/massey-university_395_small.jpg,41.8,240,6,FALSE,FALSE,473,96,324,112,293,81,244,259,585,27.4,95.2,48,98.5,30.1,91.4,85.1,49.2,14
Politecnico di Torino,/universities/politecnico-di-torino,https://www.topuniversities.com/universities/politecnico-di-torino,Europe,Italy,Turin,https://staging.topuniversities.com/sites/default/files/211027114149am317273Poli-di-Torino-logo-200x2000-48x48.jpg,41.7,241,,FALSE,FALSE,254,349,701+,701+,213,169,297,412,165,51.6,41,3.1,4.9,40.2,77.9,81.4,30.6,52.1
Technical University of Darmstadt,/universities/technical-university-darmstadt,https://www.topuniversities.com/universities/technical-university-darmstadt,Europe,Germany,Darmstadt,https://staging.topuniversities.com/sites/default/files/technische-universitt-darmstadt_628_small.jpg,41.7,242,,FALSE,FALSE,155,167,701+,323,444,211,544,288,260,70,81.4,6.7,60.3,20,71.8,65.9,44.4,35.9
Dartmouth College,/universities/dartmouth-college,https://www.topuniversities.com/universities/dartmouth-college,North America,United States,Hanover,https://staging.topuniversities.com/sites/default/files/dartmouth-college_592560cf2aeae70239af4b1c_small.jpg,41.3,243,,FALSE,FALSE,200,351,200,701+,392,214,701+,168,303,60.6,40.9,65.8,9.2,22.8,71.2,42.5,68.8,31
Victoria University of Wellington,/universities/victoria-university-wellington,https://www.topuniversities.com/universities/victoria-university-wellington,Oceania,New Zealand,"Kelburn, Wellington",https://staging.topuniversities.com/sites/default/files/victoria-university-of-wellington_592560cf2aeae70239af4d0f_small.jpg,41.2,244,6,FALSE,FALSE,410,420,701+,82,202,81,475,151,429,32.1,31,10.1,100,42.8,91.4,70.7,71.6,21.4
University of Macau,/universities/university-macau,https://www.topuniversities.com/universities/university-macau,Asia,Macau SAR,Macau,https://staging.topuniversities.com/sites/default/files/university-of-macau_14378_small.jpg,41.1,245,5,FALSE,FALSE,23,36,701+,21,601+,701+,664,253,601+,99.1,99.9,9.8,100,11.9,7.7,57,50.3,10.5
Charles University,/universities/charles-university,https://www.topuniversities.com/universities/charles-university,Europe,Czechia,Prague,https://staging.topuniversities.com/sites/default/files/charles-university_117_small.jpg,41,246,,FALSE,FALSE,701+,291,491,535,182,173,51,178,183,8,50.5,32.2,25,45.6,77.4,96.3,65.5,49.1
University of Sussex,/universities/university-sussex,https://www.topuniversities.com/universities/university-sussex,Europe,United Kingdom,Brighton,https://staging.topuniversities.com/sites/default/files/university-of-sussex_592560cf2aeae70239af4ccd_small.jpg,41,247,,FALSE,FALSE,220,152,701+,95,395,26,252,322,601+,56.8,84.9,15.5,99.6,22.6,97.7,84.7,39.9,10.4
Vanderbilt University,/universities/vanderbilt-university,https://www.topuniversities.com/universities/vanderbilt-university,North America,United States,Nashville,https://staging.topuniversities.com/sites/default/files/vanderbilt-university_649_small.jpg,40.8,248,,FALSE,FALSE,242,383,13,493,356,492,344,364,423,53,36,100,30.1,24.4,24.5,78.6,34.7,21.8
University of Navarra,/universities/university-navarra,https://www.topuniversities.com/universities/university-navarra,Europe,Spain,Pamplona,https://staging.topuniversities.com/sites/default/files/230606111821am961353marcaunav-rojo-1x1-48x48.jpg,40.7,249,,FALSE,FALSE,642,196,315,537,291,355,578,137,108,14.7,73.8,49.6,24.8,30.6,42.3,63.6,75.8,68
