University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Citations per Paper Rank,International Research Network Rank,Employer Reputation Rank,H-index Citations Rank,Academic Reputation Rank,Citations per Paper Score,International Research Network Score,Employer Reputation Score,H-index Citations Score,Academic Reputation Score
Freie Universitaet Berlin,/universities/freie-universitaet-berlin,Europe,Germany,Berlin,https://www.topuniversities.com/sites/default/files/freie-universitaet-berlin_215_small.jpg,71.9,106,,False,False,283,107,278,277,69,80.9,74.6,61.2,68.4,77.3
Universidad Autónoma de Madrid,/universities/universidad-autonoma-de-madrid,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/230914073612am166112marcaUAM-centroColor-expandHQg-48x48.jpg,71.8,107,,False,False,310,199,99,247,156,79.8,67.2,72.1,70,71.2
Universitat de Barcelona,/universities/universitat-de-barcelona,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/university-of-barcelona_592560cf2aeae70239af4aaf_small.jpg,71.8,108,,False,False,347,23,154,229,150,78.3,86.8,68.6,70.7,71.5
Johns Hopkins University,/universities/johns-hopkins-university,North America,United States,Baltimore,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,71.7,109,,False,False,144,9,126,38,256,84.6,93.9,70.5,82.6,66.6
University of North Carolina at Chapel Hill,/universities/university-north-carolina-chapel-hill,North America,United States,Chapel Hill,https://www.topuniversities.com/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg,71.7,110,,False,False,91,150,285,88,96,86.4,71.4,61,79,74.8
Lund University,/universities/lund-university,Europe,Sweden,Lund,https://www.topuniversities.com/sites/default/files/lund-university_371_small.jpg,71.5,111,,False,False,148,13,275,105,133,84.5,91.4,61.4,78,72.7
Arizona State University,/universities/arizona-state-university,North America,United States,Tempe,https://www.topuniversities.com/sites/default/files/arizona-state-university_592560cf2aeae70239af4a9c_small.jpg,71.4,112,,False,False,123,102,221,21,159,85.1,74.9,64.7,85.3,71
Universidad Nacional de Colombia,/universities/universidad-nacional-de-colombia,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-colombia_592560cf2aeae70239af4b0b_small.jpg,71.4,113,,False,False,401+,401+,93,401+,72,68,45.3,72.3,50.4,77.2
City University of Hong Kong,/universities/city-university-hong-kong,Asia,Hong Kong SAR,,https://www.topuniversities.com/sites/default/files/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,71.3,114,6,False,False,111,390,258,277,69,85.4,47.4,62.6,68.4,77.3
Pontificia Universidad Catolica del Peru,/universities/pontificia-universidad-catolica-del-peru,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/210825042529am231772Isotipo-PUCP-200x200-48x48.jpg,71.3,115,,False,False,401+,401+,99,382,79,63.3,39.6,72.1,61.8,76.7
Sapienza University of Rome,/universities/sapienza-university-rome,Europe,Italy,Rome,https://www.topuniversities.com/sites/default/files/sapienza-university-of-rome_592560cf2aeae70239af4c97_small.jpg,71.3,116,,False,False,348,40,122,188,193,78.1,82.6,70.6,72.8,69.4
Politecnico di Milano,/universities/politecnico-di-milano,Europe,Italy,Milan,https://www.topuniversities.com/sites/default/files/politecnico-di-milano_592560cf2aeae70239af4c1c_small.jpg,71.2,117,,False,False,275,68,49,247,276,81.1,79.5,77,70,65.5
Purdue University,/universities/purdue-university,North America,United States,West Lafayette,https://www.topuniversities.com/sites/default/files/230619052213pm191066PU-SIG-Logo-RGB--PU-V-Full-RGB-48x48.jpg,71.2,118,,False,False,140,82,91,71,256,84.7,77.1,72.4,79.9,66.6
"Trinity College Dublin, The University of Dublin",/universities/trinity-college-dublin-university-dublin,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_small.jpg,71.2,119,,False,False,263,204,139,198,163,81.4,66.8,69.7,72.1,70.9
Lancaster University,/universities/lancaster-university,Europe,United Kingdom,"Lancaster,",https://www.topuniversities.com/sites/default/files/lancaster-university_335_small.jpg,71.1,120,5,False,False,111,233,258,88,117,85.4,65,62.6,79,73.4
Oxford Brookes University,/universities/oxford-brookes-university,Europe,United Kingdom,Oxford,https://www.topuniversities.com/sites/default/files/oxford-brookes-university_592560cf2aeae70239af4c61_small.jpg,71.1,121,,False,False,334,363,53,229,206,78.9,52.2,76.1,70.7,68.9
University of Birmingham,/universities/university-birmingham,Europe,United Kingdom,Birmingham,https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_small.jpg,71,122,,False,False,148,91,206,78,168,84.5,76.3,65.6,79.5,70.5
University of Nottingham,/universities/university-nottingham,Europe,United Kingdom,Nottingham,https://www.topuniversities.com/sites/default/files/the-university-of-nottingham_592560cf2aeae70239af4c4e_small.jpg,71,123,,False,False,185,45,217,88,170,83.7,82.1,65,79,70.4
Universität Mannheim,/universities/universitat-mannheim,Europe,Germany,Mannheim,https://www.topuniversities.com/sites/default/files/universitt-mannheim_592560cf2aeae70239af4c0b_small.jpg,71,124,,False,False,34,401+,401+,173,36,88.8,36.4,53.7,73.4,81.9
University of Bristol,/universities/university-bristol,Europe,United Kingdom,Bristol,https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg,70.9,125,6,False,False,87,217,174,62,180,86.5,65.8,67.3,80.4,69.9
ESSEC Business School,/universities/essec-business-school,Europe,France,Cergy,https://www.topuniversities.com/sites/default/files/essec-business-school_198_small.jpg,70.8,126,,False,False,401+,401+,106,401+,79,67.4,36.5,71.7,53.9,76.7
George Washington University,/universities/george-washington-university,North America,United States,Washington D.C.,https://www.topuniversities.com/sites/default/files/george-washington-university_223_small.jpg,70.8,127,,False,False,158,122,225,133,150,84.3,73.8,64.6,75.8,71.5
Leiden University,/universities/leiden-university,Europe,Netherlands,Leiden,https://www.topuniversities.com/sites/default/files/leiden-university_340_small.jpg,70.8,128,,False,False,233,105,275,151,112,82.4,74.7,61.4,74.7,73.7
Texas A&M University,/universities/texas-am-university,North America,United States,College Station,https://www.topuniversities.com/sites/default/files/texas-am-university_592560cf2aeae70239af4ce2_small.jpg,70.8,129,,False,False,199,82,156,115,211,83.4,77.1,68.5,77.5,68.7
University of Groningen,/universities/university-groningen,Europe,Netherlands,Groningen,https://www.topuniversities.com/sites/default/files/university-of-groningen_243_small.jpg,70.8,130,,False,False,74,37,342,47,130,86.8,83,58.8,81.7,72.8
Sorbonne University,/universities/sorbonne-university,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg,70.7,131,,False,False,369,12,64,382,247,76.2,91.9,74.1,61.8,67.1
"University of Maryland, College Park",/universities/university-maryland-college-park,North America,United States,College Park,https://www.topuniversities.com/sites/default/files/university-of-maryland-college-park_393_small.jpg,70.7,132,,False,False,50,75,232,35,192,87.8,77.7,64.2,83,69.5
University of St.Gallen (HSG),/universities/university-stgallen-hsg,Europe,Switzerland,St. Gallen,https://www.topuniversities.com/sites/default/files/220202052805pm846901HSG-Bildmarke-RGB-48x48.jpg,70.6,133,,False,False,55,401+,262,160,87,87.7,34.6,62.5,74,75.9
Cardiff University,/universities/cardiff-university,Europe,United Kingdom,Cardiff,https://www.topuniversities.com/sites/default/files/cardiff-university_592560cf2aeae70239af4ae6_small.jpg,70.5,134,,False,False,87,117,252,26,176,86.5,74,63,84.5,70.1
KAIST - Korea Advanced Institute of Science & Technology,/universities/kaist-korea-advanced-institute-science-technology,Asia,South Korea,Daejeon,https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg,70.5,135,,False,False,163,401+,66,401+,158,84.2,43.5,74,56.9,71.1
Brown University,/universities/brown-university,North America,United States,Providence,https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg,70.4,136,,False,False,61,271,189,47,193,87.4,61.4,66.4,81.7,69.4
Western University,/universities/western-university,North America,Canada,London,https://www.topuniversities.com/sites/default/files/the-university-of-western-ontario_674_small.jpg,70.4,137,6,False,False,158,167,212,99,174,84.3,70.1,65.4,78.5,70.2
Universidade Estadual de Campinas (Unicamp),/universities/universidade-estadual-de-campinas-unicamp,Latin America,Brazil,Campinas,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-campinas-unicamp_96_small.jpg,70.3,138,,False,False,399,248,71,398,184,73.7,63.9,73.7,60.7,69.8
University of Zurich,/universities/university-zurich,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/university-of-zurich_693_small.jpg,70.2,139,,False,False,31,141,401+,30,104,88.9,72,55.5,83.4,74.1
Université de Montréal ,/universities/universite-de-montreal,North America,Canada,Montreal,https://www.topuniversities.com/sites/default/files/universit-de-montral_417_small.jpg,70.2,140,,False,False,208,275,197,151,159,83.2,60.9,66,74.7,71
Fundação Getulio Vargas (FGV),/universities/fundacao-getulio-vargas-fgv,Latin America,Brazil,São Paulo,https://www.topuniversities.com/sites/default/files/fundao-getulio-vargas-fgv_206_small.jpg,70,141,,False,False,388,401+,152,369,93,75,29.7,68.7,62.9,75.1
Indiana University Bloomington,/universities/indiana-university-bloomington,North America,United States,Bloomington,https://www.topuniversities.com/sites/default/files/indiana-university-bloomington_289_small.jpg,70,142,,False,False,107,172,333,99,128,85.5,69.7,59.1,78.5,72.9
Keio University,/universities/keio-university,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/keio-university_592560cf2aeae70239af4bbe_small.jpg,70,143,,False,False,401+,401+,151,401+,90,69.8,44.6,68.8,56.9,75.3
Queen's University at Kingston,/universities/queens-university-kingston,North America,Canada,Kingston,https://www.topuniversities.com/sites/default/files/queens-university-at-kingston_513_small.jpg,69.9,144,,False,False,257,279,111,229,221,81.6,59.8,71.5,70.7,68.1
Sungkyunkwan University (SKKU),/universities/sungkyunkwan-universityskku,Asia,South Korea,Suwon,https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg,69.8,145,,False,False,257,401+,152,314,135,81.6,36.3,68.7,66.7,72.6
Pontificia Universidad Javeriana,/universities/pontificia-universidad-javeriana,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/pontificia-universidad-javeriana_592560cf2aeae70239af514a_small.jpg,69.7,146,,False,False,401+,401+,85,401+,90,61.7,32.1,72.7,53.9,75.3
Universidade Federal do Rio de Janeiro,/universities/universidade-federal-do-rio-de-janeiro,Latin America,Brazil,Rio de Janeiro,https://www.topuniversities.com/sites/default/files/220127083943pm152751UFRJ-Vertical-Impresso-Positivo-ai-48x48.jpg,69.7,147,,False,False,401+,288,107,382,165,70.3,59.1,71.6,61.8,70.7
Maastricht University,/universities/maastricht-university,Europe,Netherlands,Maastricht,https://www.topuniversities.com/sites/default/files/231218042543pm676051UM-triangles-200-x-200-pixels-48x48.jpg,69.6,148,,False,False,68,178,326,62,150,87.1,69.2,59.4,80.4,71.5
University of Bath,/universities/university-bath,Europe,United Kingdom,Bath,https://www.topuniversities.com/sites/default/files/university-of-bath_47_small.jpg,69.6,149,,False,False,50,209,220,151,196,87.8,66.4,64.9,74.7,69.3
Queen Mary University of London,/universities/queen-mary-university-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg,69.5,150,,False,False,91,117,214,88,233,86.4,74,65.3,79,67.7
Stockholm University,/universities/stockholm-university,Europe,Sweden,Stockholm,https://www.topuniversities.com/sites/default/files/stockholm-university_577_small.jpg,69.5,151,,False,False,118,41,401+,30,144,85.2,82.4,55.8,83.4,72
The University of Western Australia,/universities/university-western-australia,Oceania,Australia,Perth,https://www.topuniversities.com/sites/default/files/the-university-of-western-australia_673_small.jpg,69.4,152,,False,False,118,52,339,47,172,85.2,81.5,58.9,81.7,70.3
Universitas Indonesia,/universities/universitas-indonesia,Asia,Indonesia,Depok,https://www.topuniversities.com/sites/default/files/universitas-indonesia_290_small.jpg,69.4,153,,False,False,401+,401+,82,401+,107,58.9,40.3,72.8,55.4,74
University of Alberta,/universities/university-alberta,North America,Canada,Edmonton,https://www.topuniversities.com/sites/default/files/university-of-alberta_15_small.jpg,69.4,154,,False,False,281,33,161,198,256,81,83.3,68.3,72.1,66.6
Stockholm School of Economics,/universities/stockholm-school-economics,Europe,Sweden,"Stockholm,",https://www.topuniversities.com/sites/default/files/stockholm-school-of-economics_576_small.jpg,69.3,155,,False,False,267,401+,401+,247,51,81.3,34.1,55.1,70,79.4
The University of Sheffield,/universities/university-sheffield,Europe,United Kingdom,Sheffield,https://www.topuniversities.com/sites/default/files/230919100158am438629UoS-logo-48x48.jpg,69.3,156,,False,False,123,38,255,133,213,85.1,82.9,62.7,75.8,68.5
Goethe-University Frankfurt am Main,/universities/goethe-university-frankfurt-am-main,Europe,Germany,Frankfurt,https://www.topuniversities.com/sites/default/files/universitt-frankfurt-am-main_214_small.jpg,69.2,157,,False,False,263,126,368,151,124,81.4,73.2,57.7,74.7,73
University of Vienna,/universities/university-vienna,Europe,Austria,Vienna,https://www.topuniversities.com/sites/default/files/university-of-vienna_652_small.jpg,69.2,158,,False,False,243,35,401+,126,130,82.1,83.2,55.9,76.4,72.8
"City, University of London",/universities/city-university-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/city-university-of-london_354_small.jpg,69.1,159,,False,False,74,317,290,99,154,86.8,56.9,60.8,78.5,71.3
IE University,/universities/ie-university,Europe,Spain,Segovia,https://www.topuniversities.com/sites/default/files/230302024505pm732571IE-univ-logo-200x200-48x48.jpg,69.1,160,,False,False,401+,401+,79,401+,103,62.9,22.1,72.9,56.9,74.2
Saint Petersburg State University,/universities/saint-petersburg-state-university,Europe,Russia,Saint Petersburg,https://www.topuniversities.com/sites/default/files/saint-petersburg-state-university_592560cf2aeae70239af4cc0_small.jpg,69.1,161,,False,True,401+,316,40,369,253,62.1,57,78.4,62.9,66.7
University College Dublin,/universities/university-college-dublin,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/university-college-dublin_166_small.jpg,69,162,,False,False,233,217,207,247,198,82.4,65.8,65.5,70,69.2
University of Virginia,/universities/university-virginia,North America,United States,Charlottesville,https://www.topuniversities.com/sites/default/files/university-of-virginia_656_small.jpg,69,163,,False,False,94,157,281,60,196,86.2,70.7,61.1,80.8,69.3
Aarhus University,/universities/aarhus-university,Europe,Denmark,Aarhus,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,68.8,164,,False,False,199,55,385,133,153,83.4,81.2,56.9,75.8,71.4
Taylor's University,/universities/taylors-university,Asia,Malaysia,Subang Jaya,https://www.topuniversities.com/sites/default/files/taylors-university_592560cf2aeae70239af57af_small.jpg,68.8,165,5,False,False,370,401+,182,357,144,76.1,45.4,66.9,63.9,72
WU (Vienna University of Economics and Business),/universities/wu-vienna-university-economics-business,Europe,Austria,Vienna,https://www.topuniversities.com/sites/default/files/wu-vienna-university-of-economics-and-business_592560cf2aeae70239af4d89_small.jpg,68.8,166,,False,False,31,380,401+,229,86,88.9,49.1,54,70.7,76.3
Indian Institute of Technology Delhi (IITD),/universities/indian-institute-technology-delhi-iitd,Asia,India,New Delhi,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-delhi-iitd_282_small.jpg,68.7,167,,False,False,177,401+,47,401+,285,84,42.7,77.3,59.5,65.3
Wuhan University,/universities/wuhan-university,Asia,China (Mainland),Wuhan,https://www.topuniversities.com/sites/default/files/wuhan-university_889_small.jpg,68.7,168,,False,False,216,331,86,263,276,82.8,55.1,72.6,69.2,65.5
Hitotsubashi University,/universities/hitotsubashi-university,Asia,Japan,Kunitachi City,https://www.topuniversities.com/sites/default/files/hitotsubashi-university-business-school-school-of-international-corporate-strategy_592560cf2aeae70239af4b8d_small.jpg,68.6,169,,False,False,401+,401+,195,401+,54,57.4,18.4,66.1,53.9,79.1
University of Exeter,/universities/university-exeter,Europe,United Kingdom,Exeter,https://www.topuniversities.com/sites/default/files/221117102054am246521University-of-Exeter-Simplified-Logo-Portrait-positive-200-x-200-48x48.jpg,68.6,170,,False,False,94,70,263,160,230,86.2,79.4,62.4,74,67.8
California Institute of Technology (Caltech),/universities/california-institute-technology-caltech,North America,United States,Pasadena,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,68.5,171,,False,False,158,373,41,369,361,84.3,50,78.3,62.9,62.9
Singapore Management University,/universities/singapore-management-university,Asia,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/singapore-management-university_1177_small.jpg,68.5,172,,False,False,138,401+,221,382,116,84.8,26,64.7,61.8,73.5
Hanyang University,/universities/hanyang-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/hanyang-university_250_small.jpg,68.4,173,,False,False,107,401+,156,382,204,85.5,44.5,68.5,61.8,69.1
The University of Adelaide,/universities/university-adelaide,Oceania,Australia,Adelaide,https://www.topuniversities.com/sites/default/files/the-university-of-adelaide_10_small.jpg,68.4,174,,False,False,220,86,252,126,238,82.6,76.8,63,76.4,67.5
University of Florida,/universities/university-florida,North America,United States,Gainesville,https://www.topuniversities.com/sites/default/files/university-of-florida_212_small.jpg,68.4,175,,False,False,241,19,281,198,219,82.2,87.7,61.1,72.1,68.2
Université catholique de Louvain (UCLouvain),/universities/universite-catholique-de-louvain-uclouvain,Europe,Belgium,Louvain-la-Neuve,https://www.topuniversities.com/sites/default/files/universit-catholique-de-louvain-uclouvain_592560cf2aeae70239af4aed_small.jpg,68.4,176,,False,False,260,187,303,216,163,81.5,67.9,60.2,71.4,70.9
Technical University of Munich,/universities/technical-university-munich,Europe,Germany,Munich,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg,68.3,177,,False,False,249,73,203,247,256,81.9,77.9,65.8,70,66.6
Universiti Putra Malaysia (UPM),/universities/universiti-putra-malaysia-upm,Asia,Malaysia,Seri Kembangan,https://www.topuniversities.com/sites/default/files/universiti-putra-malaysia-upm_385_small.jpg,68.2,178,5,False,False,338,198,339,329,133,78.6,67.3,58.9,65.8,72.7
University of Oslo,/universities/university-oslo,Europe,Norway,Oslo,https://www.topuniversities.com/sites/default/files/university-of-oslo_473_small.jpg,68.2,179,,False,False,199,51,401+,105,124,83.4,81.6,51.6,78,73
Gadjah Mada University,/universities/gadjah-mada-university,Asia,Indonesia,Yogyakarta,https://www.topuniversities.com/sites/default/files/gadjah-mada-university_219_small.jpg,68.1,180,,False,False,401+,401+,126,401+,117,62.5,32.9,70.5,52.2,73.4
University of Cape Town,/universities/university-cape-town,Africa,South Africa,Cape Town,https://www.topuniversities.com/sites/default/files/210830024732pm396697UCTcircular-logo1-CMYK-48x48.jpg,68.1,181,,False,False,360,58,238,300,223,77.3,80.6,63.9,67.6,68
Indian Institute of Technology Bombay (IITB),/universities/indian-institute-technology-bombay-iitb,Asia,India,Mumbai,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-bombay-iitb_281_small.jpg,68,182,,False,False,366,388,37,401+,310,76.4,47.9,79.3,52.2,64.4
Loughborough University,/universities/loughborough-university,Europe,United Kingdom,Loughborough,https://www.topuniversities.com/sites/default/files/loughborough-university_592560cf2aeae70239af4bf3_small.jpg,68,183,6,False,False,169,160,258,173,230,84.1,70.6,62.6,73.4,67.8
University of Technology Sydney,/universities/university-technology-sydney,Oceania,Australia,Haymarket,https://www.topuniversities.com/sites/default/files/university-of-technology-sydney_592560cf2aeae70239af4ccf_small.jpg,68,184,6,False,False,148,153,323,133,198,84.5,71,59.5,75.8,69.2
Università Cattolica del Sacro Cuore,/universities/universita-cattolica-del-sacro-cuore,Europe,Italy,Milan,https://www.topuniversities.com/sites/default/files/Logo-Verticale-RGB-150x150-1-48x48.jpg,68,185,,False,False,316,243,186,263,245,79.5,64.2,66.7,69.2,67.2
Vrije Universiteit Amsterdam,/universities/vrije-universiteit-amsterdam,Europe,Netherlands,Amsterdam,https://www.topuniversities.com/sites/default/files/vrije-universiteit-amsterdam_658_small.jpg,68,186,,False,False,61,175,401+,38,144,87.4,69.5,52.5,82.6,72
Universidad Adolfo Ibáñez,/universities/universidad-adolfo-ibanez,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-adolfo-ibez-_11_small.jpg,67.9,187,,False,False,401+,401+,70,401+,159,63.9,23.5,73.8,56.9,71
Chulalongkorn University,/universities/chulalongkorn-university,Asia,Thailand,Bangkok,https://www.topuniversities.com/sites/default/files/chulalongkorn-university_592560cf2aeae70239af4b01_small.jpg,67.8,188,,False,False,356,377,292,382,117,77.4,49.6,60.7,61.8,73.4
"Sun Yat-sen University, Guangzhou",/universities/sun-yat-sen-university-guangzhou,Asia,China (Mainland),Guangzhou,https://www.topuniversities.com/sites/default/files/sun-yat-sen-university_888_small.jpg,67.8,189,,False,False,123,314,192,160,261,85.1,57.1,66.3,74,66.3
University of Delhi,/universities/university-delhi,Asia,India,New Delhi,https://www.topuniversities.com/sites/default/files/university-of-delhi_156_small.jpg,67.8,190,,False,False,401+,342,175,369,180,70.8,54.2,67.2,62.9,69.9
Central European University,/universities/central-european-university,Europe,Austria,Vienna,https://www.topuniversities.com/sites/default/files/ceu_onlyletters_logo_2020-04-48x48.jpg,67.7,191,,False,False,362,383,281,329,138,76.8,48.4,61.1,65.8,72.5
Newcastle University,/universities/newcastle-university,Europe,United Kingdom,Newcastle upon Tyne,https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg,67.7,192,6,False,False,50,52,234,47,351,87.8,81.5,64.1,81.7,63.3
Osaka University,/universities/osaka-university,Asia,Japan,Osaka City,https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg,67.6,193,,False,False,401+,313,194,382,189,72.6,57.2,66.2,61.8,69.6
Georgia Institute of Technology,/universities/georgia-institute-technology,North America,United States,Atlanta,https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg,67.5,194,,False,False,46,326,79,216,395,88,55.5,72.9,71.4,61.7
Universität Heidelberg,/universities/universitat-heidelberg,Europe,Germany,Heidelberg,https://www.topuniversities.com/sites/default/files/221104124726pm969012uniHD-siegel-200x200k-48x48.jpg,67.5,195,,False,False,326,157,275,277,206,79.1,70.7,61.4,68.4,68.9
Universiti Kebangsaan Malaysia (UKM),/universities/universiti-kebangsaan-malaysia-ukm,Asia,Malaysia,Bangi,https://www.topuniversities.com/sites/default/files/universiti-kebangsaan-malaysia-ukm_384_small.jpg,67.5,196,5,False,False,401+,289,333,401+,107,71.4,58.8,59.1,59.5,74
"University of California, Davis",/universities/university-california-davis,North America,United States,Davis,https://www.topuniversities.com/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_small.jpg,67.5,197,,False,False,50,114,236,43,331,87.8,74.1,64,82.1,63.8
University of Geneva,/universities/university-geneva,Europe,Switzerland,Geneva,https://www.topuniversities.com/sites/default/files/university-of-geneva_221_small.jpg,67.5,198,,False,False,220,130,297,173,223,82.6,72.7,60.5,73.4,68
Universität Hamburg,/universities/universitat-hamburg,Europe,Germany,Hamburg,https://www.topuniversities.com/sites/default/files/universitt-hamburg_592560cf2aeae70239af4b79_small.jpg,67.5,199,,False,False,225,130,369,173,187,82.5,72.7,57.6,73.4,69.7
Plekhanov Russian University of Economics,/universities/plekhanov-russian-university-economics,Europe,Russia,Moscow,https://www.topuniversities.com/sites/default/files/plekhanov-russian-university-of-economics_2154_small.jpg,67.4,200,,False,True,401+,401+,54,401+,230,70.5,22,75.5,59.5,67.8
RUDN University,/universities/rudn-university,Europe,Russia,Moscow,https://www.topuniversities.com/sites/default/files/rudn-university_1503_small.jpg,67.4,201,,False,True,401+,353,21,401+,401+,67.6,53.2,83.6,55.4,60.8
Universite libre de Bruxelles,/universities/universite-libre-de-bruxelles,Europe,Belgium,Brussels,https://www.topuniversities.com/sites/default/files/universite-libre-de-bruxelles_75_small.jpg,67.3,202,,False,False,292,301,258,277,208,80.6,58.2,62.6,68.4,68.8
Universiti Sains Malaysia (USM),/universities/universiti-sains-malaysia-usm,Asia,Malaysia,Gelugor,https://www.topuniversities.com/sites/default/files/universiti-sains-malaysia-usm_386_small.jpg,67.3,203,,False,False,326,293,330,263,159,79.1,58.6,59.2,69.2,71
ESCP Business School - Paris,/universities/escp-business-school-paris,Europe,France,Paris ,https://www.topuniversities.com/sites/default/files/escp-business-school-paris_592560cf2aeae70239af4b44_small.jpg,67.2,204,,False,False,401+,401+,158,314,189,72,29.5,68.4,66.7,69.6
Queensland University of Technology (QUT),/universities/queensland-university-technology-qut,Oceania,Australia,Brisbane,https://www.topuniversities.com/sites/default/files/queensland-university-of-technology-qut_592560cf2aeae70239af4c88_small.jpg,67.2,205,,False,False,123,167,398,126,193,85.1,70.1,56.3,76.4,69.4
Aalto University,/universities/aalto-university,Europe,Finland,Espoo,https://www.topuniversities.com/sites/default/files/230913111738am272302Aalto-University-logo-200x200-48x48.jpg,67.1,206,,False,False,19,235,401+,88,178,90.4,64.7,54,79,70
Delft University of Technology,/universities/delft-university-technology,Europe,Netherlands,Delft,https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg,67.1,207,,False,False,87,20,91,144,401+,86.5,87.4,72.4,75.2,57.7
University of Helsinki,/universities/university-helsinki,Europe,Finland,Helsinki,https://www.topuniversities.com/sites/default/files/university-of-helsinki_260_small.jpg,67.1,208,,False,False,310,151,401+,188,154,79.8,71.3,54.9,72.8,71.3
Dartmouth College,/universities/dartmouth-college,North America,United States,Hanover,https://www.topuniversities.com/sites/default/files/dartmouth-college_592560cf2aeae70239af4b1c_small.jpg,67,209,,False,False,5,385,330,43,247,94.4,48.1,59.2,82.1,67.1
Deakin University,/universities/deakin-university,Oceania,Australia,Burwood,https://www.topuniversities.com/sites/default/files/download-48x48.png,67,210,,False,False,190,95,390,71,226,83.6,75.6,56.8,79.9,67.9
University of Calgary,/universities/university-calgary,North America,Canada,Calgary,https://www.topuniversities.com/sites/default/files/university-of-calgary_592560cf2aeae70239af4ad5_small.jpg,67,211,,False,False,205,220,133,115,401+,83.3,65.6,70.3,77.5,61.1
Victoria University of Wellington,/universities/victoria-university-wellington,Oceania,New Zealand,"Kelburn, Wellington",https://www.topuniversities.com/sites/default/files/victoria-university-of-wellington_592560cf2aeae70239af4d0f_small.jpg,67,212,6,False,False,338,348,376,247,147,78.6,53.8,57.4,70,71.8
York University,/universities/york-university,North America,Canada,Toronto,https://www.topuniversities.com/sites/default/files/york-university_592560cf2aeae70239af4d39_small.jpg,67,213,,False,False,302,355,333,122,189,80.2,52.8,59.1,76.9,69.6
Beijing Normal University ,/universities/beijing-normal-university,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/beijing-normal-university_869_small.jpg,66.9,214,,False,False,107,279,377,188,187,85.5,59.8,57.3,72.8,69.7
Nanjing University,/universities/nanjing-university,Asia,China (Mainland),Nanjing,https://www.topuniversities.com/sites/default/files/nanjing-university_430_small.jpg,66.9,215,,False,False,61,349,207,277,274,87.4,53.7,65.5,68.4,65.7
RMIT University,/universities/rmit-university,Oceania,Australia,Melbourne,https://www.topuniversities.com/sites/default/files/rmit-university_592560cf2aeae70239af4c95_small.jpg,66.8,216,6,False,False,233,135,297,160,253,82.4,72.2,60.5,74,66.7
Uppsala University,/universities/uppsala-university,Europe,Sweden,Uppsala,https://www.topuniversities.com/sites/default/files/uppsala-university_643_small.jpg,66.8,217,,False,False,233,82,401+,160,184,82.4,77.1,54.5,74,69.8
Ghent University,/universities/ghent-university,Europe,Belgium,Ghent,https://www.topuniversities.com/sites/default/files/ghent-university_228_small.jpg,66.7,218,,False,False,177,11,401+,122,247,84,92,54.9,76.9,67.1
