University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Value for Money Rank,Diversity Rank,Thought Leadership Rank,Employability Rank,Alumni Outcomes Rank,Value for Money Score,Diversity Score,Thought Leadership Score,Employability Score,Alumni Outcomes Score
Lehigh University,/universities/lehigh-university/lehigh-college-business,North America,United States,Bethlehem (PA),https://www.topuniversities.com/sites/default/files/profiles/logos/lehigh-university-college-of-business-and-economics_592560cf2aeae70239af5857_small.jpg,48.6,92,,False,False,25,141+,151+,121-130,=74,90.3,51.5,33.6,40.3,53.6
Michigan State (Eli Broad),/universities/michigan-state-university/michigan-state-university-broad-college-business,North America,United States,East Lansing (MI),https://www.topuniversities.com/sites/default/files/profiles/logos/230816025324pm355461Broad-and-FTMBA-Avatars-Page-1-48x48.jpg,48.4,93,,False,False,99,151+,84,121-130,49,60.5,48.5,52.2,40.8,67.9
University of Strathclyde Business School,/universities/university-strathclyde/strathclyde-business-school,Europe,United Kingdom,Glasgow,https://www.topuniversities.com/sites/default/files/profiles/logos/graduate-school-of-business-university-of-strathclyde_9015_small.jpg,48,94,,False,False,101-110,141+,=69,101-110,85,58,52.5,56,45.5,50.3
EHL Hospitality Business School,/universities/ehl-hospitality-business-school,Europe,Switzerland,Lausanne,https://www.topuniversities.com/sites/default/files/profiles/logos/ehl-ecole-htelire-de-lausanne_592560cf2aeae70239af4b31_small.jpg,47.7,95,,False,False,24,42+,151+,111-120,151+,90.5,80.5,31.5,42.3,27.1
George Washington,/universities/george-washington-university/george-washington-university-school-business,North America,United States,"Washington, D.C",https://www.topuniversities.com/sites/default/files/profiles/logos/george-washington-university-school-of-business_14479_small.png,47.4,96,,False,False,=100,121+,121-130,131-140,34,60.2,58.5,42.8,37.8,75.5
ICN Business School,/universities/icn-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/230517085820am925464Logo-petit-48x48.jpg,47.4,97,,False,False,65,3+,151+,111-120,141-150,73.6,98.8,32.1,43.9,30.9
"School of Economics and Management, University of Porto (FEP)",/universities/university-porto/school-economics-management-university-porto-fep,Europe,Portugal,Porto,https://www.topuniversities.com/sites/default/files/231030033140pm282066FEP-logo-200-200-90x90_1.jpg,47.4,98,,False,False,151+,111+,52,48,121-130,27.2,60.1,62.8,62.6,33.8
Thunderbird School of Global Management at ASU,/universities/thunderbird-school-global-management-asu,North America,United States,Phoenix (AZ),https://www.topuniversities.com/sites/default/files/profiles/logos/230227112146pm365892TB-ASU-200X200-48x48.jpg,47.4,99,,False,False,95,151+,151+,86,=40,62.3,42.1,29.6,50.7,71
Aston Business School,/universities/aston-university/aston-business-school,Europe,United Kingdom,Birmingham,https://www.topuniversities.com/sites/default/files/profiles/logos/aston-business-school_592560cf2aeae70239af558d_small.jpg,47.2,100,,False,False,111-120,101+,96,=90,101-110,54,63.9,50,48.4,44.5
Babson College (Olin),/universities/babson-college-fw-olin-graduate-school-business,North America,United States,Wellesley (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/220404025748pm977408BabsonWordmark-S-green-jpg-logo-48x48.jpg,45.9,101,,False,False,87,151+,121-130,121-130,38,64.4,32.8,42.4,40.7,72.4
"Deusto, Audencia, Bradford",/universities/university-deusto/deusto-business-school-university-deusto,Europe,Spain,Bilbao,https://www.topuniversities.com/sites/default/files/profiles/logos/deusto-business-school-university-of-deusto_14758_small.jpg,46.5,102,,False,False,88,67+,111-120,83,151+,64.3,73.4,43,50.9,23.6
EADA Business School,/universities/eada-business-school-barcelona,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/eada-business-school-barcelona_721_small.jpg,46.8,103,,False,False,39,101+,151+,=90,151+,83.7,62.6,35.9,48.4,22.6
Excelia Business School,/universities/excelia,Europe,France,La Rochelle,https://www.topuniversities.com/sites/default/files/profiles/logos/220422104458am748447Logo-Excelia-Business-School-Couleur-RVB-JPG-48x48.jpg,45.8,104,,False,False,72,6+,141-150,141-150,111-120,71.4,97.7,38.1,34.7,38.6
Glasgow (Adam Smith),/universities/university-glasgow/university-glasgow-adam-smith-business-school,Europe,United Kingdom,Glasgow,https://www.topuniversities.com/sites/default/files/profiles/logos/adam-smith-business-school_592560cf2aeae70239af571f_small.jpg,46.4,105,,False,False,151+,41+,59,=93,=78,24.7,80.7,61.2,48.1,53.3
HEC Montréal,/universities/hec-montreal,North America,Canada,Montreal (QC),https://www.topuniversities.com/sites/default/files/HEC_Montreal_logo_0.jpg,46.2,106,,False,False,141-150,56+,=85,=99,111-120,49,75.8,52.1,46.7,39
Henley Business School,/universities/university-reading/henley-business-school-university-reading,Europe,United Kingdom,Reading,https://www.topuniversities.com/sites/default/files/profiles/logos/henley-business-school-university-of-reading_14568_small.jpg,45.8,107,,False,False,151+,48+,75,98,87,33.7,79.4,55.3,46.9,49.7
Newcastle University Business School,/universities/newcastle-university/newcastle-university-business-school,Europe,United Kingdom,Newcastle,https://www.topuniversities.com/sites/default/files/profiles/logos/211110110522am602642QS-profile-logo-48x48.jpg,47,108,,False,False,151+,69+,87,=66,111-120,39.2,73.2,52,55.2,38.7
Sheffield University Management School,/universities/university-sheffield/university-sheffield-management-school,Europe,United Kingdom,Sheffield,https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-sheffield-management-school_14520_small.jpg,46.5,109,,False,False,151+,97+,=71,101-110,83,43.3,64.8,55.9,46.6,50.7
The University of Sussex Business School,/universities/university-sussex/university-sussex-business-school,Europe,United Kingdom,Brighton,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-sussex-business-school_5e345b3e5c52f369cb6078d3_small.jpg,46.2,110,,False,False,31,94+,101-110,151+,=74,87.2,65.8,46.5,24.7,53.6
UT Dallas (Naveen),/universities/university-texas-dallas/naveen-jindal-school-management,North America,United States,Dallas (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-texas-at-dallas-naveen-jindal-school-of-management_592560cf2aeae70239af58c1_small.jpg,46,111,,False,False,29,151+,101-110,151+,111-120,88.8,49.4,46.8,34.3,38.3
Chulalongkorn Business School,/universities/chulalongkorn-university/chulalongkorn-business-school,Asia,Thailand,Bangkok,https://www.topuniversities.com/sites/default/files/profiles/logos/220923123838pm456957download--1--48x48.jpg,42.9,112,,False,False,151+,121+,=94,=64,=81,21.2,58.1,50.3,55.3,50.9
EM Normandie,/universities/em-normandie-business-school,Europe,France,Normandie,https://www.topuniversities.com/sites/default/files/profiles/logos/ecole-de-management-de-normandie_592560cf2aeae70239af53aa_small.jpg,42.8,113,,False,False,101-110,27+,151+,=93,151+,59.1,87.1,33.5,48.1,20
ISCTE-IUL,/universities/iscte-iul/iscte-business-school,Europe,Portugal,Lisbon,https://www.topuniversities.com/sites/default/files/profiles/logos/Webp.net-resizeimage-2021-06-15T114854.999-48x48.jpg,44.1,114,,False,False,30,151+,101-110,141-150,151+,87.5,50.5,48.2,34.7,25.2
Indian Institute of Management Lucknow,/universities/indian-institute-management-iim-lucknow,Asia,India,Lucknow,https://www.topuniversities.com/sites/default/files/profiles/logos/indian-institute-of-management-iim-lucknow_592560cf2aeae70239af51f3_small.jpg,44.2,115,,False,False,121-130,151+,46,76,151+,53,24.8,65.4,52.5,24.1
Koç University Graduate School of Business,/universities/koc-university/koc-university-graduate-school-business,Asia,Türkiye,Istanbul,https://www.topuniversities.com/sites/default/files/ko-university_592560cf2aeae70239af56ec_small.jpg,45.2,116,,False,False,151+,81+,=92,=59,141-150,39.2,68.4,50.4,56.3,30.6
NUCB Business School,/universities/nucb-business-school,Asia,Japan,Nagoya,https://www.topuniversities.com/sites/default/files/profiles/logos/nucb-business-school_592560cf2aeae70239af522b_small.jpg,44.1,117,,False,False,45,111+,151+,131-140,111-120,81.6,59.1,35.9,36.6,39.4
SGH Warsaw School of Economics,/universities/sgh-warsaw-school-economics,Europe,Poland,Warsaw,https://www.topuniversities.com/sites/default/files/profiles/logos/220425010507pm495709SGHlogoRGB-02-48x48.jpg,45.1,118,,False,False,151+,101+,64,62,111-120,28.5,62,57.6,56,39.6
Southampton Business School,/universities/university-southampton/southampton-business-school,Europe,United Kingdom,Southampton,https://www.topuniversities.com/sites/default/files/profiles/logos/southampton-business-school_592560cf2aeae70239af573a_small.jpg,44.9,119,,False,False,121-130,86+,=78,121-130,=99,52.8,67.9,53.8,39.6,45.6
Wake Forest University,/universities/wake-forest-university/graduate-school-business,North America,United States,Winston-Salem (NC),https://www.topuniversities.com/sites/default/files/profiles/logos/wake-forest-university-_592560cf2aeae70239af574b_small.jpg,44.1,120,,False,False,64,151+,151+,131-140,54,74,41.8,31.7,37.3,64.4
Concordia (John Molson),/universities/concordia-university/john-molson-school-business,North America,Canada,Montreal,https://www.topuniversities.com/sites/default/files/profiles/logos/210812053433pm136199Logo-200x200-48x48.jpg,42.3,121,,False,False,101-110,111+,131-140,131-140,86,58.2,59.7,38.9,38.7,50.1
EU Business School,/universities/eu-business-school,Europe,Germany,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/eu-business-school_592560cf2aeae70239af51f8_small.jpg,41.6,122,,False,False,=1,1+,151+,111-120,141-150,100,99.8,22.2,43.2,29.6
Exeter Business School,/universities/university-exeter/university-exeter-business-school,Europe,United Kingdom,Exeter,https://www.topuniversities.com/sites/default/files/profiles/logos/230821123018pm419370uebs-simplified-portrait-200x200-48x48.jpg,42.1,123,,False,False,151+,78+,100,=93,101-110,31.3,69.2,49.3,48.1,43.3
Fordham (Gabelli),/universities/fordham-university/gabelli-school-business,North America,United States,New York (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/gabelli-school-of-business_592560cf2aeae70239af56b6_small.jpg,41.6,124,,False,False,61,151+,151+,151+,51,75.3,42.9,33.9,28,66.7
Loughborough School of Business and Economics,/universities/loughborough-university/loughborough-business-school,Europe,United Kingdom,Loughborough,https://www.topuniversities.com/sites/default/files/profiles/logos/231020011639pm502336Business-School-social-icon-final-4-2023%255B4%255D-48x48.jpg,41.8,125,,False,False,141-150,121+,81,121-130,101-110,47.5,55.9,53.4,39.6,43.3
Montpellier Business School,/universities/montpellier-business-school,Europe,France,Montpellier,https://www.topuniversities.com/sites/default/files/profiles/logos/montpellier-business-school_592560e99988f300e2322502_small.jpg,42.3,126,,False,False,93,11+,131-140,141-150,151+,63.2,94.9,40.5,35.5,25.7
S. P. Jain IMR,/universities/spjimr,Asia,India,Mumbai,https://www.topuniversities.com/sites/default/files/profiles/logos/SPJMR-1-48x48.jpg,42,127,,False,False,121-130,151+,80,111-120,111-120,53.5,37.9,53.7,43,40.1
South Carolina (Moore),/universities/university-south-carolina/darla-moore-school-business,North America,United States,Columbia (SC),https://www.topuniversities.com/sites/default/files/profiles/logos/darla-moore-school-of-business-university-of-south-carolina_14574_small.jpg,42.5,128,,False,False,=46,151+,121-130,151+,=99,81.3,49.8,42.1,29.1,45.6
The Hong Kong Polytechnic University,/universities/hong-kong-polytechnic-university,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/profiles/logos/the-hong-kong-polytechnic-university_267_small.jpg,42.6,129,,False,False,151+,101+,=92,61,151+,34.7,62.3,50.4,56.1,25.9
University of Minho,/universities/university-minho/school-economics-management-university-minho,Europe,Portugal,Braga,https://www.topuniversities.com/sites/default/files/profiles/logos/220922092717am393942School-of-Economics-and-Management-University-of-Minho-Logo--1--48x48.jpg,42.6,130,,False,False,32,101+,131-140,151+,151+,87,62.9,41,34.1,20
Aalborg University,/universities/aalborg-university,Europe,Denmark,Aalborg,https://www.topuniversities.com/sites/default/files/profiles/logos/aalborg-university_1262_small.jpg,41.5,131,,False,False,26,151+,131-140,151+,131-140,90.1,45.6,40.6,29.1,32.9
Bologna University Business School,/universities/alma-mater-studiorum-university-bologna/bologna-business-school-university-bologna,Europe,Italy,Bologna,https://www.topuniversities.com/sites/default/files/profiles/logos/logo-4-48x48.jpg,41.1,132,,False,False,151+,141+,36,111-120,151+,39.8,51.3,73,42.3,20
EM Strasbourg,/universities/ecole-de-management-strasbourg,Europe,France,Strasbourg,https://www.topuniversities.com/sites/default/files/profiles/logos/ecole-de-management-strasbourg_592560cf2aeae70239af55d3_small.jpg,41.2,133,,False,False,151+,21+,121-130,111-120,151+,45.8,90.4,42.8,43.4,24.2
Haskayne School of Business,/universities/university-calgary/haskayne-school-business-university-calgary,North America,Canada,Calgary,https://www.topuniversities.com/sites/default/files/profiles/logos/haskayne-school-of-business-university-of-calgary-_14535_small.jpg,40.2,134,,False,False,131-140,87+,131-140,141-150,97,52.5,67.8,40.6,34.7,47.5
Kent Business School,/universities/university-kent/kent-business-school,Europe,United Kingdom,Canterbury,https://www.topuniversities.com/sites/default/files/profiles/logos/kent-business-school_592560cf2aeae70239af55ad_small.jpg,41.3,135,,False,False,79,141+,111-120,151+,71,68,51.6,44.9,27.8,54.8
La Trobe Business School,/universities/la-trobe-university/la-trobe-business-school,Oceania,Australia,Melbourne,https://www.topuniversities.com/sites/default/files/profiles/logos/15061_small.jpg,40.1,136,,False,False,101-110,57+,141-150,151+,111-120,59.4,75.7,37.1,34.3,37.9
Manchester Metropolitan University,/universities/manchester-metropolitan-university/manchester-metropolitan-university-business-school,Europe,United Kingdom,Manchester,https://www.topuniversities.com/sites/default/files/profiles/logos/manchester-metropolitan-university-business-school_592560cf2aeae70239af56ed_small.jpg,40.4,137,,False,False,111-120,33+,141-150,141-150,121-130,55.6,84.1,38.6,35,35.9
RIT (Saunders),/universities/rochester-institute-technology-rit/saunders-college-business-rochester-institute-technology,North America,United States,Rochester (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/rochester-institute-of-technology-rit-saunders-college-of-business_28292_small.jpg,40.9,138,,False,False,23,151+,151+,151+,=94,91.5,47.9,35.1,22.9,48
Saint Petersburg University (GSOM),/universities/saint-petersburg-state-university/graduate-school-management-st-petersburg-university,Europe,Russia,St. Petersburg,https://www.topuniversities.com/sites/default/files/profiles/logos/graduate-school-of-management-st.-petersburg-university_592560cf2aeae70239af57d8_small.jpg,40.4,139,,False,True,151+,83+,99,121-130,62,24.6,68.1,49.4,40.9,59.8
Tilburg University	,/universities/tilburg-university,Europe,Netherlands,Tilburg,https://www.topuniversities.com/sites/default/files/profiles/logos/tilburg-university_592560cf2aeae70239af4ce5_small.jpg,40.5,140,,False,False,82,151+,=94,151+,121-130,66.7,50.2,50.3,32.8,34.2
American Institute of Applied Sciences in Switzerland,/universities/american-institute-applied-sciences-switzerland,Europe,Switzerland,Zurich,https://www.topuniversities.com/sites/default/files/profiles/logos/230413010208pm386145AUS-logo-48x48.jpg,39.9,141,,False,False,28,73+,151+,151+,151+,88.9,72.7,26.8,31.4,20
Cesar Ritz Colleges Switzerland,/universities/cesar-ritz-colleges-switzerland,Europe,Switzerland,Lima,https://www.topuniversities.com/sites/default/files/csar-ritz-colleges-switzerland_592560cf2aeae70239af57db_small_1.jpg,39.7,142,,False,False,151+,36+,141-150,88,151+,35.1,83.6,38.8,49.1,26.4
DCU Business School,/universities/dublin-city-university/dcu-business-school-dublin-city-university-dcu,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/profiles/logos/dcu-business-school-dublin-city-university-dcu_59b4587aca24f31425685e82_small.jpg,38.8,143,,False,False,151+,131+,101-110,101-110,141-150,39.4,53.4,47.6,45.8,31.3
FIA Business School,/universities/fia-business-school,Latin America,Brazil,São Paulo,https://www.topuniversities.com/sites/default/files/fia-business-school_592560cf2aeae70239af586b_small.jpg,39.9,144,4,False,False,92,151+,141-150,101-110,121-130,63.4,34.3,37.9,44,35.3
Fairfield (Dolan),/universities/fairfield-university-charles-f-dolan-school-business,North America,United States,Fairfield (CT),https://www.topuniversities.com/sites/default/files/profiles/logos/210817013241pm624334Webp.net-resizeimage-2021-08-17T163235.854-48x48.jpg,39.3,145,,False,False,27,131+,151+,151+,151+,89.6,53.9,29.4,31.5,24.3
Georgia State (Robinson),/universities/georgia-state-university/j-mack-robinson-college-business,North America,United States,Atlanta (GA),https://www.topuniversities.com/sites/default/files/profiles/logos/j.-mack-robinson-college-of-business_14481_small.jpg,38.7,146,,False,False,131-140,131+,131-140,151+,92,52.5,55,40.6,34.5,48.4
Rennes School of Business,/universities/rennes-school-business,Europe,France,Rennes,https://www.topuniversities.com/sites/default/files/profiles/logos/230109035739pm488405Logo-Rennes-SB-200-48x48.jpg,38.6,147,,False,False,151+,22+,111-120,121-130,151+,40,90.2,45.1,38.8,24.4
Swiss Hotel Management School,/universities/shms-swiss-hotel-management-school,Europe,Switzerland,Montreux,https://www.topuniversities.com/sites/default/files/profiles/logos/swiss-hotel-management-school_592560cf2aeae70239af564c_small.jpg,39.4,148,,False,False,111-120,28+,151+,111-120,151+,55,86.7,33,42.1,20
University of Economics (Prague),/universities/prague-university-economics-business/faculty-business-administration,Europe,Czech Republic,Prague,https://www.topuniversities.com/sites/default/files/profiles/logos/faculty-of-business-administration_59b4578dacb29513ca379ecc_small.jpg,38.8,149,,False,False,151+,151+,111-120,=78,131-140,31.5,51.1,44.9,51.9,33
XLRI- Xavier School of Management,/universities/xlri-xavier-school-management,Asia,India,Jamshedpur,https://www.topuniversities.com/sites/default/files/profiles/logos/xlri-logo-200x200-1-1-48x48.jpg,38.7,150,,False,False,141-150,151+,74,97,151+,47.6,21.8,55.6,47.4,26.4
ALBA Graduate Business School,/universities/alba-graduate-business-school-american-college-greece,Europe,Greece,Athens,https://www.topuniversities.com/sites/default/files/profiles/logos/alba-graduate-business-school-at-the-american-college-of-greece_592560cf2aeae70239af4a92_small.jpg,35.2,151,,False,False,151+,151+,151+,82,151+,37.8,44.4,33.1,51.1,25.4
"Arab Academy for Science, Technology and Maritime Transport ""AASTMT""",/universities/arab-academy-science-technology-maritime-transport-aastmt,Africa,Egypt,Alexandria,https://www.topuniversities.com/sites/default/files/profiles/logos/arab-academy-for-science-technology-and-maritime-transport-aastmt-_592560cf2aeae70239af59f5_small.jpg,25.5,152,,False,False,151+,121+,151+,151+,151+,43.3,58.4,31,21.6,23.6
BHMS Business & Hotel Management School,/universities/bhms-business-hotel-management-school,Europe,Switzerland,Lucerne,https://www.topuniversities.com/sites/default/files/profiles/logos/bhms-hotel-management-school-luzern-ag_14406_small.jpg,37.7,153,,False,False,44,10+,151+,151+,151+,81.8,95.1,26.7,21.1,26.4
Brunel Business School,/universities/brunel-university-london/brunel-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/brunel-business-school_15152_small.jpg,36.9,154,,False,False,131-140,38+,141-150,151+,101-110,51.7,81.7,38.3,26.5,42.1
Burgundy School of Business (BSB),/universities/bsb-burgundy-school-business/bsb-burgundy-school-business,Europe,France,"Dijon, Lyon",https://www.topuniversities.com/sites/default/files/profiles/logos/bsb-burgundy-school-of-business_592560cf2aeae70239af57d7_small.jpg,36,155,,False,False,151+,15+,151+,141-150,151+,46.6,93.3,32.7,34.7,24.6
Católica Porto Business School,/universities/catolica-porto-business-school,Europe,Portugal,Porto,https://www.topuniversities.com/sites/default/files/230314105941pm202285Picture2-48x48.jpg,34,156,,False,False,=46,100+,151+,151+,151+,81.3,64.3,29.8,21.9,20
Clark University,/universities/clark-university/clark-university-graduate-school-management,North America,United States,Worcester (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/SOM-logo-200x200-jpg-1-48x48.jpg,32,157,,False,False,151+,151+,151+,151+,84,43.2,48.1,24.6,33,50.5
Connecticut (UCONN),/universities/university-connecticut/uconn-school-business,North America,United States,Mansfield (CT),https://www.topuniversities.com/sites/default/files/profiles/logos/school-of-business-university-of-connecticut_14545_small.jpg,33.5,158,,False,False,151+,131+,151+,151+,67,42.8,55,34.8,26.5,56.9
Deusto Business School ,/universities/university-deusto,Europe,Spain,Bilbao,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-deusto_592560cf2aeae70239af57cd_small.jpg,36.9,159,,False,False,131-140,151+,121-130,141-150,121-130,52,49.1,42.8,35.3,37.4
EMLV Business School,/universities/emlv-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/211011085528am371124Logo-EMLV-fd-couleur-48x48.jpg,31.4,160,,False,False,121-130,17+,151+,151+,151+,53.7,93.2,34.5,20.3,20
ESC Clermont,/universities/esc-clermont-graduate-school-management,Europe,France,Clermont-Ferrand,https://www.topuniversities.com/sites/default/files/profiles/logos/esc-clermont-graduate-school-of-management_59da8736acb29518d84f734a_small.jpg,35,161,,False,False,121-130,44+,151+,141-150,151+,53.8,80.2,22.6,36.1,28
ESSCA,/universities/essca-school-management,Europe,France,Angers,https://www.topuniversities.com/sites/default/files/profiles/logos/221011110057am370650Frame-1-48x48.jpg,37.8,162,,False,False,121-130,8+,=85,151+,151+,53.5,96.1,52.1,25.5,20
Edinburgh Napier University (The Business School),/universities/edinburgh-napier-university,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/profiles/logos/ENU-logo-Stacked-200x200px-48x48.jpg,31.2,163,,False,False,111-120,121+,151+,151+,151+,55.8,57.4,33.4,29.3,20
FH Kufstein Tirol – University of Applied Sciences ,/universities/fh-kufstein-tirol-university-applied-sciences,Europe,Austria,Kufstein,https://www.topuniversities.com/sites/default/files/fh-kufstein-tirol-university-of-applied-sciences_2161_small.jpg,31.8,164,,False,False,97,151+,151+,151+,141-150,61.9,45.9,26.7,30.1,29.6
GBSB Global Business School,/universities/gbsb-global-business-school,Europe,Spain,"Barcelona, Madrid",https://www.topuniversities.com/sites/default/files/profiles/logos/gbsb-global-business-school_5c58186110ca601f0c143d92_small.jpg,34,165,,False,False,75,39+,151+,151+,151+,70,81.5,20.5,28.6,20
Gda?sk University of Technology,/universities/gdansk-university-technology,Europe,Poland,Gda?sk,https://www.topuniversities.com/sites/default/files/profiles/logos/gdask-university-of-technology_592560e59988f300e2321bdf_small.jpg,30,166,,False,False,151+,101+,121-130,141-150,151+,26.1,62.3,41.1,34.9,26.4
Great Lakes Institute of Management Chennai,/universities/great-lakes-institute-management-chennai,Asia,India,Chennai,https://www.topuniversities.com/sites/default/files/profiles/logos/great-lakes-institute-of-management-chennai_592560cf2aeae70239af5776_small.jpg,24.8,167,,False,False,151+,151+,151+,151+,121-130,29.5,27.4,25.3,34.4,36.6
Hitotsubashi University Business School,/universities/hitotsubashi-university/hitotsubashi-university-business-school-school-international-corporate-strategy-hitotsubashi-ics,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/profiles/logos/211202044809pm497384ICS-Logo-48x48.jpg,37.7,168,,False,False,151+,151+,131-140,=84,151+,43.7,38.3,38.9,50.8,29.1
IQS SCHOOL OF MANAGEMENT,/universities/iqs-ramon-llull-university,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/iqs_592560e29988f300e2321132_small.jpg,37.2,169,,False,False,68,131+,151+,151+,131-140,72.8,55,32,31.2,31.7
ISC Paris,/universities/isc-paris-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/220510034821pm916789Logo-200x200-48x48.jpg,38,170,,False,False,111-120,26+,151+,141-150,131-140,56.9,87.6,26.2,36.1,32
ISDI,/universities/isdi-digital-business-school,Europe,Spain,"Madrid,  Barcelona",https://www.topuniversities.com/sites/default/files/profiles/logos/220902094728am254345logo-isdii-48x48.jpg,31.2,171,,False,False,55,131+,151+,151+,151+,79.1,53.6,26.6,20.9,20
Indian Institute of Management (IIM) - Kozhikode,/universities/indian-institute-management-iim-kozhikode,Asia,India,Kozhikode,https://www.topuniversities.com/sites/default/files/profiles/logos/indian-institute-of-management-iim-kozhikode_592560cf2aeae70239af51f4_small.jpg,37.2,172,,False,False,151+,151+,66,101-110,141-150,34,36.1,56.6,44.8,31.4
Indian Institute of Management Indore,/universities/indian-institute-management-iim-indore,Asia,India,Indore,https://www.topuniversities.com/sites/default/files/profiles/logos/indian-institute-of-management-iim-indore_592560cf2aeae70239af51f5_small.jpg,33.4,173,,False,False,151+,151+,82,111-120,151+,33.2,25.5,53,43.9,23.5
Indian Institute of Management Udaipur,/universities/indian-institute-management-udaipur,Asia,India,Udaipur,https://www.topuniversities.com/sites/default/files/profiles/logos/indian-institute-of-management-udaipur_59eea2e7acb295022c1ad25d_small.jpg,27.8,174,,False,False,151+,151+,111-120,121-130,151+,26.8,26.8,44.5,39.7,20
"Indian Institute of Management, Rohtak",/universities/indian-institute-management-rohtak,Asia,India,Rohtak,https://www.topuniversities.com/sites/default/files/profiles/logos/230928095650am515632download-48x48.jpg,26.6,175,,False,False,151+,151+,151+,151+,151+,38.5,48,31.7,31.4,20
"Institute Of Management Technology, Ghaziabad",/universities/institute-management-technology-ghaziabad,Asia,India,Ghaziabad,https://www.topuniversities.com/sites/default/files/231025024338pm507719IMTG-logo-Final-90x90_1.jpg,24.3,176,,False,False,151+,151+,151+,151+,151+,31.4,36.5,34.3,31.4,20
International Management Institute - Delhi,/universities/international-management-institute-delhi,Asia,India,Delhi,https://www.topuniversities.com/sites/default/files/profiles/logos/230927014214pm244303download-48x48.jpg,27.6,177,,False,False,151+,121+,151+,151+,151+,32.9,56.5,36.6,31.9,20
International Management Institute - Kolkata,/universities/international-management-institute-kolkata,Asia,India,Kolkata,https://www.topuniversities.com/sites/default/files/profiles/logos/230927014527pm763051download-48x48.jpg,28.9,178,,False,False,111-120,151+,151+,151+,151+,56.6,21.7,36.6,31.4,20
Kazan Federal University,/universities/kazan-volga-region-federal-university/higher-school-business,Europe,Russia,Kazan,https://www.topuniversities.com/sites/default/files/profiles/logos/higher-school-of-business_5f44cba110ca60425d3c86c7_small.jpg,25.1,179,,False,True,151+,151+,141-150,151+,131-140,31.7,45.8,36.8,23.4,33.7
Kozminski International Business School,/universities/kozminski-university,Europe,Poland,Warsaw,https://www.topuniversities.com/sites/default/files/profiles/logos/kozminski-university_592560cf2aeae70239af581e_small.jpg,33.7,180,,False,False,151+,75+,101-110,131-140,151+,29.8,70.5,45.8,38.3,23
La Salle Universitat Ramon Llull,/universities/la-salle-ramon-llull-university,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/230531020818pm410036Logo-La-Salle-URL-200x200-48x48.jpg,37.9,181,,False,False,60,40+,151+,151+,131-140,75.5,81,31.5,24,31.7
Liverpool Management School,/universities/university-liverpool/university-liverpool-management-school,Europe,United Kingdom,Liverpool,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-liverpool-management-school_592560cf2aeae70239af586a_small.jpg,37,182,,False,False,151+,131+,88,121-130,96,24.8,55.4,51.9,39.6,47.7
Management Development Institute Gurgaon,/universities/mdi-gurgaon,Asia,India,New Delhi,https://www.topuniversities.com/sites/default/files/profiles/logos/220923124429pm344802download--1--48x48.jpg,22.3,183,,False,False,151+,151+,151+,151+,151+,32.4,34.1,36.6,25.1,20
Nyenrode University,/universities/nyenrode-business-university,Europe,Netherlands,Breukelen,https://www.topuniversities.com/sites/default/files/profiles/logos/nyenrode-business-university_592560cf2aeae70239af502d_small.jpg,37.3,184,,False,False,151+,151+,151+,101-110,=81,40.6,48.9,26.6,46.3,50.9
Ottawa (Telfer),/universities/university-ottawa/university-ottawa-telfer-school-management,North America,Canada,Ottawa,https://www.topuniversities.com/sites/default/files/profiles/logos/telfer-school-of-management-university-of-ottawa_14563_small.jpg,32.3,185,,False,False,151+,96+,151+,151+,101-110,32.1,65.2,35.9,32.6,41.8
Pacifico Business School,/universities/universidad-del-pacifico/pacifico-business-school,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/pacifico-business-school_5c86158b10ca605c2865f8a9_small.jpg,30.7,186,,False,False,151+,151+,111-120,131-140,151+,32.3,46.1,43.5,37.1,24.5
